Name,Label,Function,Type,Regex
age,Age (years),sum,dem,DEM-X-Age
sex,Gender,sum,dem,DEM-X-Sex
education,Education (years),sum,dem,DEM-X-Education
vr_exp,VR Experience,sum,dem,DEM-X-VR_Exp
typical_sleep,Typical Sleep (hours),sum,dem,DEM-X-SLEEP
depression,Depression,sum,dem,DEM-X-DASS_Dep
anxiety,Anxiety,sum,dem,DEM-X-DASS_Anx
stress,Stress,sum,dem,DEM-X-DASS_Str
tester,Jayce or Richard,sum,dem,DEM-X-Tester
BVMT_t1,BVMT Trial 1 Score,sum,cog,COG-X-BVM-T1Sc
BVMT_t2,BVMT Trial 2 Score,sum,cog,COG-X-BVM-T2Sc
BVMT_t3,BVMT Trial 3 Score,sum,cog,COG-X-BVM-T3Sc
BVMT_total_recall,BVMT Total Recall Score,sum,cog,COG-X-BVM-TotR
BVMT_learning,BVMT Learning Score,sum,cog,COG-X-BVM-Lear
BVMT_delayed_recall,BVMT Delayed Recall Score,sum,cog,COG-X-BVM-TDSc
BVMT_score,BVMT Total Score,sum,cog,"COG-X-BVM-T1Sc, COG-X-BVM-T2Sc, COG-X-BVM-T3Sc, COG-X-BVM-TDSc"
NART_score,NART Score,sum,cog,COG-X-NAR-Scor
RAVLT_t1,RAVLT Trial 1 Score,sum,cog,COG-X-RAV-T1Sc
RAVLT_t2,RAVLT Trial 2 Score,sum,cog,COG-X-RAV-T2Sc
RAVLT_t3,RAVLT Trial 3 Score,sum,cog,COG-X-RAV-T3Sc
RAVLT_t4,RAVLT Trial 4 Score,sum,cog,COG-X-RAV-T4Sc
RAVLT_t5,RAVLT Trial 5 Score,sum,cog,COG-X-RAV-T5Sc
RAVLT_lb,RAVLT List B Score,sum,cog,COG-X-RAV-TDSc
RAVLT_ir,RAVLT Immediate Recall Score,sum,cog,COG-X-RAV-FRSc
RAVLT_dr,RAVLT Delayed Recall Score,sum,cog,COG-X-RAV-DRSc
RAVLT_score,RAVLT Total Score,sum,cog,"COG-X-RAV-T1Sc, COG-X-RAV-T2Sc, COG-X-RAV-T3Sc, COG-X-RAV-T4Sc, COG-X-RAV-T5Sc, COG-X-RAV-FRSc, COG-X-RAV-DRSc"
RAVLT_hit,RAVLT Recognition Hits,sum,cog,COG-X-RAV-RXXA
RAVLT_miss,RAVLT Recognition False Alarms,sum,cog,"COG-X-RAV-RXSA, COG-X-RAV-RXPA, COG-X-RAV-RSPA, COG-X-RAV-RXXB, COG-X-RAV-RXPB, COG-X-RAV-RXSB, COG-X-RAV-RSPB"
RPM_score,RPM Score,sum,cog,COG-X-RPM-Scor
Test1_score,Score of Test 1,mean,cog,.*-T1-.*ANS
Test2_score,Score of Test 2,mean,cog,.*-T2-.*ANS
Test3_score,Score of Test 3,mean,cog,.*-T3-.*ANS
Time_Date,Date of Test,sum,vr,.*STA-X-Date
Time_SVR,Time Since VR (hours),sum,vr,.*-TSVR
Time_SLT,Time Since Last Test (hours),sum,vr,.*-TSLt
Time_Test,Test Duration (seconds),sum,vr,.*TiPSadj.*
Time_Awake,Time Awake (div 24),sum,vr,.*-AWAK-
Time_Asleep,Previous Night Sleep (hours),sum,vr,.*-HOUR-
Time_SleepDebt,Sleep Difference,sum,vr,.*-SDif
Sleep_Quality,Sleep Quality,sum,vr,.*-QUAL-
Sleep_Tiredness,Tiredness,sum,vr,.*-TIRE-
Sleep_Caff,Caffine Intake,sum,vr,.*CAF1-
Sleep_Tox,Intoxicants,sum,vr,.*TOX1-
Strat_Diff,Test Difficulty,sum,vr,.*DIF1-
Strat_Diff2,Difficulty compared to last test,sum,vr,.*DIF2-
Strat_Think,How often did I think of the room,sum,vr,.*TNK1-
VR_room,Room,string,vr,.*Room
VR_total_m,Mean REMEMVR Score,mean,vr,.*ANS
VR_totalcon_m,Mean REMEMVR Confidence,mean,vr,.*CON
VR_what_m,Mean What Score,mean,vr,.*-N-.*ANS
VR_where_m,Mean Where Score,mean,vr,".*-L-.*ANS, .*-U-.*ANS, .*-D-.*ANS"
VR_when_m,Mean When Score,mean,vr,.*-O-.*ANS
VR_port_n,Portrait What,mean,vr,.*N-PORT.*ANS
VR_land_n,Landscape What,mean,vr,.*N-LAND.*ANS
VR_port_l,Portrait Where,mean,vr,.*L-PORT.*ANS
VR_land_l,Landscape Where,mean,vr,.*L-LAND.*ANS
VR_RFR_m,Mean Room Free Recall Score,mean,vr,.*-RFR.*-ANS
VR_IFR_m,Mean Item Free Recall Score,mean,vr,.*-IFR.*-ANS
VR_TCR_m,Mean Task Cued Recall Score,mean,vr,.*-TCR.*-ANS
VR_ICR_m,Mean Item Cued Recall Score,mean,vr,.*-ICR.*-ANS
VR_RRE_m,Mean Room Recognition Score,mean,vr,.*-RRE.*-ANS
VR_IRE_m,Mean Item Recognition Score,mean,vr,.*-IRE.*-ANS
VR_R1,First VR Room,string,dem,.*-VR1
VR_R2,Second VR Room,string,dem,.*-VR2
VR_R3,Third VR Room,string,dem,.*-VR3
VR_R4,Fourth VR Room,string,dem,.*-VR4
VR_bat,Bathroom Mean Score,mean,vr,.*BAT-.*ANS
VR_bed,Bedroom Mean Score,mean,vr,.*BED-.*ANS
VR_kit,Kitchen Mean Score,mean,vr,.*KIT-.*ANS
VR_liv,Livingroom Mean Score,mean,vr,.*LIV-.*ANS
VR_item_common,Common Item Mean,mean,vr,.*CM-.*ANS
VR_item_congruent,Congruent Item Mean,mean,vr,.*CG-.*ANS
VR_item_incongruent,Incongruent Item Mean,mean,vr,.*IN-.*ANS
VR_item_up,Item Pick Up,mean,vr,.*-U-.*ANS
VR_item_down,Item Put Down,mean,vr,.*-D-.*ANS
i_n_duck_1_bath_shower_bat_a,i_n_duck_1_bath_shower_bat_a,mean,vr,.*BAT.*-N-.*-n1.*-ANS
i_n_remote_2_p2_bath_bat_a,i_n_remote_2_p2_bath_bat_a,mean,vr,.*BAT.*-N-.*-n2.*-ANS
i_n_tbrushes_3_p3_p4_bat_a,i_n_tbrushes_3_p3_p4_bat_a,mean,vr,.*BAT.*-N-.*-n3.*-ANS
i_n_book_4_toilet_p3_bat_a,i_n_book_4_toilet_p3_bat_a,mean,vr,.*BAT.*-N-.*-n4.*-ANS
i_n_hammer_5_sink_toilet_bat_a,i_n_hammer_5_sink_toilet_bat_a,mean,vr,.*BAT.*-N-.*-n5.*-ANS
i_n_glasses_6_p1_sink_bat_a,i_n_glasses_6_p1_sink_bat_a,mean,vr,.*BAT.*-N-.*-n6.*-ANS
i_n_alarm_1_bed_p4_bed_a,i_n_alarm_1_bed_p4_bed_a,mean,vr,.*BED.*-N-.*-n1.*-ANS
i_n_magazine_2_dresser_bed_bed_a,i_n_magazine_2_dresser_bed_bed_a,mean,vr,.*BED.*-N-.*-n2.*-ANS
