UID,test,Theta_All,Prob_simple,Prob_TCC
A010,1,2.7277744,0.9386457902225233,0.8656321792995559
A010,2,0.4830945,0.6184783291429591,0.6498212229985861
A010,3,-0.063471645,0.48413741379275366,0.5701491644306483
A010,4,0.7356485,0.6760435710539507,0.6831192319751667
A011,1,0.99576205,0.7302245316247385,0.7148845113389876
A011,2,0.40040046,0.5987838711271023,0.6384074085647791
A011,3,-0.62277347,0.3491509320703468,0.4807364063665505
A011,4,-0.48618072,0.3807937042394204,0.5030414242482113
A012,1,1.5109797,0.8192063529532352,0.7702585177568233
A012,2,-0.3742091,0.4075243474941188,0.521147452073493
A012,3,0.8594104,0.7025374552899499,0.6985559103783489
A012,4,-0.57650775,0.3597365555931837,0.48831335004832055
A013,1,0.2579466,0.5641314537738482,0.6181810057906351
A013,2,-0.576954,0.35963377897629073,0.48824036422985995
A013,3,0.15941933,0.5397706388386694,0.6037930737411973
A013,4,-0.50066453,0.37738451449453175,0.5006863432044909
A014,1,0.9670465,0.7245304113413019,0.7115048305833017
A014,2,1.7351536,0.8500704358145991,0.7913547049023342
A014,3,0.37096328,0.591691720318773,0.6342854523160132
A014,4,-0.60555935,0.3530728344640581,0.4835578446621542
A015,1,1.7906865,0.8570114228022856,0.7963142040197618
A015,2,1.9530646,0.8757804209369404,0.8102297596898618
A015,3,1.7458305,0.8514261340590065,0.7923162993811778
A015,4,0.74841046,0.6788322477665373,0.6847380521784759
A016,1,1.3865802,0.8000457302990569,0.7577856581448489
A016,2,0.23833106,0.5593023243432275,0.6153418176079599
A016,3,-0.063229874,0.48419779593921597,0.5701864150355042
A016,4,-1.1086501,0.24812263729163334,0.4007577980578891
A017,1,-0.12061626,0.4698824393805156,0.5613024804320692
A017,2,1.2353034,0.7747454451614093,0.7418574028232722
A017,3,0.18662216,0.5465206006746008,0.6077968617250833
A017,4,0.04002261,0.5100043171182906,0.5859498893276637
A018,1,0.34396127,0.5851524407199876,0.6304777352776928
A018,2,-0.10368377,0.47410225410775086,0.5639324708425852
A018,3,-0.6740158,0.3375982200155315,0.4723236743031136
A018,4,0.015628511,0.503907048225497,0.5822524188577762
A019,1,-0.44238952,0.3911717419928796,0.5101447528768644
A019,2,-1.233944,0.2254918790499454,0.38031575296696607
A019,3,-1.1916012,0.23297268474559452,0.3872036149684397
A019,4,-1.652823,0.1607277779802378,0.31394877233250507
A020,1,-0.036810145,0.49079850271879755,0.5742476789920208
A020,2,-0.4131784,0.3981502458861981,0.5148676650594252
A020,3,-0.9177355,0.28541952638310614,0.4321573128502952
A020,4,-2.2843106,0.09243071277712978,0.2242501964718087
A021,1,1.366235,0.796771180067755,0.7556924521996141
A021,2,0.648662,0.6567088841207187,0.6719205212542934
A021,3,0.3772473,0.5932090139812422,0.6351679398630035
A021,4,0.77024406,0.6835736864505683,0.687493194334324
A022,1,0.1020859,0.5254993336708403,0.5952787293607448
A022,2,0.4643598,0.6140479308960228,0.6472569732821963
A022,3,-0.11233316,0.47194620409124843,0.5625899215275402
A022,4,0.0056279004,0.5014069713863875,0.5807317197296991
A023,1,0.8812526,0.7070817233265145,0.7012194525647522
A023,2,-0.48242265,0.38168021513578776,0.5036520445240095
A023,3,0.13040453,0.5325550114796457,0.5994969079891176
A023,4,0.004668119,0.5011670276307433,0.5805856269459607
A024,1,0.33348504,0.5826070983551582,0.6289935882552626
A024,2,0.10314593,0.5257636447532614,0.5954370660543286
A024,3,0.1529355,0.5381595270298674,0.6028353093307766
A024,4,-0.7700928,0.3164590321020076,0.4565075154908981
A025,1,0.99917114,0.7308955836563328,0.715283653575395
A025,2,1.6789465,0.8427649799502497,0.7862286225943306
A025,3,-0.15189764,0.4620984368841203,0.5564252848796281
A025,4,-1.1388493,0.24253169354063514,0.3958148946565272
A026,1,1.0569059,0.7420988149092731,0.721976048151045
A026,2,0.062489662,0.5156173337448822,0.5893400847979784
A026,3,0.7757372,0.684760656566229,0.6881835010161468
A026,4,-0.26765063,0.43348395260685985,0.5381825057734253
A027,1,0.9770042,0.7265133798742418,0.712680371226337
A027,2,0.3337341,0.5826676625401122,0.6290289161832097
A027,3,-0.7031997,0.3311031953222245,0.4675243882959869
A027,4,-0.8390413,0.30173673570775317,0.44513755484103995
A028,1,1.5710772,0.8279371174254662,0.7760860572981921
