term,estimate,se,z,p,CI_lower,CI_upper
Intercept,0.7500435730879464,0.09542182554943317,7.860293688254656,3.832338469613434e-15,0.5630202316719934,0.9370669145038995
domain[T.When],-0.3328577001643294,0.11151640272441846,-2.984831755978481,0.0028373433580836356,-0.551425833189654,-0.11428956713900487
domain[T.Where],0.031977418918550896,0.11151640272441846,0.2867508109777727,0.7743031289863002,-0.18659071410677364,0.25054555194387546
TSVR_hours,-0.0013300658796898122,0.001055267560297977,-1.26040629858293,0.20752283066120325,-0.003398352291927297,0.0007382205325476728
TSVR_hours:domain[T.When],0.0032777085350023565,0.0014620925857169048,2.2417927339363426,0.024974771067452252,0.00041205972493418147,0.0061433573450705315
TSVR_hours:domain[T.Where],-0.0009903032013093196,0.0014620925857169028,-0.6773190774534621,0.4982035292549395,-0.003855952011377491,0.001875345608758852
log_TSVR,-0.19943274891729232,0.036791359174514864,-5.420640970922273,5.938572111329653e-08,-0.2715424878416187,-0.1273230099929659
log_TSVR:domain[T.When],0.07006206793841475,0.05146126565643298,1.3614524836245754,0.17337073990190943,-0.030800159347041875,0.17092429522387137
log_TSVR:domain[T.Where],0.022669402547013023,0.05146126565643293,0.44051389443779115,0.6595649512103199,-0.0781928247384435,0.12353162983246954
Age_c,-0.009017077198931371,0.00659579425040491,-1.3670949784975208,0.17159553704091435,-0.02194459637916136,0.003910441981298614
Age_c:domain[T.When],0.010994631895107765,0.007713091350232165,1.4254507558473068,0.15402694522701302,-0.004122749360814696,0.026112013151030226
Age_c:domain[T.Where],-0.002513903513520833,0.007713091350232152,-0.3259268429959887,0.7444797058917142,-0.01763128476944327,0.012603477742401602
TSVR_hours:Age_c,4.22492800289973e-05,7.377538028458822e-05,0.5726745137201716,0.5668650969789941,-0.00010234780827454198,0.00018684636833253657
TSVR_hours:Age_c:domain[T.When],-5.449747593940232e-05,0.00010230583344787871,-0.5326917742883831,0.5942469611616981,-0.00025501322490559784,0.0001460182730267932
TSVR_hours:Age_c:domain[T.Where],-6.181251672687095e-05,0.00010230583344787838,-0.6041934720991495,0.5457150204732468,-0.0002623282656930658,0.0001387032322393239
log_TSVR:Age_c,-0.0009529655216245082,0.0025608369306973277,-0.37213049772951035,0.7097956904093725,-0.005972113676071365,0.004066182632822348
log_TSVR:Age_c:domain[T.When],-0.0004226736206032333,0.0035820726426197013,-0.11799694276834,0.9060700802781405,-0.007443406990144064,0.006598059748937598
log_TSVR:Age_c:domain[T.Where],0.002460657921073196,0.00358207264261969,0.6869369123886985,0.49212248480120235,-0.004560075448467613,0.009481391290614004
Group Var,1.0325569974548816,0.22743295835477098,4.540049977471619,5.624089569122039e-06,0.5867965901821325,1.4783174047276306
Group x test Cov,-0.18729352954005937,0.059422078017322404,-3.1519182059816315,0.0016220170274253,-0.30375866234054055,-0.0708283967395782
test Var,0.0652493361569453,0.019581243722067085,3.332236556731713,0.0008615099284111893,0.02687080368919277,0.10362786862469782
