domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
What,Young,1.0,0.8877772056363636,0.12998781664318734,0.6330010850157164,1.142553326257011,0.8495087529738442
What,Young,16.9,,,,,
What,Young,17.16,,,,,
What,Young,20.61,1.0619187,,,,0.4117350045300063
What,Young,21.63,0.026050432,,,,0.18718610809085418
What,Young,21.9,0.5321417,,,,0.7355993465616055
What,Young,21.98,,,,,
What,Young,22.09,,,,,
What,Young,22.2,,,,,
What,Young,22.6,,,,,
What,Young,22.64,,,,,
What,Young,22.77,,,,,
What,Young,22.82,0.3311532,,,,0.3432682436682951
What,Young,22.83,,,,,
What,Young,22.96,,,,,
What,Young,22.98,,,,,
What,Young,23.24,,,,,
What,Young,23.33,1.7059261,,,,0.5783426575398908
What,Young,23.35,,,,,
What,Young,23.46,-0.48320502,,,,-0.4841135934959847
What,Young,23.47,,,,,
What,Young,23.54,,,,,
What,Young,23.69,1.9235327,,,,1.22292677843118
What,Young,23.7,1.157818,,,,0.6586394215900234
What,Young,23.91,,,,,
What,Young,24.15,0.13877183,,,,0.08932528781815607
What,Young,24.25,,,,,
What,Young,24.32,,,,,
What,Young,24.37,,,,,
What,Young,24.49,,,,,
What,Young,24.51,,,,,
What,Young,24.57,0.58703774,,,,0.3470627957500313
What,Young,24.65,,,,,
What,Young,24.66,,,,,
What,Young,24.73,,,,,
What,Young,24.77,-0.30207354,,,,-0.021448454287745666
What,Young,24.78,,,,,
What,Young,24.87,,,,,
What,Young,24.96,,,,,
What,Young,25.15,,,,,
What,Young,25.6,-0.16549101,,,,0.41185254402050286
What,Young,25.62,,,,,
What,Young,25.63,-0.49034083,,,,0.12546042511195965
What,Young,25.66,2.0772517,,,,0.6152657733182252
What,Young,25.77,,,,,
What,Young,26.08,0.35502133,,,,0.6590560927028541
What,Young,26.11,,,,,
What,Young,26.17,,,,,
What,Young,26.22,,,,,
What,Young,26.26,,,,,
What,Young,26.48,0.00019577265,,,,0.31733191172742825
What,Young,26.85,-0.5171829,,,,-0.2836293895201205
What,Young,27.12,-0.3073396,,,,0.5956174417495028
What,Young,27.25,,,,,
What,Young,27.26,,,,,
What,Young,27.3,,,,,
What,Young,27.61,,,,,
What,Young,27.97,,,,,
What,Young,28.26,0.33739686,,,,-0.004420232719843403
What,Young,28.43,-0.0183022,,,,0.6416349156287932
What,Young,28.65,0.92305565,,,,1.0224386946271566
What,Young,28.68,,,,,
What,Young,28.69,-1.1935377,,,,-0.5553394979805166
What,Young,28.75,,,,,
What,Young,28.93,,,,,
What,Young,29.03,,,,,
What,Young,29.12,,,,,
What,Young,29.13,,,,,
What,Young,29.16,0.24968037,,,,0.21888897691702597
What,Young,29.33,,,,,
What,Young,29.57,-0.0904471,,,,0.08414111360900084
What,Young,29.71,,,,,
What,Young,29.91,,,,,
What,Young,30.21,0.8355286,,,,0.5160585105199313
What,Young,30.4,,,,,
What,Young,30.49,,,,,
What,Young,30.92,,,,,
What,Young,31.07,,,,,
What,Young,31.14,,,,,
What,Young,31.39,,,,,
What,Young,31.76,,,,,
What,Young,31.78,-1.0088389,,,,0.08242928778569328
What,Young,32.14,,,,,
What,Young,32.31,,,,,
What,Young,32.41,-0.3397794,,,,0.3824324097897898
What,Young,32.71,,,,,
What,Young,32.85,-0.39004326,,,,0.14559726490878888
What,Young,32.95,0.8832621,,,,0.033730171442697104
What,Young,33.61,,,,,
What,Young,33.76,,,,,
What,Young,34.03,-0.36246425,,,,0.08763837784321726
What,Young,35.16,,,,,
What,Young,37.65,,,,,
What,Young,44.69,,,,,
What,Young,44.76,0.87888414,,,,-0.15554190143213348
What,Young,47.66,,,,,
What,Young,53.88,,,,,
What,Young,57.18,-0.077504,,,,0.3839758355530199
What,Young,61.28,0.66992927,,,,0.3646051537142891
What,Young,64.94,,,,,
What,Young,65.63,,,,,
What,Young,66.08,,,,,
What,Young,66.28,,,,,
What,Young,66.66,,,,,
What,Young,66.9,,,,,
What,Young,68.96,,,,,
What,Young,69.46,,,,,
What,Young,69.99,,,,,
What,Young,70.22,,,,,
