TSVR_hours,domain,model,mean_score,CI_lower,CI_upper,n
1.0,What,IRT,0.60461890992,0.4425500695412439,0.7666877502987561,100
16.9,What,IRT,0.78079957,,,1
17.16,What,IRT,-0.61919725,,,1
20.61,What,IRT,1.0619187,,,1
21.63,What,IRT,0.026050432,,,1
21.9,What,IRT,0.5321417,,,1
21.98,What,IRT,0.50485903,,,1
22.09,What,IRT,0.31625798,,,1
22.2,What,IRT,-0.23618999,,,1
22.6,What,IRT,-0.25339428,,,1
22.64,What,IRT,0.07416145,,,1
22.77,What,IRT,0.4023,,,1
22.82,What,IRT,0.3311532,,,1
22.83,What,IRT,-0.707106,,,1
22.96,What,IRT,-0.67254853,,,1
22.98,What,IRT,-0.10413395,,,1
23.24,What,IRT,0.7207104,,,1
23.33,What,IRT,1.7059261,,,1
23.35,What,IRT,-0.24346694,,,1
23.46,What,IRT,-0.48320502,,,1
23.47,What,IRT,-0.8055431,,,1
23.54,What,IRT,-1.004835,,,1
23.69,What,IRT,1.9235327,,,1
23.7,What,IRT,1.157818,,,1
23.91,What,IRT,-0.534043,,,1
24.15,What,IRT,0.13877183,,,1
24.25,What,IRT,1.28394397,-0.8450886447999999,3.4129765848,2
24.32,What,IRT,-1.0450114,,,1
24.37,What,IRT,-0.46951467,,,1
24.49,What,IRT,-1.6634033,,,1
24.51,What,IRT,1.5030562,,,1
24.57,What,IRT,0.58703774,,,1
24.65,What,IRT,-0.85136366,,,1
24.66,What,IRT,-0.808676,,,1
24.73,What,IRT,-0.6173181,,,1
24.77,What,IRT,-0.30207354,,,1
24.78,What,IRT,-0.33406383,,,1
24.87,What,IRT,1.238489,,,1
24.96,What,IRT,-1.4017547,,,1
25.15,What,IRT,0.627722,,,1
25.6,What,IRT,-0.16549101,,,1
25.62,What,IRT,0.43919662,,,1
25.63,What,IRT,-0.49034083,,,1
25.66,What,IRT,2.0772517,,,1
25.77,What,IRT,0.2751316,,,1
26.08,What,IRT,0.35502133,,,1
26.11,What,IRT,-0.5799095,,,1
26.17,What,IRT,0.099462025,,,1
26.22,What,IRT,-1.6425781,,,1
26.26,What,IRT,0.056224108,,,1
26.48,What,IRT,0.00019577265,,,1
26.85,What,IRT,-0.5171829,,,1
27.12,What,IRT,-0.3073396,,,1
27.25,What,IRT,-1.0235722,,,1
27.26,What,IRT,-0.8997795,,,1
27.3,What,IRT,-0.47757313,,,1
27.61,What,IRT,-1.2300881,,,1
