composite_ID,UID,TEST,CTT_full_what,CTT_full_where,CTT_full_when
A010_1,A010,1,0.9655172413793104,0.885,0.7307692307692307
A010_2,A010,2,0.8620689655172413,0.685,0.5192307692307693
A010_3,A010,3,0.8275862068965517,0.505,0.5
A010_4,A010,4,0.9310344827586207,0.595,0.6538461538461539
A011_1,A011,1,0.9655172413793104,0.73,0.6346153846153846
A011_2,A011,2,0.8275862068965517,0.66,0.7115384615384616
A011_3,A011,3,0.8275862068965517,0.475,0.3076923076923077
A011_4,A011,4,0.6896551724137931,0.54,0.40384615384615385
A012_1,A012,1,0.9310344827586207,0.78,0.5961538461538461
A012_2,A012,2,0.7931034482758621,0.525,0.5769230769230769
A012_3,A012,3,0.896551724137931,0.715,0.25
A012_4,A012,4,0.6896551724137931,0.53,0.5
A013_1,A013,1,0.7241379310344828,0.675,0.6153846153846154
A013_2,A013,2,0.7931034482758621,0.585,0.40384615384615385
A013_3,A013,3,0.7586206896551724,0.655,0.4807692307692308
A013_4,A013,4,0.7931034482758621,0.54,0.46153846153846156
A014_1,A014,1,0.896551724137931,0.705,0.6538461538461539
A014_2,A014,2,0.9310344827586207,0.78,0.46153846153846156
A014_3,A014,3,0.9310344827586207,0.58,0.5384615384615384
A014_4,A014,4,0.7931034482758621,0.54,0.2692307692307692
A015_1,A015,1,0.896551724137931,0.835,0.6730769230769231
A015_2,A015,2,0.9655172413793104,0.83,0.5576923076923077
A015_3,A015,3,1.0,0.705,0.5384615384615384
A015_4,A015,4,0.896551724137931,0.695,0.5961538461538461
A016_1,A016,1,0.9310344827586207,0.735,0.4807692307692308
A016_2,A016,2,0.6896551724137931,0.7,0.4807692307692308
A016_3,A016,3,0.7241379310344828,0.555,0.34615384615384615
A016_4,A016,4,0.6896551724137931,0.51,0.3269230769230769
A017_1,A017,1,0.7068965517241379,0.6,0.5384615384615384
A017_2,A017,2,0.8275862068965517,0.705,0.6538461538461539
A017_3,A017,3,0.7931034482758621,0.64,0.3269230769230769
A017_4,A017,4,0.7931034482758621,0.55,0.5576923076923077
A018_1,A018,1,0.896551724137931,0.635,0.5384615384615384
A018_2,A018,2,0.6896551724137931,0.615,0.4807692307692308
A018_3,A018,3,0.6896551724137931,0.505,0.5769230769230769
A018_4,A018,4,0.7931034482758621,0.62,0.40384615384615385
A019_1,A019,1,0.8620689655172413,0.525,0.40384615384615385
A019_2,A019,2,0.6206896551724138,0.44,0.34615384615384615
A019_3,A019,3,0.7586206896551724,0.395,0.3269230769230769
A019_4,A019,4,0.6551724137931034,0.325,0.6923076923076923
A020_1,A020,1,0.7931034482758621,0.54,0.5192307692307693
A020_2,A020,2,0.6896551724137931,0.59,0.34615384615384615
A020_3,A020,3,0.6896551724137931,0.465,0.38461538461538464
A020_4,A020,4,0.4482758620689655,0.33,0.38461538461538464
A021_1,A021,1,0.9310344827586207,0.75,0.6153846153846154
A021_2,A021,2,0.8620689655172413,0.685,0.46153846153846156
A021_3,A021,3,0.896551724137931,0.61,0.40384615384615385
A021_4,A021,4,0.896551724137931,0.61,0.40384615384615385
A022_1,A022,1,0.8620689655172413,0.675,0.4230769230769231
A022_2,A022,2,0.8275862068965517,0.635,0.5769230769230769
A022_3,A022,3,0.7586206896551724,0.555,0.5
A022_4,A022,4,0.7931034482758621,0.6,0.40384615384615385
A023_1,A023,1,0.7931034482758621,0.745,0.5
A023_2,A023,2,0.7241379310344828,0.58,0.34615384615384615
A023_3,A023,3,0.8620689655172413,0.595,0.5
A023_4,A023,4,0.7931034482758621,0.605,0.40384615384615385
A024_1,A024,1,0.7586206896551724,0.695,0.4807692307692308
A024_2,A024,2,0.8275862068965517,0.585,0.34615384615384615
A024_3,A024,3,0.8620689655172413,0.595,0.3269230769230769
A024_4,A024,4,0.7241379310344828,0.41,0.4230769230769231
A025_1,A025,1,0.8620689655172413,0.705,0.7884615384615384
A025_2,A025,2,0.9655172413793104,0.795,0.5384615384615384
A025_3,A025,3,0.6551724137931034,0.66,0.46153846153846156
A025_4,A025,4,0.41379310344827586,0.555,0.5192307692307693
A026_1,A026,1,0.8275862068965517,0.775,0.5769230769230769
A026_2,A026,2,0.7931034482758621,0.555,0.21153846153846154
A026_3,A026,3,0.8620689655172413,0.765,0.4423076923076923
A026_4,A026,4,0.7931034482758621,0.63,0.4230769230769231
A027_1,A027,1,0.8275862068965517,0.82,0.46153846153846156
A027_2,A027,2,0.8275862068965517,0.64,0.5576923076923077
A027_3,A027,3,0.6896551724137931,0.545,0.3269230769230769
A027_4,A027,4,0.6551724137931034,0.515,0.46153846153846156
A028_1,A028,1,0.9655172413793104,0.76,0.6346153846153846
A028_2,A028,2,0.8620689655172413,0.585,0.46153846153846156
