Term,Coef,Std_Err,z,P_value,CI_lower,CI_upper
Intercept,0.138,0.103,1.344,0.179,-0.063,0.34
C(Domain)[T.when],-0.285,0.121,-2.352,0.019,-0.523,-0.048
C(Domain)[T.where],0.06,0.121,0.497,0.619,-0.177,0.298
Days,-0.036,0.032,-1.123,0.262,-0.099,0.027
Days:C(Domain)[T.when],0.103,0.044,2.35,0.019,0.017,0.189
Days:C(Domain)[T.where],-0.024,0.044,-0.558,0.577,-0.11,0.061
np.log(Days + 1 / 24),-0.221,0.046,-4.828,0.0,-0.31,-0.131
np.log(Days + 1 / 24):C(Domain)[T.when],0.035,0.064,0.541,0.588,-0.091,0.161
np.log(Days + 1 / 24):C(Domain)[T.where],0.032,0.064,0.505,0.614,-0.094,0.158
Group Var,0.31,0.082,,,,
Group x Days Cov,-0.02,0.012,,,,
Days Var,0.006,0.003,,,,
