cluster,variable,mean,SD,min,max
0,Total_Intercept_What,-0.19458529458592952,0.24472406730600693,-0.5979175634224372,0.2302115327076603
0,Total_Intercept_Where,-0.21427513823738129,0.2695665031784769,-0.6978404396936594,0.2369743961447343
0,Total_Slope_What,-0.010610701854578138,0.00915278122190578,-0.029389534911062,0.0021573273148245
0,Total_Slope_Where,-0.011581181217715014,0.00825462811468458,-0.0282744404251858,0.0074650766597363
1,Total_Intercept_What,0.15438844759045134,0.23594938614156283,-0.2270574486887442,0.7569819156827474
1,Total_Intercept_Where,0.1395542205649056,0.23810970303560697,-0.2656565084526067,0.6971509378608761
1,Total_Slope_What,0.017423429109844287,0.008495732139414418,0.0040074361435948,0.0373638605158663
1,Total_Slope_Where,0.01875457241400895,0.010694203746291889,0.0037430199550818,0.043316705534391
2,Total_Intercept_What,-0.8018472118715116,0.2477902638299891,-1.5311618304804715,-0.5155038783609862
2,Total_Intercept_Where,-0.925098503836264,0.2540841111321134,-1.6214049451684336,-0.5847959231778678
2,Total_Slope_What,-0.002075034510985265,0.009375753225929272,-0.0202291523409233,0.0181919769532653
2,Total_Slope_Where,0.017271566755079924,0.010785482684355252,-0.0018698434136787,0.0345820360565638
3,Total_Intercept_What,0.4925778269422634,0.262831463261619,0.1952258876987252,1.1301752837502286
3,Total_Intercept_Where,0.5547413333462836,0.32783473224579773,0.1438091547017703,1.3154811411551788
3,Total_Slope_What,0.004942809393468588,0.007748640994627796,-0.0114371978543689,0.0194995307726382
3,Total_Slope_Where,-0.0035641415677332283,0.008225165054999095,-0.0165818792096458,0.0117601732585299
4,Total_Intercept_What,0.2538603628262071,0.27502404745109316,-0.2426878258201464,0.7782702422567198
4,Total_Intercept_Where,0.3687678479628106,0.3245087165406041,-0.2918621387237128,0.855194336944429
4,Total_Slope_What,-0.020578366187951745,0.008871127913031974,-0.0381467615284088,-0.0063079364921099
4,Total_Slope_Where,-0.03225732556346171,0.00888956756612395,-0.044221117839064,-0.0186229735604514
