term,coefficient,SE,z,p_value
Intercept,0.6517361621965041,0.0979211913722681,6.65572133123658,2.819144917509675e-11
"C(paradigm, Treatment('IFR'))[T.ICR]",0.08706045636225837,0.08680456373358274,1.0029479167646187,0.315885991526353
"C(paradigm, Treatment('IFR'))[T.IRE]",0.08243814269164304,0.08680456373358282,0.9496982548597211,0.34226559676350776
TSVR_hours,-0.0025737719853749525,0.0021325921434940578,-1.2068749260034606,0.2274803153567988
"TSVR_hours:C(paradigm, Treatment('IFR'))[T.ICR]",-0.0007082950345460421,0.0011380954365511594,-0.6223511770615935,0.5337109764981356
"TSVR_hours:C(paradigm, Treatment('IFR'))[T.IRE]",-0.000938971827709449,0.001138095436551161,-0.8250378637444252,0.4093500945289894
log_TSVR,-0.13160322004108732,0.028565472310208322,-4.607073134024703,4.083764013840252e-06
"log_TSVR:C(paradigm, Treatment('IFR'))[T.ICR]",-0.00617236042688387,0.04005753956683632,-0.154087357676705,0.8775408563443661
"log_TSVR:C(paradigm, Treatment('IFR'))[T.IRE]",-0.009756565960688884,0.040057539566836387,-0.24356378514985827,0.8075686789463039
Age_c,-0.011194660636540836,0.006758030074292766,-1.6564976055855103,0.09762108955516258
"Age_c:C(paradigm, Treatment('IFR'))[T.ICR]",0.001702366954931773,0.006003883853290664,0.2835442850878476,0.7767596392860678
"Age_c:C(paradigm, Treatment('IFR'))[T.IRE]",-0.0019111524997980928,0.0060038838532906315,-0.31831936568037056,0.7502426960224644
TSVR_hours:Age_c,-4.010721116581619e-06,0.00014726105114709436,-0.027235450822467904,0.9782719405184388
"TSVR_hours:Age_c:C(paradigm, Treatment('IFR'))[T.ICR]",3.072045714161183e-05,7.963504043248159e-05,0.38576557473664,0.6996702929217424
"TSVR_hours:Age_c:C(paradigm, Treatment('IFR'))[T.IRE]",-1.844043654898268e-05,7.963504043248121e-05,-0.23156184072785715,0.816878348630045
log_TSVR:Age_c,0.0011991923434853569,0.0019843424863840234,0.60432730323211,0.5456260573318563
"log_TSVR:Age_c:C(paradigm, Treatment('IFR'))[T.ICR]",-0.0010438389375063077,0.002788291636101451,-0.3743650499076876,0.7081327416987762
"log_TSVR:Age_c:C(paradigm, Treatment('IFR'))[T.IRE]",0.0007426880884920408,0.002788291636101432,0.26635954391430217,0.7899623193507501
