term,coef,se,z,p
Intercept,0.541630355634404,0.10311545931448841,5.2526590991803035,1.4991886466206762e-07
TSVR_hours,-0.0024632339459160365,0.0010450644823419546,-2.3570162296550463,0.01842244168351792
log_TSVR,-0.1150641269692801,0.039239841518355904,-2.932329044077677,0.0033643008935052014
Age_c,-0.008057579666199417,0.007122100755152347,-1.1313487330785534,0.25790834036370813
Congruent,-0.056326543387114555,0.11195606047304762,-0.5031129458210495,0.6148848653603891
Incongruent,0.0629761657541023,0.1119560604730477,0.5625078757506226,0.573770039193727
Age_c:TSVR_hours,-4.296401436565547e-06,7.311028863957761e-05,-0.05876603028810541,0.953138465583397
Age_c:log_TSVR,0.0004764354641675968,0.0027276154534225903,0.17467105327100613,0.8613381142077154
Congruent:TSVR_hours,-0.0006363347240887342,0.0014678569425184086,-0.43351276657585713,0.6646422933750968
Congruent:log_TSVR,0.035016203766097674,0.05166415369485008,0.6777659414091616,0.4979201089661234
Incongruent:TSVR_hours,0.0003291158852087494,0.0014678569425184093,0.2242152322038166,0.8225898315983974
Incongruent:log_TSVR,-0.020963308766119036,0.05166415369485015,-0.40576119546904815,0.6849180732881102
Age_c:Congruent,-0.004347049099347328,0.007743500512428796,-0.5613803592277221,0.5745382704027442
Age_c:Incongruent,-0.0032628360904280356,0.0077435005124287986,-0.42136448305142893,0.6734889501203789
Age_c:Congruent:TSVR_hours,-0.00014607839103954678,0.00010270917816943215,-1.422252554670153,0.15495294696887144
Age_c:Congruent:log_TSVR,0.005032681578362886,0.0035961951031278716,1.3994462018997795,0.16167922033609072
Age_c:Incongruent:TSVR_hours,5.798328978192392e-06,0.00010270917816943225,0.05645385428580967,0.9549802558067451
Age_c:Incongruent:log_TSVR,0.0006520522674071333,0.003596195103127876,0.18131726691913777,0.8561185536138156
