item_tag,factor,a,b
TQ_ICR-D-i1,destination,0.25326034,1.7099692821502686
TQ_ICR-D-i2,destination,0.62843096,1.4637610912322998
TQ_ICR-D-i3,destination,0.912439,0.6140018105506897
TQ_ICR-D-i4,destination,0.22875193,3.961228847503662
TQ_ICR-D-i5,destination,1.058017,1.3856399059295654
TQ_ICR-D-i6,destination,2.562268,0.6529726386070251
TQ_ICR-U-i1,source,1.7722547,-0.2613324224948883
TQ_ICR-U-i2,source,0.94791996,-0.9629254341125488
TQ_ICR-U-i3,source,1.3456522,-0.6284023523330688
TQ_ICR-U-i4,source,0.6206177,-0.8800020813941956
TQ_ICR-U-i5,source,2.06637,-0.10915488749742508
TQ_ICR-U-i6,source,0.9063212,-0.5732532739639282
TQ_IFR-D-i2,destination,0.42588875,2.127990245819092
TQ_IFR-D-i3,destination,1.0016314,0.6646655201911926
TQ_IFR-D-i5,destination,0.6749058,1.098090410232544
TQ_IFR-D-i6,destination,0.4546325,2.4643733501434326
TQ_IFR-U-i1,source,1.0840179,-0.043676409870386124
TQ_IFR-U-i2,source,0.7293526,-0.23592878878116608
TQ_IFR-U-i3,source,0.7521246,-0.1253565400838852
TQ_IFR-U-i5,source,0.91401905,0.317538857460022
TQ_IFR-U-i6,source,0.44852972,0.3959328234195709
TQ_IRE-D-i1,destination,0.39087826,1.2689712047576904
TQ_IRE-D-i2,destination,0.53773963,1.3576196432113647
TQ_IRE-D-i3,destination,1.0933876,0.3511810302734375
TQ_IRE-D-i5,destination,1.0012659,0.8223857283592224
TQ_IRE-D-i6,destination,2.0395627,0.623845100402832
TQ_IRE-U-i1,source,1.5234289,-0.4315262734889984
TQ_IRE-U-i2,source,0.8719422,-1.457890272140503
TQ_IRE-U-i3,source,1.5581477,-0.6130585074424744
TQ_IRE-U-i4,source,0.6264496,-0.8730335831642151
TQ_IRE-U-i5,source,1.7296072,-0.25480344891548157
TQ_IRE-U-i6,source,0.7531969,-0.928924024105072
