composite_ID,theta_source,theta_destination,se_source,se_destination
A010_1,2.0556452,2.3516784,0.5,0.5
A010_2,0.019023852,1.1957428,0.5,0.5
A010_3,-0.39116472,-1.4274018,0.5,0.5
A010_4,0.6660674,-0.24777766,0.5,0.5
A011_1,0.049440503,1.0160496,0.5,0.5
A011_2,-0.3012992,0.04277535,0.5,0.5
A011_3,-0.6362023,-0.29197747,0.5,0.5
A011_4,-0.10884156,-0.77769005,0.5,0.5
A012_1,0.97632885,0.626727,0.5,0.5
A012_2,-0.045672882,-1.3327019,0.5,0.5
A012_3,1.4470131,-0.06667291,0.5,0.5
A012_4,-0.9229851,-1.3417982,0.5,0.5
A013_1,-0.1832191,0.2334942,0.5,0.5
A013_2,-0.76366305,-0.039042402,0.5,0.5
A013_3,0.66621304,0.8063575,0.5,0.5
A013_4,-1.986755,0.10192233,0.5,0.5
A014_1,0.1762697,0.6964946,0.5,0.5
A014_2,1.2848762,-0.5055915,0.5,0.5
A014_3,0.106613435,0.16545391,0.5,0.5
A014_4,-1.1791711,-0.31504494,0.5,0.5
A015_1,1.5555048,0.92655146,0.5,0.5
A015_2,1.6538595,1.603116,0.5,0.5
A015_3,1.5876491,0.3903965,0.5,0.5
A015_4,-0.15221702,-0.3369084,0.5,0.5
A016_1,1.9899976,1.2944396,0.5,0.5
A016_2,1.5398525,1.2603165,0.5,0.5
A016_3,-0.06724659,-0.6532196,0.5,0.5
A016_4,-1.1839314,-0.84585744,0.5,0.5
A017_1,-0.46000227,-0.093690746,0.5,0.5
A017_2,0.8895405,0.67552257,0.5,0.5
A017_3,0.16512735,0.3175847,0.5,0.5
A017_4,1.3103007,-0.82051104,0.5,0.5
A018_1,0.649043,1.3676174,0.5,0.5
A018_2,0.37868747,0.59802973,0.5,0.5
A018_3,-0.41238874,-0.6290119,0.5,0.5
A018_4,0.40829763,-0.4845081,0.5,0.5
A019_1,-0.60214025,-1.643789,0.5,0.5
A019_2,-0.99575174,0.28131932,0.5,0.5
A019_3,-0.3401855,-0.30374923,0.5,0.5
A019_4,-1.1128601,-1.1821991,0.5,0.5
A020_1,0.42679676,-0.47856945,0.5,0.5
A020_2,0.5942169,0.048799362,0.5,0.5
A020_3,-0.618497,-0.21620369,0.5,0.5
A020_4,-1.7548065,-0.9421463,0.5,0.5
A021_1,1.5304267,0.37049973,0.5,0.5
A021_2,-0.0847453,0.6908027,0.5,0.5
A021_3,0.15186824,-0.7515353,0.5,0.5
A021_4,1.002628,-1.033624,0.5,0.5
A022_1,0.13961065,-0.49171758,0.5,0.5
A022_2,0.7071582,-0.6047933,0.5,0.5
A022_3,0.7729729,0.08527543,0.5,0.5
A022_4,0.76675916,-0.20576859,0.5,0.5
A023_1,0.6350004,0.3173911,0.5,0.5
A023_2,0.274433,0.037662234,0.5,0.5
A023_3,0.77532303,-0.39656627,0.5,0.5
A023_4,-0.21983404,0.74671537,0.5,0.5
A024_1,0.35986423,-0.040011078,0.5,0.5
A024_2,0.6737768,-0.49629706,0.5,0.5
A024_3,-0.02988429,-0.093226135,0.5,0.5
A024_4,-1.3561323,-0.85684,0.5,0.5
A025_1,1.0245328,-0.19264615,0.5,0.5
A025_2,1.6489308,1.8668492,0.5,0.5
A025_3,0.24615791,-0.47572756,0.5,0.5
A025_4,-0.28471696,-0.03126344,0.5,0.5
A026_1,1.0687755,1.0948851,0.5,0.5
A026_2,-0.30248228,0.75694275,0.5,0.5
A026_3,0.8586267,0.106314994,0.5,0.5
A026_4,-0.5246008,-0.60777444,0.5,0.5
A027_1,0.587018,0.45004424,0.5,0.5
A027_2,0.88313293,0.8774853,0.5,0.5
A027_3,-0.686271,-0.20694923,0.5,0.5
A027_4,-0.6057106,0.5714248,0.5,0.5
A028_1,1.1003414,2.072113,0.5,0.5
A028_2,-0.16850984,0.20272735,0.5,0.5
A028_3,0.5016104,0.2082622,0.5,0.5
A028_4,-1.5766014,-0.10068991,0.5,0.5
A029_1,1.7070793,1.663702,0.5,0.5
A029_2,0.43190303,0.8550971,0.5,0.5
A029_3,1.1900728,0.40963927,0.5,0.5
A029_4,-0.19854482,1.1675735,0.5,0.5
A030_1,0.6448623,-0.4500404,0.5,0.5
A030_2,0.92919636,1.3618636,0.5,0.5
A030_3,0.60970914,0.38247338,0.5,0.5
A030_4,0.9906909,0.1173249,0.5,0.5
A031_1,0.8938279,1.611377,0.5,0.5
A031_2,-0.21758041,-0.40550002,0.5,0.5
A031_3,-0.42425665,0.012229985,0.5,0.5
A031_4,-1.160498,-0.8403187,0.5,0.5
A032_1,1.0993094,-1.1417812,0.5,0.5
A032_2,-0.5363635,-0.31080002,0.5,0.5
A032_3,0.25735825,0.8040323,0.5,0.5
A032_4,1.3438685,1.2647839,0.5,0.5
A033_1,0.14887948,-0.83107746,0.5,0.5
A033_2,0.27777234,0.052106757,0.5,0.5
A033_3,1.3641833,-0.022178482,0.5,0.5
A033_4,-0.6918457,-1.219702,0.5,0.5
A034_1,1.3907266,1.5516946,0.5,0.5
A034_2,1.3381073,1.1585721,0.5,0.5
A034_3,0.36700603,-1.1043179,0.5,0.5
A034_4,0.30434817,-0.72426254,0.5,0.5
A035_1,-0.506081,0.1812103,0.5,0.5
A035_2,0.8972279,0.06132105,0.5,0.5
A035_3,-0.66686827,0.055899937,0.5,0.5
A035_4,-0.96954477,-1.3281851,0.5,0.5
A036_1,0.37146685,1.2619326,0.5,0.5
A036_2,0.11184697,-0.7616677,0.5,0.5
A036_3,-0.29240212,-0.37553707,0.5,0.5
A036_4,-1.2874511,-0.9123863,0.5,0.5
A037_1,0.97691095,-0.40057093,0.5,0.5
A037_2,0.68761647,0.71388334,0.5,0.5
A037_3,-0.02490145,0.70505047,0.5,0.5
A037_4,-0.33197016,-0.9643585,0.5,0.5
A038_1,1.2317379,1.0677931,0.5,0.5
A038_2,-0.41110468,-0.11128169,0.5,0.5
A038_3,1.6335392,0.5464906,0.5,0.5
A038_4,-0.2163811,0.19555458,0.5,0.5
A039_1,2.0554147,1.6018482,0.5,0.5
A039_2,0.33710867,1.4499683,0.5,0.5
A039_3,0.79235137,1.0507565,0.5,0.5
A039_4,0.68419135,1.1400125,0.5,0.5
A040_1,-0.7356074,-0.55337614,0.5,0.5
A040_2,-0.5575312,0.7618247,0.5,0.5
A040_3,-1.8050435,-0.77892184,0.5,0.5
A040_4,-0.8605421,-1.1177351,0.5,0.5
A041_1,1.085921,0.2817592,0.5,0.5
A041_2,-1.0964279,-0.69452095,0.5,0.5
A041_3,-0.10368296,1.0087159,0.5,0.5
A041_4,0.55604047,-0.53449714,0.5,0.5
A042_1,-0.73253614,-0.95389044,0.5,0.5
A042_2,-1.347808,-0.3430786,0.5,0.5
A042_3,-0.69679284,0.087088645,0.5,0.5
A042_4,-1.4243762,-0.9307917,0.5,0.5
A043_1,0.38918123,0.7459941,0.5,0.5
A043_2,0.42244467,0.23500974,0.5,0.5
A043_3,-0.3083771,0.4698506,0.5,0.5
A043_4,-0.09110191,0.048743665,0.5,0.5
A044_1,-0.931087,0.98554295,0.5,0.5
A044_2,-0.10138068,0.35538843,0.5,0.5
A044_3,-1.4176146,-1.4284785,0.5,0.5
A044_4,-1.4225442,-1.1791446,0.5,0.5
A045_1,-0.72337794,0.11215298,0.5,0.5
A045_2,-0.71070373,-0.60453594,0.5,0.5
A045_3,-0.92465687,-0.57517415,0.5,0.5
A045_4,-0.47338516,-0.6431378,0.5,0.5
A046_1,-0.73696804,-1.1019914,0.5,0.5
A046_2,-1.524923,-1.2816705,0.5,0.5
A046_3,-1.6154169,-1.168264,0.5,0.5
A046_4,-0.8297869,-0.61300504,0.5,0.5
A047_1,-0.2630411,-0.47270656,0.5,0.5
A047_2,-0.08885454,0.07527778,0.5,0.5
A047_3,-1.2931772,0.14330623,0.5,0.5
A047_4,-1.5719998,0.52011126,0.5,0.5
A048_1,1.0261309,1.8068985,0.5,0.5
A048_2,0.2245945,-0.32588872,0.5,0.5
A048_3,-0.09986894,0.5294694,0.5,0.5
A048_4,-0.047569595,-0.32352263,0.5,0.5
A049_1,1.628672,0.6893137,0.5,0.5
