UID,test,composite_ID,TSVR_hours,Days,log_Days_plus1,Days_squared,LocationType,LocationType_coded,theta,se
A010,1,A010_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,2.0556452,0.5
A010,2,A010_2,21.9,0.9125,0.6484112867185539,0.83265625,source,0,0.019023852,0.5
A010,3,A010_3,80.88,3.3699999999999997,1.4747630091074986,11.356899999999998,source,0,-0.39116472,0.5
A010,4,A010_4,145.31,6.054583333333333,1.9536775237921948,36.65797934027778,source,0,0.6660674,0.5
A011,1,A011_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,0.049440503,0.5
A011,2,A011_2,24.57,1.02375,0.7049522260097076,1.0480640625,source,0,-0.3012992,0.5
A011,3,A011_3,72.55,3.0229166666666667,1.392007178526578,9.138025173611112,source,0,-0.6362023,0.5
A011,4,A011_4,148.85,6.202083333333333,1.974370336019688,38.46583767361111,source,0,-0.10884156,0.5
A012,1,A012_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,0.97632885,0.5
A012,2,A012_2,25.6,1.0666666666666667,0.7259370033829361,1.1377777777777778,source,0,-0.045672882,0.5
A012,3,A012_3,166.33,6.930416666666667,2.070705577351747,48.030675173611115,source,0,1.4470131,0.5
A012,4,A012_4,166.87,6.952916666666667,2.0735387376938554,48.34305017361111,source,0,-0.9229851,0.5
A013,1,A013_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,-0.1832191,0.5
A013,2,A013_2,24.77,1.0320833333333332,0.7090615393740157,1.0651960069444442,source,0,-0.76366305,0.5
A013,3,A013_3,79.66,3.3191666666666664,1.4630624824136147,11.016867361111109,source,0,0.66621304,0.5
A013,4,A013_4,147.13,6.130416666666666,1.9643696712414147,37.58200850694444,source,0,-1.986755,0.5
A014,1,A014_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,0.1762697,0.5
A014,2,A014_2,25.66,1.0691666666666666,0.727145949732075,1.143117361111111,source,0,1.2848762,0.5
A014,3,A014_3,70.56,2.94,1.3711807233098425,8.6436,source,0,0.106613435,0.5
A014,4,A014_4,148.87,6.202916666666667,1.9744860365867498,38.47617517361111,source,0,-1.1791711,0.5
A015,1,A015_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,1.5555048,0.5
A015,2,A015_2,23.69,0.9870833333333334,0.6866679019621874,0.9743335069444446,source,0,1.6538595,0.5
A015,3,A015_3,70.59,2.94125,1.3714979318771336,8.650951562500001,source,0,1.5876491,0.5
A015,4,A015_4,146.54,6.105833333333333,1.9609160429659578,37.28120069444444,source,0,-0.15221702,0.5
A016,1,A016_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,1.9899976,0.5
A016,2,A016_2,32.85,1.3687500000000001,0.8623623898485996,1.8734765625000003,source,0,1.5398525,0.5
A016,3,A016_3,80.64,3.36,1.4724720573609429,11.289599999999998,source,0,-0.06724659,0.5
A016,4,A016_4,150.8,6.283333333333334,1.9855886328734895,39.480277777777786,source,0,-1.1839314,0.5
A017,1,A017_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,-0.46000227,0.5
A017,2,A017_2,20.61,0.85875,0.6199042187922278,0.7374515625,source,0,0.8895405,0.5
A017,3,A017_3,61.28,2.5533333333333332,1.2678861300695887,6.519511111111111,source,0,0.16512735,0.5
A017,4,A017_4,140.49,5.853750000000001,1.9247959477361212,34.26638906250001,source,0,1.3103007,0.5
A018,1,A018_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,0.649043,0.5
A018,2,A018_2,34.03,1.4179166666666667,0.8829062878545713,2.0104876736111112,source,0,0.37868747,0.5
A018,3,A018_3,83.64,3.485,1.5007384955107592,12.145225,source,0,-0.41238874,0.5
A018,4,A018_4,150.87,6.28625,1.9859890103776225,39.5169390625,source,0,0.40829763,0.5
A019,1,A019_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,-0.60214025,0.5
A019,2,A019_2,28.69,1.1954166666666668,0.7863718538732487,1.4290210069444447,source,0,-0.99575174,0.5
A019,3,A019_3,83.68,3.486666666666667,1.5011100355484719,12.156844444444445,source,0,-0.3401855,0.5
A019,4,A019_4,154.76,6.448333333333333,2.007990293717305,41.581002777777776,source,0,-1.1128601,0.5
A020,1,A020_1,1.0,0.041666666666666664,0.0408219945202552,0.001736111111111111,source,0,0.42679676,0.5
A020,2,A020_2,26.85,1.1187500000000001,0.7508262921466236,1.2516015625000003,source,0,0.5942169,0.5
