composite_ID,UID,test,TSVR_hours,domain,theta
A010_1,A010,1,1.0,what,2.8495245
A010_2,A010,2,21.9,what,0.21910101
A010_3,A010,3,80.88,what,-0.20786455
A010_4,A010,4,145.31,what,1.4082963
A011_1,A011,1,1.0,what,1.0459343
A011_2,A011,2,24.57,what,0.5411904
A011_3,A011,3,72.55,what,-0.51790774
A011_4,A011,4,148.85,what,-0.03306195
A012_1,A012,1,1.0,what,1.0967582
A012_2,A012,2,25.6,what,-0.36091226
A012_3,A012,3,166.33,what,2.2870164
A012_4,A012,4,166.87,what,-0.62503695
A013_1,A013,1,1.0,what,-0.5019602
A013_2,A013,2,24.77,what,-0.14593226
A013_3,A013,3,79.66,what,-0.08115509
A013_4,A013,4,147.13,what,-0.4656096
A014_1,A014,1,1.0,what,1.1409624
A014_2,A014,2,25.66,what,2.1043804
A014_3,A014,3,70.56,what,0.79710543
A014_4,A014,4,148.87,what,-0.6996891
A015_1,A015,1,1.0,what,1.4257106
A015_2,A015,2,23.69,what,3.0692377
A015_3,A015,3,70.59,what,2.9706106
A015_4,A015,4,146.54,what,-0.02934593
A016_1,A016,1,1.0,what,2.3398628
A016_2,A016,2,32.85,what,-0.67632926
A016_3,A016,3,80.64,what,0.5615947
A016_4,A016,4,150.8,what,-1.2509964
A017_1,A017,1,1.0,what,-1.3039442
A017_2,A017,2,20.61,what,0.854301
A017_3,A017,3,61.28,what,0.34112677
A017_4,A017,4,140.49,what,0.16414243
A018_1,A018,1,1.0,what,0.4271234
A018_2,A018,2,34.03,what,-0.54942524
A018_3,A018,3,83.64,what,-1.1313053
A018_4,A018,4,150.87,what,0.675922
A019_1,A019,1,1.0,what,-0.5048446
A019_2,A019,2,28.69,what,-0.6859969
A019_3,A019,3,83.68,what,-0.7494449
A019_4,A019,4,154.76,what,-0.2041359
A020_1,A020,1,1.0,what,0.6839242
A020_2,A020,2,26.85,what,0.19881293
A020_3,A020,3,78.25,what,0.124854565
A020_4,A020,4,145.78,what,-1.8937365
A021_1,A021,1,1.0,what,1.138064
A021_2,A021,2,30.21,what,1.2837107
A021_3,A021,3,74.19,what,0.5994273
A021_4,A021,4,140.39,what,2.1473718
A022_1,A022,1,1.0,what,0.87827647
A022_2,A022,2,24.15,what,-0.3750848
A022_3,A022,3,74.46,what,-0.6210991
A022_4,A022,4,141.71,what,-0.1070101
A023_1,A023,1,1.0,what,0.12642181
A023_2,A023,2,25.63,what,-0.39188105
A023_3,A023,3,72.2,what,1.1006073
A023_4,A023,4,145.07,what,-0.36299026
A024_1,A024,1,1.0,what,0.4155501
A024_2,A024,2,29.57,what,-0.045083024
A024_3,A024,3,91.47,what,0.61174965
A024_4,A024,4,145.65,what,-0.8740546
A025_1,A025,1,1.0,what,0.9619363
A025_2,A025,2,23.33,what,3.2355838
A025_3,A025,3,72.94,what,-0.41828287
A025_4,A025,4,137.74,what,-1.3438815
A026_1,A026,1,1.0,what,1.1484417
A026_2,A026,2,26.48,what,0.29836762
A026_3,A026,3,75.46,what,0.5301962
A026_4,A026,4,147.65,what,-0.050407227
A027_1,A027,1,1.0,what,0.24607074
A027_2,A027,2,28.26,what,0.8358134
A027_3,A027,3,74.58,what,-0.77509683
A027_4,A027,4,145.92,what,-0.7473746
A028_1,A028,1,1.0,what,1.9784641
A028_2,A028,2,22.82,what,0.20417708
A028_3,A028,3,72.26,what,-0.68490416
A028_4,A028,4,138.91,what,-1.4094522
A029_1,A029,1,1.0,what,2.0143404
A029_2,A029,2,28.43,what,1.2032137
A029_3,A029,3,93.26,what,1.1944488
A029_4,A029,4,143.14,what,0.40829158
A030_1,A030,1,1.0,what,0.79424596
A030_2,A030,2,32.95,what,0.44205505
A030_3,A030,3,71.93,what,-0.63093513
A030_4,A030,4,150.46,what,0.66448706
A031_1,A031,1,1.0,what,2.6667287
A031_2,A031,2,32.41,what,0.11545077
A031_3,A031,3,71.56,what,0.05749122
A031_4,A031,4,143.85,what,-0.53367615
A032_1,A032,1,1.0,what,0.717028
A032_2,A032,2,57.18,what,0.033122495
A032_3,A032,3,80.16,what,1.1361644
A032_4,A032,4,144.51,what,1.4961241
A033_1,A033,1,1.0,what,0.7324871
A033_2,A033,2,29.16,what,1.053833
A033_3,A033,3,72.6,what,1.0989009
A033_4,A033,4,168.33,what,0.92701405
A034_1,A034,1,1.0,what,1.1478217
A034_2,A034,2,26.08,what,0.38348988
A034_3,A034,3,74.28,what,-0.016765982
A034_4,A034,4,145.38,what,-0.51218176
A035_1,A035,1,1.0,what,-0.18783784
A035_2,A035,2,44.76,what,1.1757679
A035_3,A035,3,79.98,what,-0.5536363
A035_4,A035,4,152.47,what,-0.835791
A036_1,A036,1,1.0,what,1.332992
A036_2,A036,2,21.63,what,-0.44961703
A036_3,A036,3,71.47,what,-0.19414504
A036_4,A036,4,143.85,what,0.2076543
A037_1,A037,1,1.0,what,1.7465817
A037_2,A037,2,23.7,what,1.5737433
A037_3,A037,3,72.08,what,-0.14643928
A037_4,A037,4,143.66,what,-0.20466933
A038_1,A038,1,1.0,what,1.1379485
A038_2,A038,2,71.85,what,-0.38544658
A038_3,A038,3,72.86,what,0.9902118
A038_4,A038,4,152.89,what,0.017764084
A039_1,A039,1,1.0,what,2.7536566
A039_2,A039,2,28.65,what,0.6637576
A039_3,A039,3,98.84,what,-0.42993444
A039_4,A039,4,246.24,what,0.77186465
A040_1,A040,1,1.0,what,-0.3483343
A040_2,A040,2,26.26,what,1.2668161
A040_3,A040,3,71.28,what,-1.7308351
A040_4,A040,4,143.53,what,-2.0088344
A041_1,A041,1,1.0,what,1.0519564
A041_2,A041,2,31.78,what,-0.89921147
A041_3,A041,3,75.74,what,0.34561834
A041_4,A041,4,141.84,what,0.47991753
A042_1,A042,1,1.0,what,-0.23226798
A042_2,A042,2,28.93,what,-0.6764188
A042_3,A042,3,72.17,what,0.41297585
A042_4,A042,4,146.02,what,-1.060709
A043_1,A043,1,1.0,what,0.5270698
A043_2,A043,2,25.62,what,0.37927657
A043_3,A043,3,64.94,what,0.8748715
A043_4,A043,4,149.33,what,-0.12630613
A044_1,A044,1,1.0,what,0.11931978
A044_2,A044,2,47.66,what,-0.039003193
A044_3,A044,3,91.63,what,-1.1271453
A044_4,A044,4,155.27,what,-0.98223126
A045_1,A045,1,1.0,what,-0.79529893
A045_2,A045,2,24.66,what,-0.6524082
A045_3,A045,3,72.23,what,-1.0008355
A045_4,A045,4,151.52,what,-1.9204704
A046_1,A046,1,1.0,what,-0.74961597
A046_2,A046,2,24.32,what,-1.7768368
A046_3,A046,3,73.05,what,-1.9663489
A046_4,A046,4,147.94,what,-1.1430976
A047_1,A047,1,1.0,what,0.28377923
A047_2,A047,2,23.46,what,-0.43273208
A047_3,A047,3,76.85,what,-1.4137906
A047_4,A047,4,144.22,what,-1.2736783
A048_1,A048,1,1.0,what,2.046809
A048_2,A048,2,23.91,what,-0.102730244
A048_3,A048,3,81.15,what,1.2428203
A048_4,A048,4,146.3,what,-0.41433746
A049_1,A049,1,1.0,what,3.0403953
A049_2,A049,2,27.12,what,0.081395224
A049_3,A049,3,111.38,what,0.70681286
A049_4,A049,4,168.86,what,-0.6787857
A050_1,A050,1,1.0,what,-0.57845104
A050_2,A050,2,24.73,what,-0.6776924
A050_3,A050,3,93.39,what,-0.3239175
A050_4,A050,4,148.69,what,-0.48715395
A051_1,A051,1,1.0,what,1.041391
A051_2,A051,2,17.16,what,-0.52874124
A051_3,A051,3,65.63,what,-0.8176612
A051_4,A051,4,146.99,what,0.13951796
A052_1,A052,1,1.0,what,1.8573551
A052_2,A052,2,31.76,what,1.1501558
A052_3,A052,3,80.98,what,0.32017773
A052_4,A052,4,153.27,what,-0.5592403
A053_1,A053,1,1.0,what,1.3423723
A053_2,A053,2,32.71,what,0.6697047
A053_3,A053,3,78.28,what,-0.5973952
A053_4,A053,4,148.9,what,0.5542387
A054_1,A054,1,1.0,what,0.40082943
A054_2,A054,2,16.9,what,0.061698496
A054_3,A054,3,72.83,what,2.3994637
A054_4,A054,4,136.83,what,0.367707
A055_1,A055,1,1.0,what,-0.25977668
A055_2,A055,2,23.24,what,0.27098116
A055_3,A055,3,74.48,what,0.40776598
A055_4,A055,4,149.21,what,-0.31431788
A056_1,A056,1,1.0,what,1.1720088
A056_2,A056,2,33.61,what,0.15596366
A056_3,A056,3,71.46,what,-0.6204517
A056_4,A056,4,147.84,what,-0.7323073
A057_1,A057,1,1.0,what,1.023826
A057_2,A057,2,24.78,what,0.5389139
A057_3,A057,3,73.83,what,0.14511971
A057_4,A057,4,145.06,what,-0.4786676
A058_1,A058,1,1.0,what,0.07391393
A058_2,A058,2,22.96,what,-0.697528
A058_3,A058,3,66.28,what,-1.2829115
A058_4,A058,4,143.48,what,-0.55715656
A059_1,A059,1,1.0,what,1.1420809
A059_2,A059,2,30.4,what,1.0119654
A059_3,A059,3,79.78,what,1.1656518
A059_4,A059,4,151.93,what,0.62250775
A060_1,A060,1,1.0,what,-0.22650719
A060_2,A060,2,24.87,what,0.4809326
A060_3,A060,3,94.68,what,-0.4725994
A060_4,A060,4,143.91,what,1.0427784
A061_1,A061,1,1.0,what,2.3442874
A061_2,A061,2,35.16,what,1.233524
A061_3,A061,3,82.55,what,-0.14096707
A061_4,A061,4,146.56,what,0.4611628
A062_1,A062,1,1.0,what,1.5959945
A062_2,A062,2,44.69,what,0.74262905
A062_3,A062,3,92.72,what,-0.3143865
A062_4,A062,4,149.18,what,-0.3356112
