TSVR_hours,domain,theta,predicted_theta,UID
1.0,what,2.8495245,0.591448718819625,A010
1.0,what,1.0459343,0.591448718819625,A011
1.0,what,1.0967582,0.591448718819625,A012
1.0,what,-0.5019602,0.591448718819625,A013
1.0,what,1.1409624,0.591448718819625,A014
1.0,what,1.4257106,0.591448718819625,A015
1.0,what,2.3398628,0.591448718819625,A016
1.0,what,-1.3039442,0.591448718819625,A017
1.0,what,0.4271234,0.591448718819625,A018
1.0,what,-0.5048446,0.591448718819625,A019
1.0,what,0.6839242,0.591448718819625,A020
1.0,what,1.138064,0.591448718819625,A021
1.0,what,0.87827647,0.591448718819625,A022
1.0,what,0.12642181,0.591448718819625,A023
1.0,what,0.4155501,0.591448718819625,A024
1.0,what,0.9619363,0.591448718819625,A025
1.0,what,1.1484417,0.591448718819625,A026
1.0,what,0.24607074,0.591448718819625,A027
1.0,what,1.9784641,0.591448718819625,A028
1.0,what,2.0143404,0.591448718819625,A029
1.0,what,0.79424596,0.591448718819625,A030
1.0,what,2.6667287,0.591448718819625,A031
1.0,what,0.717028,0.591448718819625,A032
1.0,what,0.7324871,0.591448718819625,A033
1.0,what,1.1478217,0.591448718819625,A034
1.0,what,-0.18783784,0.591448718819625,A035
1.0,what,1.332992,0.591448718819625,A036
1.0,what,1.7465817,0.591448718819625,A037
1.0,what,1.1379485,0.591448718819625,A038
1.0,what,2.7536566,0.591448718819625,A039
1.0,what,-0.3483343,0.591448718819625,A040
1.0,what,1.0519564,0.591448718819625,A041
1.0,what,-0.23226798,0.591448718819625,A042
1.0,what,0.5270698,0.591448718819625,A043
1.0,what,0.11931978,0.591448718819625,A044
1.0,what,-0.79529893,0.591448718819625,A045
1.0,what,-0.74961597,0.591448718819625,A046
1.0,what,0.28377923,0.591448718819625,A047
1.0,what,2.046809,0.591448718819625,A048
1.0,what,3.0403953,0.591448718819625,A049
1.0,what,-0.57845104,0.591448718819625,A050
1.0,what,1.041391,0.591448718819625,A051
1.0,what,1.8573551,0.591448718819625,A052
1.0,what,1.3423723,0.591448718819625,A053
1.0,what,0.40082943,0.591448718819625,A054
1.0,what,-0.25977668,0.591448718819625,A055
1.0,what,1.1720088,0.591448718819625,A056
1.0,what,1.023826,0.591448718819625,A057
1.0,what,0.07391393,0.591448718819625,A058
1.0,what,1.1420809,0.591448718819625,A059
1.0,what,-0.22650719,0.591448718819625,A060
1.0,what,2.3442874,0.591448718819625,A061
1.0,what,1.5959945,0.591448718819625,A062
1.0,what,0.5493032,0.591448718819625,A063
1.0,what,1.9356189,0.591448718819625,A064
1.0,what,-1.9780934,0.591448718819625,A065
1.0,what,0.97834384,0.591448718819625,A066
1.0,what,-0.10672778,0.591448718819625,A067
1.0,what,1.5416224,0.591448718819625,A068
1.0,what,-0.15469807,0.591448718819625,A069
1.0,what,1.799753,0.591448718819625,A070
1.0,what,0.7387622,0.591448718819625,A071
1.0,what,0.75499666,0.591448718819625,A072
1.0,what,0.5202863,0.591448718819625,A073
1.0,what,0.37155366,0.591448718819625,A074
1.0,what,0.11663741,0.591448718819625,A075
1.0,what,-1.0752667,0.591448718819625,A076
1.0,what,1.2959877,0.591448718819625,A077
1.0,what,0.1586144,0.591448718819625,A078
1.0,what,-0.17249557,0.591448718819625,A079
1.0,what,0.76161516,0.591448718819625,A080
1.0,what,1.4227011,0.591448718819625,A081
1.0,what,0.9328251,0.591448718819625,A082
1.0,what,1.8399825,0.591448718819625,A083
1.0,what,0.4807053,0.591448718819625,A084
1.0,what,-0.13054855,0.591448718819625,A085
1.0,what,1.271515,0.591448718819625,A086
1.0,what,0.8442136,0.591448718819625,A087
1.0,what,0.68433183,0.591448718819625,A088
1.0,what,0.8078197,0.591448718819625,A089
1.0,what,0.66550887,0.591448718819625,A090
1.0,what,-0.4360702,0.591448718819625,A091
1.0,what,-0.5627572,0.591448718819625,A092
1.0,what,0.089600235,0.591448718819625,A093
1.0,what,-0.18309258,0.591448718819625,A094
1.0,what,1.0873888,0.591448718819625,A095
1.0,what,-0.3248322,0.591448718819625,A096
1.0,what,1.8411877,0.591448718819625,A097
1.0,what,0.086295724,0.591448718819625,A098
1.0,what,1.098286,0.591448718819625,A099
1.0,what,-0.8105178,0.591448718819625,A100
1.0,what,-1.3086234,0.591448718819625,A101
1.0,what,-0.5762197,0.591448718819625,A102
1.0,what,1.7303075,0.591448718819625,A103
1.0,what,1.9258907,0.591448718819625,A104
1.0,what,1.6877278,0.591448718819625,A105
1.0,what,2.1079547,0.591448718819625,A106
1.0,what,-0.7924621,0.591448718819625,A107
1.0,what,-1.3257308,0.591448718819625,A108
1.0,what,0.032928675,0.591448718819625,A109
16.9,what,0.061698496,0.331533454542444,A054
17.16,what,-0.52874124,0.3281875341352512,A051
20.61,what,0.854301,0.2856873912662383,A017
21.63,what,-0.44961703,0.2737504818356419,A036
21.9,what,0.21910101,0.2706353683091076,A010
21.98,what,0.61191547,0.2697158901294735,A063
22.09,what,0.6145582,0.26845421638406725,A093
22.2,what,-0.18568097,0.2671955502070561,A091
22.6,what,-1.2385492,0.26264370985154256,A104
22.64,what,0.24444717,0.26219067660948764,A106
22.77,what,0.0470621,0.26072099730801157,A105
22.82,what,0.20417708,0.2601568235058344,A028
22.83,what,-0.19135952,0.26004406104705596,A092
22.96,what,-0.697528,0.2585803363127119,A058
22.98,what,-0.3280189,0.25835550760536635,A094
23.24,what,0.27098116,0.2554414128615501,A055
23.33,what,3.2355838,0.25443642325900273,A025
23.35,what,-0.19855887,0.25421335176805354,A066
23.46,what,-0.43273208,0.2529881403073312,A047
23.47,what,-0.28911102,0.25287689829465315,A086
23.54,what,-1.6414227,0.2520988597413784,A090
23.69,what,3.0692377,0.2504354848136358,A015
23.7,what,1.5737433,0.250324779244256,A037
23.91,what,-0.102730244,0.24800530800346576,A048
24.15,what,-0.3750848,0.2453669004588075,A022
24.25,what,1.5305908,0.24427144319611527,A070
24.25,what,2.7557518,0.24427144319611527,A088
24.32,what,-1.7768368,0.24350597314829514,A046
24.37,what,-0.2735227,0.24295988745350972,A097
24.49,what,-1.2925794,0.24165158149100652,A096
24.51,what,0.9672473,0.24143384531834444,A085
24.57,what,0.5411904,0.24078117501123308,A011
24.65,what,-1.9036578,0.23991220100522687,A109
24.66,what,-0.6524082,0.2398036797405919,A045
