term,estimate,se,z,p,CI_lower,CI_upper
Intercept,0.746824611044693,0.0930080562785595,8.029676577778922,9.772995687746689e-16,0.564532170466642,0.929117051622744
domain[T.When],-0.33285770016431215,0.11293000178302373,-2.9474691836438915,0.003203866837972335,-0.5541964364330827,-0.11151896389554156
domain[T.Where],0.031977418918579616,0.11293000178302359,0.2831614133861342,0.7770531059858253,-0.1893613173501907,0.25331615518734996
TSVR_hours,-0.001373459096907878,0.00108928349829338,-1.2608830474892223,0.20735098682978592,-0.0035084155225167005,0.0007614973287009444
TSVR_hours:domain[T.When],0.003277708535002597,0.0014806262960256147,2.213731137830537,0.026847279607845706,0.00037573432022945186,0.006179682749775742
TSVR_hours:domain[T.Where],-0.0009903032013090331,0.001480626296025614,-0.6688407493283514,0.5035970695700092,-0.003892277416082177,0.0019116710134641109
log_TSVR,-0.19781593125288022,0.037057689929447475,-5.338053495225778,9.394974207346032e-08,-0.27044766886484994,-0.1251841936409105
log_TSVR:domain[T.When],0.07006206793840496,0.052113596568382846,1.3444105291499184,0.1788156708781068,-0.03207870444047557,0.1722028403172855
log_TSVR:domain[T.Where],0.022669402546999597,0.05211359656838278,0.43499977049661315,0.6635625940244199,-0.0794713698318808,0.12481017492588001
Age_c,-0.009307915379719717,0.006426255219846969,-1.4484198123617895,0.1474996771642145,-0.021903144166082304,0.0032873134066428687
Age_c:domain[T.When],0.01099463189510805,0.007810863681523938,1.4076077042690038,0.15924726487296748,-0.004314379608830804,0.0263036433990469
Age_c:domain[T.Where],-0.002513903513520789,0.007810863681523928,-0.32184706019991854,0.7475685606648034,-0.017822915017459622,0.012795107990418046
TSVR_hours:Age_c,4.6622470886726e-05,7.602560446485017e-05,0.6132469608746292,0.5397130577870635,-0.00010238497576726786,0.00019562991754071987
TSVR_hours:Age_c:domain[T.When],-5.449747593939778e-05,0.00010360267791486941,-0.5260238155637106,0.5988716599925773,-0.0002575549933544451,0.00014856004147564952
TSVR_hours:Age_c:domain[T.Where],-6.181251672686937e-05,0.00010360267791486932,-0.5966304922896002,0.5507541084881733,-0.00026487003414191646,0.00014124500068817775
log_TSVR:Age_c,-0.0009518054481062397,0.0025768178336718047,-0.3693724234863651,0.7118501498129746,-0.0060022755968235,0.004098664700611021
log_TSVR:Age_c:domain[T.When],-0.000422673620603401,0.0036274795459250724,-0.11651991837644164,0.9072405010354994,-0.007532402885272252,0.006687055644065449
log_TSVR:Age_c:domain[T.Where],0.0024606579210731516,0.003627479545925067,0.6783381932056196,0.49755728766301766,-0.004649071343595689,0.009570387185741991
Group Var,0.5942618841285479,0.11640680113189772,5.105044364677663,3.307169176281523e-07,0.36610874635451196,0.8224150219025838
Group x TSVR_hours Cov,-0.0013668829259324926,0.0006708081933697939,-2.0376658178040117,0.041583364871674196,-0.002681642825471669,-5.212302639331641e-05
TSVR_hours Var,1.7626954713335383e-05,6.764185449976084e-06,2.605924223055964,0.009162673014966545,4.369394846632398e-06,3.088451458003837e-05
