composite_ID,UID,test,domain,TSVR_hours,CTT_score
A010_1,A010,1,what,1.0,0.9473684210526316
A010_1,A010,1,where,1.0,0.8888888888888888
A010_1,A010,1,when,1.0,0.0
A010_2,A010,2,what,21.9,0.7894736842105263
A010_2,A010,2,where,21.9,0.6
A010_2,A010,2,when,21.9,0.2
A010_3,A010,3,what,80.88,0.7368421052631579
A010_3,A010,3,where,80.88,0.4666666666666667
A010_3,A010,3,when,80.88,0.0
A010_4,A010,4,what,145.31,0.8947368421052632
A010_4,A010,4,where,145.31,0.5777777777777777
A010_4,A010,4,when,145.31,0.8
A011_1,A011,1,what,1.0,0.9473684210526316
A011_1,A011,1,where,1.0,0.6666666666666666
A011_1,A011,1,when,1.0,0.4
A011_2,A011,2,what,24.57,0.8421052631578947
A011_2,A011,2,where,24.57,0.5777777777777777
A011_2,A011,2,when,24.57,0.6
A011_3,A011,3,what,72.55,0.8421052631578947
A011_3,A011,3,where,72.55,0.3777777777777777
A011_3,A011,3,when,72.55,0.0
A011_4,A011,4,what,148.85,0.631578947368421
A011_4,A011,4,where,148.85,0.4888888888888889
A011_4,A011,4,when,148.85,0.2
A012_1,A012,1,what,1.0,0.8947368421052632
A012_1,A012,1,where,1.0,0.7555555555555555
A012_1,A012,1,when,1.0,0.2
A012_2,A012,2,what,25.6,0.6842105263157895
A012_2,A012,2,where,25.6,0.4222222222222222
A012_2,A012,2,when,25.6,0.2
A012_3,A012,3,what,166.33,0.8421052631578947
A012_3,A012,3,where,166.33,0.6444444444444445
A012_3,A012,3,when,166.33,0.0
A012_4,A012,4,what,166.87,0.631578947368421
A012_4,A012,4,where,166.87,0.4
A012_4,A012,4,when,166.87,0.0
A013_1,A013,1,what,1.0,0.6842105263157895
A013_1,A013,1,where,1.0,0.5777777777777777
A013_1,A013,1,when,1.0,0.2
A013_2,A013,2,what,24.77,0.7368421052631579
A013_2,A013,2,where,24.77,0.4222222222222222
A013_2,A013,2,when,24.77,0.0
A013_3,A013,3,what,79.66,0.7368421052631579
A013_3,A013,3,where,79.66,0.5777777777777777
A013_3,A013,3,when,79.66,0.4
A013_4,A013,4,what,147.13,0.7368421052631579
A013_4,A013,4,where,147.13,0.4444444444444444
A013_4,A013,4,when,147.13,0.2
A014_1,A014,1,what,1.0,0.8421052631578947
A014_1,A014,1,where,1.0,0.6888888888888889
A014_1,A014,1,when,1.0,0.4
A014_2,A014,2,what,25.66,0.9473684210526316
A014_2,A014,2,where,25.66,0.8
A014_2,A014,2,when,25.66,0.4
A014_3,A014,3,what,70.56,0.8947368421052632
A014_3,A014,3,where,70.56,0.4666666666666667
A014_3,A014,3,when,70.56,0.2
A014_4,A014,4,what,148.87,0.7368421052631579
A014_4,A014,4,where,148.87,0.4666666666666667
A014_4,A014,4,when,148.87,0.0
A015_1,A015,1,what,1.0,0.9473684210526316
A015_1,A015,1,where,1.0,0.8
A015_1,A015,1,when,1.0,0.8
A015_2,A015,2,what,23.69,0.9473684210526316
A015_2,A015,2,where,23.69,0.8444444444444444
A015_2,A015,2,when,23.69,0.0
A015_3,A015,3,what,70.59,1.0
A015_3,A015,3,where,70.59,0.7555555555555555
A015_3,A015,3,when,70.59,0.4
A015_4,A015,4,what,146.54,0.8421052631578947
A015_4,A015,4,where,146.54,0.6888888888888889
A015_4,A015,4,when,146.54,0.2
A016_1,A016,1,what,1.0,0.8947368421052632
A016_1,A016,1,where,1.0,0.7111111111111111
A016_1,A016,1,when,1.0,0.0
A016_2,A016,2,what,32.85,0.631578947368421
A016_2,A016,2,where,32.85,0.6222222222222222
A016_2,A016,2,when,32.85,0.0
A016_3,A016,3,what,80.64,0.7368421052631579
A016_3,A016,3,where,80.64,0.5333333333333333
A016_3,A016,3,when,80.64,0.4
A016_4,A016,4,what,150.8,0.5263157894736842
A016_4,A016,4,where,150.8,0.3333333333333333
A016_4,A016,4,when,150.8,0.0
A017_1,A017,1,what,1.0,0.631578947368421
A017_1,A017,1,where,1.0,0.5555555555555556
A017_1,A017,1,when,1.0,0.2
A017_2,A017,2,what,20.61,0.8421052631578947
A017_2,A017,2,where,20.61,0.6666666666666666
A017_2,A017,2,when,20.61,0.4
A017_3,A017,3,what,61.28,0.8421052631578947
A017_3,A017,3,where,61.28,0.5333333333333333
A017_3,A017,3,when,61.28,0.6
A017_4,A017,4,what,140.49,0.7894736842105263
A017_4,A017,4,where,140.49,0.5111111111111111
A017_4,A017,4,when,140.49,0.8
A018_1,A018,1,what,1.0,0.8421052631578947
A018_1,A018,1,where,1.0,0.5555555555555556
A018_1,A018,1,when,1.0,0.2
A018_2,A018,2,what,34.03,0.5789473684210527
A018_2,A018,2,where,34.03,0.5777777777777777
A018_2,A018,2,when,34.03,0.4
A018_3,A018,3,what,83.64,0.5263157894736842
A018_3,A018,3,where,83.64,0.4222222222222222
A018_3,A018,3,when,83.64,0.4
A018_4,A018,4,what,150.87,0.6842105263157895
A018_4,A018,4,where,150.87,0.5333333333333333
A018_4,A018,4,when,150.87,0.4
A019_1,A019,1,what,1.0,0.8947368421052632
A019_1,A019,1,where,1.0,0.3555555555555555
A019_1,A019,1,when,1.0,0.0
A019_2,A019,2,what,28.69,0.5263157894736842
A019_2,A019,2,where,28.69,0.2888888888888888
A019_2,A019,2,when,28.69,0.0
A019_3,A019,3,what,83.68,0.6842105263157895
A019_3,A019,3,where,83.68,0.2444444444444444
A019_3,A019,3,when,83.68,0.2
A019_4,A019,4,what,154.76,0.5789473684210527
A019_4,A019,4,where,154.76,0.1555555555555555
A019_4,A019,4,when,154.76,0.6
A020_1,A020,1,what,1.0,0.7368421052631579
A020_1,A020,1,where,1.0,0.4444444444444444
A020_1,A020,1,when,1.0,0.2
A020_2,A020,2,what,26.85,0.5789473684210527
A020_2,A020,2,where,26.85,0.4666666666666667
A020_2,A020,2,when,26.85,0.2
A020_3,A020,3,what,78.25,0.631578947368421
A020_3,A020,3,where,78.25,0.3333333333333333
A020_3,A020,3,when,78.25,0.4
A020_4,A020,4,what,145.78,0.2631578947368421
A020_4,A020,4,where,145.78,0.1555555555555555
A020_4,A020,4,when,145.78,0.0
A021_1,A021,1,what,1.0,0.8947368421052632
A021_1,A021,1,where,1.0,0.7111111111111111
A021_1,A021,1,when,1.0,0.4
A021_2,A021,2,what,30.21,0.8947368421052632
A021_2,A021,2,where,30.21,0.5777777777777777
A021_2,A021,2,when,30.21,0.0
A021_3,A021,3,what,74.19,0.8421052631578947
A021_3,A021,3,where,74.19,0.5777777777777777
A021_3,A021,3,when,74.19,0.0
A021_4,A021,4,what,140.39,0.8947368421052632
A021_4,A021,4,where,140.39,0.5555555555555556
A021_4,A021,4,when,140.39,0.2
A022_1,A022,1,what,1.0,0.7894736842105263
A022_1,A022,1,where,1.0,0.5333333333333333
A022_1,A022,1,when,1.0,0.0
A022_2,A022,2,what,24.15,0.7368421052631579
A022_2,A022,2,where,24.15,0.5777777777777777
A022_2,A022,2,when,24.15,0.4
A022_3,A022,3,what,74.46,0.6842105263157895
A022_3,A022,3,where,74.46,0.4666666666666667
A022_3,A022,3,when,74.46,0.0
A022_4,A022,4,what,141.71,0.7368421052631579
A022_4,A022,4,where,141.71,0.5111111111111111
A022_4,A022,4,when,141.71,0.6
A023_1,A023,1,what,1.0,0.7368421052631579
A023_1,A023,1,where,1.0,0.7333333333333333
A023_1,A023,1,when,1.0,0.4
A023_2,A023,2,what,25.63,0.5789473684210527
A023_2,A023,2,where,25.63,0.4444444444444444
A023_2,A023,2,when,25.63,0.0
A023_3,A023,3,what,72.2,0.7894736842105263
A023_3,A023,3,where,72.2,0.4666666666666667
A023_3,A023,3,when,72.2,0.4
A023_4,A023,4,what,145.07,0.7368421052631579
A023_4,A023,4,where,145.07,0.5333333333333333
A023_4,A023,4,when,145.07,0.0
A024_1,A024,1,what,1.0,0.6842105263157895
A024_1,A024,1,where,1.0,0.6
A024_1,A024,1,when,1.0,0.4
A024_2,A024,2,what,29.57,0.7368421052631579
A024_2,A024,2,where,29.57,0.5333333333333333
A024_2,A024,2,when,29.57,0.4
A024_3,A024,3,what,91.47,0.8421052631578947
A024_3,A024,3,where,91.47,0.5111111111111111
A024_3,A024,3,when,91.47,0.0
A024_4,A024,4,what,145.65,0.6842105263157895
A024_4,A024,4,where,145.65,0.3111111111111111
A024_4,A024,4,when,145.65,0.2
A025_1,A025,1,what,1.0,0.8421052631578947
A025_1,A025,1,where,1.0,0.6888888888888889
A025_1,A025,1,when,1.0,1.0
A025_2,A025,2,what,23.33,0.9473684210526316
A025_2,A025,2,where,23.33,0.8
A025_2,A025,2,when,23.33,0.0
A025_3,A025,3,what,72.94,0.5263157894736842
A025_3,A025,3,where,72.94,0.6222222222222222
A025_3,A025,3,when,72.94,0.2
A025_4,A025,4,what,137.74,0.2105263157894736
A025_4,A025,4,where,137.74,0.4444444444444444
A025_4,A025,4,when,137.74,0.4
A026_1,A026,1,what,1.0,0.7894736842105263
A026_1,A026,1,where,1.0,0.7333333333333333
A026_1,A026,1,when,1.0,0.4
A026_2,A026,2,what,26.48,0.6842105263157895
A026_2,A026,2,where,26.48,0.5555555555555556
A026_2,A026,2,when,26.48,0.2
A026_3,A026,3,what,75.46,0.7894736842105263
A026_3,A026,3,where,75.46,0.7111111111111111
A026_3,A026,3,when,75.46,0.0
A026_4,A026,4,what,147.65,0.7368421052631579
A026_4,A026,4,where,147.65,0.4666666666666667
A026_4,A026,4,when,147.65,0.4
A027_1,A027,1,what,1.0,0.7368421052631579
A027_1,A027,1,where,1.0,0.7777777777777778
A027_1,A027,1,when,1.0,0.2
A027_2,A027,2,what,28.26,0.7894736842105263
A027_2,A027,2,where,28.26,0.5555555555555556
A027_2,A027,2,when,28.26,0.2
A027_3,A027,3,what,74.58,0.5263157894736842
