composite_ID,UID,test,TSVR_hours,domain,theta,Segment,Days_within
A010_1,A010,1,1.0,what,2.8495245,Early,0.041666666666666664
A010_2,A010,2,21.9,what,0.21910101,Early,0.9125
A010_3,A010,3,80.88,what,-0.20786455,Late,0.8166666666666664
A010_4,A010,4,145.31,what,1.4082963,Late,3.50125
A011_1,A011,1,1.0,what,1.0459343,Early,0.041666666666666664
A011_2,A011,2,24.57,what,0.5411904,Early,1.02375
A011_3,A011,3,72.55,what,-0.51790774,Late,0.4695833333333332
A011_4,A011,4,148.85,what,-0.03306195,Late,3.6487499999999997
A012_1,A012,1,1.0,what,1.0967582,Early,0.041666666666666664
A012_2,A012,2,25.6,what,-0.36091226,Early,1.0666666666666667
A012_3,A012,3,166.33,what,2.2870164,Late,4.377083333333334
A012_4,A012,4,166.87,what,-0.62503695,Late,4.399583333333333
A013_1,A013,1,1.0,what,-0.5019602,Early,0.041666666666666664
A013_2,A013,2,24.77,what,-0.14593226,Early,1.0320833333333332
A013_3,A013,3,79.66,what,-0.08115509,Late,0.7658333333333331
A013_4,A013,4,147.13,what,-0.4656096,Late,3.577083333333333
A014_1,A014,1,1.0,what,1.1409624,Early,0.041666666666666664
A014_2,A014,2,25.66,what,2.1043804,Early,1.0691666666666666
A014_3,A014,3,70.56,what,0.79710543,Late,0.3866666666666667
A014_4,A014,4,148.87,what,-0.6996891,Late,3.6495833333333336
A015_1,A015,1,1.0,what,1.4257106,Early,0.041666666666666664
A015_2,A015,2,23.69,what,3.0692377,Early,0.9870833333333334
A015_3,A015,3,70.59,what,2.9706106,Late,0.38791666666666674
A015_4,A015,4,146.54,what,-0.02934593,Late,3.5524999999999998
A016_1,A016,1,1.0,what,2.3398628,Early,0.041666666666666664
A016_2,A016,2,32.85,what,-0.67632926,Early,1.3687500000000001
A016_3,A016,3,80.64,what,0.5615947,Late,0.8066666666666666
A016_4,A016,4,150.8,what,-1.2509964,Late,3.7300000000000004
A017_1,A017,1,1.0,what,-1.3039442,Early,0.041666666666666664
A017_2,A017,2,20.61,what,0.854301,Early,0.85875
A017_3,A017,3,61.28,what,0.34112677,Late,0.0
A017_4,A017,4,140.49,what,0.16414243,Late,3.300416666666667
A018_1,A018,1,1.0,what,0.4271234,Early,0.041666666666666664
A018_2,A018,2,34.03,what,-0.54942524,Early,1.4179166666666667
A018_3,A018,3,83.64,what,-1.1313053,Late,0.9316666666666666
A018_4,A018,4,150.87,what,0.675922,Late,3.7329166666666667
A019_1,A019,1,1.0,what,-0.5048446,Early,0.041666666666666664
A019_2,A019,2,28.69,what,-0.6859969,Early,1.1954166666666668
A019_3,A019,3,83.68,what,-0.7494449,Late,0.9333333333333336
A019_4,A019,4,154.76,what,-0.2041359,Late,3.8949999999999996
A020_1,A020,1,1.0,what,0.6839242,Early,0.041666666666666664
A020_2,A020,2,26.85,what,0.19881293,Early,1.1187500000000001
A020_3,A020,3,78.25,what,0.124854565,Late,0.7070833333333333
A020_4,A020,4,145.78,what,-1.8937365,Late,3.5208333333333335
A021_1,A021,1,1.0,what,1.138064,Early,0.041666666666666664
A021_2,A021,2,30.21,what,1.2837107,Early,1.25875
A021_3,A021,3,74.19,what,0.5994273,Late,0.5379166666666665
A021_4,A021,4,140.39,what,2.1473718,Late,3.2962499999999992
A022_1,A022,1,1.0,what,0.87827647,Early,0.041666666666666664
A022_2,A022,2,24.15,what,-0.3750848,Early,1.0062499999999999
A022_3,A022,3,74.46,what,-0.6210991,Late,0.5491666666666664
A022_4,A022,4,141.71,what,-0.1070101,Late,3.3512500000000003
A023_1,A023,1,1.0,what,0.12642181,Early,0.041666666666666664
A023_2,A023,2,25.63,what,-0.39188105,Early,1.0679166666666666
A023_3,A023,3,72.2,what,1.1006073,Late,0.45500000000000007
A023_4,A023,4,145.07,what,-0.36299026,Late,3.4912499999999995
A024_1,A024,1,1.0,what,0.4155501,Early,0.041666666666666664
A024_2,A024,2,29.57,what,-0.045083024,Early,1.2320833333333334
A024_3,A024,3,91.47,what,0.61174965,Late,1.2579166666666666
A024_4,A024,4,145.65,what,-0.8740546,Late,3.515416666666667
A025_1,A025,1,1.0,what,0.9619363,Early,0.041666666666666664
A025_2,A025,2,23.33,what,3.2355838,Early,0.9720833333333333
A025_3,A025,3,72.94,what,-0.41828287,Late,0.4858333333333332
A025_4,A025,4,137.74,what,-1.3438815,Late,3.1858333333333335
A026_1,A026,1,1.0,what,1.1484417,Early,0.041666666666666664
A026_2,A026,2,26.48,what,0.29836762,Early,1.1033333333333333
A026_3,A026,3,75.46,what,0.5301962,Late,0.590833333333333
A026_4,A026,4,147.65,what,-0.050407227,Late,3.5987500000000003
A027_1,A027,1,1.0,what,0.24607074,Early,0.041666666666666664
A027_2,A027,2,28.26,what,0.8358134,Early,1.1775
A027_3,A027,3,74.58,what,-0.77509683,Late,0.5541666666666666
A027_4,A027,4,145.92,what,-0.7473746,Late,3.526666666666666
A028_1,A028,1,1.0,what,1.9784641,Early,0.041666666666666664
A028_2,A028,2,22.82,what,0.20417708,Early,0.9508333333333333
A028_3,A028,3,72.26,what,-0.68490416,Late,0.4575000000000002
A028_4,A028,4,138.91,what,-1.4094522,Late,3.234583333333333
A029_1,A029,1,1.0,what,2.0143404,Early,0.041666666666666664
A029_2,A029,2,28.43,what,1.2032137,Early,1.1845833333333333
A029_3,A029,3,93.26,what,1.1944488,Late,1.3325000000000002
A029_4,A029,4,143.14,what,0.40829158,Late,3.4108333333333327
A030_1,A030,1,1.0,what,0.79424596,Early,0.041666666666666664
A030_2,A030,2,32.95,what,0.44205505,Early,1.3729166666666668
A030_3,A030,3,71.93,what,-0.63093513,Late,0.44375000000000026
A030_4,A030,4,150.46,what,0.66448706,Late,3.7158333333333338
A031_1,A031,1,1.0,what,2.6667287,Early,0.041666666666666664
A031_2,A031,2,32.41,what,0.11545077,Early,1.3504166666666666
A031_3,A031,3,71.56,what,0.05749122,Late,0.4283333333333334
A031_4,A031,4,143.85,what,-0.53367615,Late,3.4404166666666662
A032_1,A032,1,1.0,what,0.717028,Early,0.041666666666666664
A032_2,A032,2,57.18,what,0.033122495,Early,2.3825
A032_3,A032,3,80.16,what,1.1361644,Late,0.7866666666666665
A032_4,A032,4,144.51,what,1.4961241,Late,3.467916666666666
A033_1,A033,1,1.0,what,0.7324871,Early,0.041666666666666664
A033_2,A033,2,29.16,what,1.053833,Early,1.215
A033_3,A033,3,72.6,what,1.0989009,Late,0.4716666666666664
A033_4,A033,4,168.33,what,0.92701405,Late,4.460416666666667
A034_1,A034,1,1.0,what,1.1478217,Early,0.041666666666666664
A034_2,A034,2,26.08,what,0.38348988,Early,1.0866666666666667
A034_3,A034,3,74.28,what,-0.016765982,Late,0.5416666666666666
A034_4,A034,4,145.38,what,-0.51218176,Late,3.5041666666666664
A035_1,A035,1,1.0,what,-0.18783784,Early,0.041666666666666664
A035_2,A035,2,44.76,what,1.1757679,Early,1.865
A035_3,A035,3,79.98,what,-0.5536363,Late,0.7791666666666668
A035_4,A035,4,152.47,what,-0.835791,Late,3.799583333333333
A036_1,A036,1,1.0,what,1.332992,Early,0.041666666666666664
A036_2,A036,2,21.63,what,-0.44961703,Early,0.90125
A036_3,A036,3,71.47,what,-0.19414504,Late,0.42458333333333326
A036_4,A036,4,143.85,what,0.2076543,Late,3.4404166666666662
A037_1,A037,1,1.0,what,1.7465817,Early,0.041666666666666664
A037_2,A037,2,23.7,what,1.5737433,Early,0.9874999999999999
A037_3,A037,3,72.08,what,-0.14643928,Late,0.4499999999999999
A037_4,A037,4,143.66,what,-0.20466933,Late,3.4324999999999997
A038_1,A038,1,1.0,what,1.1379485,Early,0.041666666666666664
A038_2,A038,2,71.85,what,-0.38544658,Early,2.99375
A038_3,A038,3,72.86,what,0.9902118,Late,0.48249999999999993
A038_4,A038,4,152.89,what,0.017764084,Late,3.8170833333333327
A039_1,A039,1,1.0,what,2.7536566,Early,0.041666666666666664
A039_2,A039,2,28.65,what,0.6637576,Early,1.1937499999999999
A039_3,A039,3,98.84,what,-0.42993444,Late,1.5650000000000002
A039_4,A039,4,246.24,what,0.77186465,Late,7.706666666666667
A040_1,A040,1,1.0,what,-0.3483343,Early,0.041666666666666664
A040_2,A040,2,26.26,what,1.2668161,Early,1.0941666666666667
A040_3,A040,3,71.28,what,-1.7308351,Late,0.4166666666666667
A040_4,A040,4,143.53,what,-2.0088344,Late,3.4270833333333335
A041_1,A041,1,1.0,what,1.0519564,Early,0.041666666666666664
A041_2,A041,2,31.78,what,-0.89921147,Early,1.3241666666666667
A041_3,A041,3,75.74,what,0.34561834,Late,0.6024999999999997
A041_4,A041,4,141.84,what,0.47991753,Late,3.356666666666667
A042_1,A042,1,1.0,what,-0.23226798,Early,0.041666666666666664
A042_2,A042,2,28.93,what,-0.6764188,Early,1.2054166666666666
A042_3,A042,3,72.17,what,0.41297585,Late,0.45375000000000004
A042_4,A042,4,146.02,what,-1.060709,Late,3.5308333333333337
A043_1,A043,1,1.0,what,0.5270698,Early,0.041666666666666664
A043_2,A043,2,25.62,what,0.37927657,Early,1.0675000000000001
A043_3,A043,3,64.94,what,0.8748715,Late,0.15249999999999986
A043_4,A043,4,149.33,what,-0.12630613,Late,3.6687500000000006
A044_1,A044,1,1.0,what,0.11931978,Early,0.041666666666666664
A044_2,A044,2,47.66,what,-0.039003193,Early,1.9858333333333331
A044_3,A044,3,91.63,what,-1.1271453,Late,1.2645833333333332
A044_4,A044,4,155.27,what,-0.98223126,Late,3.9162500000000002
A045_1,A045,1,1.0,what,-0.79529893,Early,0.041666666666666664
A045_2,A045,2,24.66,what,-0.6524082,Early,1.0275
A045_3,A045,3,72.23,what,-1.0008355,Late,0.4562500000000001
A045_4,A045,4,151.52,what,-1.9204704,Late,3.7600000000000002
A046_1,A046,1,1.0,what,-0.74961597,Early,0.041666666666666664
A046_2,A046,2,24.32,what,-1.7768368,Early,1.0133333333333334
A046_3,A046,3,73.05,what,-1.9663489,Late,0.4904166666666665
A046_4,A046,4,147.94,what,-1.1430976,Late,3.6108333333333333
A047_1,A047,1,1.0,what,0.28377923,Early,0.041666666666666664
A047_2,A047,2,23.46,what,-0.43273208,Early,0.9775
A047_3,A047,3,76.85,what,-1.4137906,Late,0.6487499999999997
A047_4,A047,4,144.22,what,-1.2736783,Late,3.455833333333333
A048_1,A048,1,1.0,what,2.046809,Early,0.041666666666666664
A048_2,A048,2,23.91,what,-0.102730244,Early,0.99625
A048_3,A048,3,81.15,what,1.2428203,Late,0.8279166666666669
A048_4,A048,4,146.3,what,-0.41433746,Late,3.5425000000000004
A049_1,A049,1,1.0,what,3.0403953,Early,0.041666666666666664
A049_2,A049,2,27.12,what,0.081395224,Early,1.1300000000000001
A049_3,A049,3,111.38,what,0.70681286,Late,2.0875
A049_4,A049,4,168.86,what,-0.6787857,Late,4.482500000000001
A050_1,A050,1,1.0,what,-0.57845104,Early,0.041666666666666664
A050_2,A050,2,24.73,what,-0.6776924,Early,1.0304166666666668
A050_3,A050,3,93.39,what,-0.3239175,Late,1.3379166666666666
A050_4,A050,4,148.69,what,-0.48715395,Late,3.6420833333333333
A051_1,A051,1,1.0,what,1.041391,Early,0.041666666666666664
A051_2,A051,2,17.16,what,-0.52874124,Early,0.715
A051_3,A051,3,65.63,what,-0.8176612,Late,0.18124999999999977
A051_4,A051,4,146.99,what,0.13951796,Late,3.5712500000000005
A052_1,A052,1,1.0,what,1.8573551,Early,0.041666666666666664
A052_2,A052,2,31.76,what,1.1501558,Early,1.3233333333333335
A052_3,A052,3,80.98,what,0.32017773,Late,0.8208333333333334
A052_4,A052,4,153.27,what,-0.5592403,Late,3.832916666666667
A053_1,A053,1,1.0,what,1.3423723,Early,0.041666666666666664
A053_2,A053,2,32.71,what,0.6697047,Early,1.3629166666666668
A053_3,A053,3,78.28,what,-0.5973952,Late,0.7083333333333334
A053_4,A053,4,148.9,what,0.5542387,Late,3.6508333333333334
A054_1,A054,1,1.0,what,0.40082943,Early,0.041666666666666664
A054_2,A054,2,16.9,what,0.061698496,Early,0.7041666666666666
A054_3,A054,3,72.83,what,2.3994637,Late,0.4812499999999999
A054_4,A054,4,136.83,what,0.367707,Late,3.147916666666667
A055_1,A055,1,1.0,what,-0.25977668,Early,0.041666666666666664
A055_2,A055,2,23.24,what,0.27098116,Early,0.9683333333333333
A055_3,A055,3,74.48,what,0.40776598,Late,0.5500000000000002
A055_4,A055,4,149.21,what,-0.31431788,Late,3.6637500000000003
A056_1,A056,1,1.0,what,1.1720088,Early,0.041666666666666664
A056_2,A056,2,33.61,what,0.15596366,Early,1.4004166666666666
A056_3,A056,3,71.46,what,-0.6204517,Late,0.42416666666666636
A056_4,A056,4,147.84,what,-0.7323073,Late,3.606666666666667
A057_1,A057,1,1.0,what,1.023826,Early,0.041666666666666664
A057_2,A057,2,24.78,what,0.5389139,Early,1.0325
A057_3,A057,3,73.83,what,0.14511971,Late,0.5229166666666666
A057_4,A057,4,145.06,what,-0.4786676,Late,3.4908333333333332
A058_1,A058,1,1.0,what,0.07391393,Early,0.041666666666666664
A058_2,A058,2,22.96,what,-0.697528,Early,0.9566666666666667
A058_3,A058,3,66.28,what,-1.2829115,Late,0.20833333333333334
A058_4,A058,4,143.48,what,-0.55715656,Late,3.4249999999999994
A059_1,A059,1,1.0,what,1.1420809,Early,0.041666666666666664
A059_2,A059,2,30.4,what,1.0119654,Early,1.2666666666666666
A059_3,A059,3,79.78,what,1.1656518,Late,0.7708333333333334
A059_4,A059,4,151.93,what,0.62250775,Late,3.7770833333333336
A060_1,A060,1,1.0,what,-0.22650719,Early,0.041666666666666664
A060_2,A060,2,24.87,what,0.4809326,Early,1.0362500000000001
A060_3,A060,3,94.68,what,-0.4725994,Late,1.3916666666666668
A060_4,A060,4,143.91,what,1.0427784,Late,3.4429166666666666
A061_1,A061,1,1.0,what,2.3442874,Early,0.041666666666666664
A061_2,A061,2,35.16,what,1.233524,Early,1.4649999999999999
A061_3,A061,3,82.55,what,-0.14096707,Late,0.8862499999999999
A061_4,A061,4,146.56,what,0.4611628,Late,3.5533333333333332
A062_1,A062,1,1.0,what,1.5959945,Early,0.041666666666666664
A062_2,A062,2,44.69,what,0.74262905,Early,1.8620833333333333
A062_3,A062,3,92.72,what,-0.3143865,Late,1.3099999999999998
A062_4,A062,4,149.18,what,-0.3356112,Late,3.6625
A063_1,A063,1,1.0,what,0.5493032,Early,0.041666666666666664
A063_2,A063,2,21.98,what,0.61191547,Early,0.9158333333333334
A063_3,A063,3,69.99,what,0.24433644,Late,0.3629166666666664
A063_4,A063,4,141.09,what,0.13872528,Late,3.325416666666667
A064_1,A064,1,1.0,what,1.9356189,Early,0.041666666666666664
A064_2,A064,2,37.65,what,0.34213445,Early,1.5687499999999999
A064_3,A064,3,82.99,what,0.7569932,Late,0.9045833333333331
A064_4,A064,4,156.21,what,-0.35031673,Late,3.955416666666667
A065_1,A065,1,1.0,what,-1.9780934,Early,0.041666666666666664
A065_2,A065,2,32.31,what,-1.8879485,Early,1.3462500000000002
A065_3,A065,3,106.41,what,-1.8023599,Late,1.8804166666666664
A065_4,A065,4,187.43,what,-3.0337515,Late,5.2562500000000005
A066_1,A066,1,1.0,what,0.97834384,Early,0.041666666666666664
A066_2,A066,2,23.35,what,-0.19855887,Early,0.9729166666666668
A066_3,A066,3,73.79,what,-0.62886995,Late,0.5212500000000002
A066_4,A066,4,164.93,what,-0.2672553,Late,4.3187500000000005
A067_1,A067,1,1.0,what,-0.10672778,Early,0.041666666666666664
A067_2,A067,2,29.91,what,-0.7600713,Early,1.24625
A067_3,A067,3,73.19,what,-1.2209978,Late,0.49624999999999986
A067_4,A067,4,144.19,what,-1.0872278,Late,3.4545833333333333
A068_1,A068,1,1.0,what,1.5416224,Early,0.041666666666666664
A068_2,A068,2,30.49,what,0.21658492,Early,1.2704166666666665
A068_3,A068,3,82.98,what,0.38155702,Late,0.9041666666666668
A068_4,A068,4,155.59,what,-0.3118221,Late,3.9295833333333334
A069_1,A069,1,1.0,what,-0.15469807,Early,0.041666666666666664
A069_2,A069,2,24.96,what,-1.9416001,Early,1.04
A069_3,A069,3,79.75,what,-0.44794863,Late,0.7695833333333333
A069_4,A069,4,140.22,what,-1.2311503,Late,3.2891666666666666
A070_1,A070,1,1.0,what,1.799753,Early,0.041666666666666664
A070_2,A070,2,24.25,what,1.5305908,Early,1.0104166666666667
A070_3,A070,3,81.92,what,0.111368,Late,0.86
A070_4,A070,4,149.2,what,-0.67360896,Late,3.6633333333333327
A071_1,A071,1,1.0,what,0.7387622,Early,0.041666666666666664
A071_2,A071,2,30.92,what,0.5382586,Early,1.2883333333333333
A071_3,A071,3,79.96,what,-1.3526621,Late,0.778333333333333
A071_4,A071,4,153.27,what,0.075789735,Late,3.832916666666667
A072_1,A072,1,1.0,what,0.75499666,Early,0.041666666666666664
A072_2,A072,2,33.76,what,0.42614904,Early,1.4066666666666665
A072_3,A072,3,83.54,what,-0.43276745,Late,0.9275000000000002
A072_4,A072,4,154.89,what,-0.062096268,Late,3.900416666666666
A073_1,A073,1,1.0,what,0.5202863,Early,0.041666666666666664
A073_2,A073,2,66.66,what,-1.2012441,Early,2.7775
A073_3,A073,3,66.9,what,-0.13591054,Late,0.23416666666666686
A073_4,A073,4,140.12,what,1.6254737,Late,3.285
A074_1,A074,1,1.0,what,0.37155366,Early,0.041666666666666664
A074_2,A074,2,29.33,what,-1.6421561,Early,1.2220833333333332
A074_3,A074,3,73.02,what,-0.9139577,Late,0.48916666666666647
A074_4,A074,4,147.21,what,-1.5365437,Late,3.580416666666667
A075_1,A075,1,1.0,what,0.11663741,Early,0.041666666666666664
A075_2,A075,2,28.68,what,-0.7731385,Early,1.195
A075_3,A075,3,71.37,what,-1.3670206,Late,0.4204166666666668
A075_4,A075,4,244.53,what,-0.5143715,Late,7.635416666666667
A076_1,A076,1,1.0,what,-1.0752667,Early,0.041666666666666664
A076_2,A076,2,27.3,what,0.070999414,Early,1.1375
A076_3,A076,3,74.88,what,-0.88688034,Late,0.5666666666666664
A076_4,A076,4,149.28,what,-2.140476,Late,3.6666666666666665
A077_1,A077,1,1.0,what,1.2959877,Early,0.041666666666666664
A077_2,A077,2,53.88,what,-1.2753135,Early,2.245
A077_3,A077,3,78.36,what,0.07986976,Late,0.7116666666666666
A077_4,A077,4,149.75,what,0.846462,Late,3.68625
A078_1,A078,1,1.0,what,0.1586144,Early,0.041666666666666664
A078_2,A078,2,26.17,what,-0.013857767,Early,1.0904166666666668
A078_3,A078,3,72.3,what,-0.62940764,Late,0.4591666666666665
A078_4,A078,4,140.08,what,-0.21905103,Late,3.2833333333333337
A079_1,A079,1,1.0,what,-0.17249557,Early,0.041666666666666664
A079_2,A079,2,26.11,what,-0.7049539,Early,1.0879166666666666
A079_3,A079,3,74.0,what,-1.362579,Late,0.5299999999999999
A079_4,A079,4,194.42,what,-0.7027999,Late,5.547499999999999
A080_1,A080,1,1.0,what,0.76161516,Early,0.041666666666666664
A080_2,A080,2,29.03,what,0.6206685,Early,1.2095833333333335
A080_3,A080,3,72.87,what,0.047872722,Late,0.4829166666666668
A080_4,A080,4,145.77,what,-0.38689852,Late,3.520416666666667
A081_1,A081,1,1.0,what,1.4227011,Early,0.041666666666666664
A081_2,A081,2,31.39,what,-0.11618614,Early,1.3079166666666666
A081_3,A081,3,80.13,what,0.57945955,Late,0.7854166666666664
A081_4,A081,4,154.53,what,0.7930925,Late,3.8854166666666665
A082_1,A082,1,1.0,what,0.9328251,Early,0.041666666666666664
A082_2,A082,2,27.97,what,2.5857215,Early,1.1654166666666665
A082_3,A082,3,75.71,what,0.20728257,Late,0.6012499999999997
A082_4,A082,4,170.25,what,0.56079304,Late,4.540416666666666
