item,domain,Discrimination,Difficulty_1
TQ_ICR-D-i1,cued_recall,0.52169937,0.9088239073753356
TQ_ICR-D-i2,cued_recall,0.5288062,1.7182351350784302
TQ_ICR-D-i3,cued_recall,0.62660253,0.8388082981109619
TQ_ICR-D-i4,cued_recall,0.62950563,1.5557435750961304
TQ_ICR-D-i5,cued_recall,0.4770516,2.684018850326538
TQ_ICR-D-i6,cued_recall,0.9518633,1.1133157014846802
TQ_ICR-N-i1,cued_recall,1.4724612,-1.8381531238555908
TQ_ICR-N-i2,cued_recall,0.56106436,-2.81583309173584
TQ_ICR-N-i4,cued_recall,1.2284505,-2.288026094436645
TQ_ICR-N-i5,cued_recall,1.3071705,-1.884442448616028
TQ_ICR-N-i6,cued_recall,1.1431924,-2.099150896072388
TQ_ICR-O-i2,cued_recall,0.69298124,2.844977378845215
TQ_ICR-U-i1,cued_recall,1.5225197,-0.2339537590742111
TQ_ICR-U-i2,cued_recall,1.0566086,-0.8726127743721008
TQ_ICR-U-i3,cued_recall,1.1457522,-0.6748941540718079
TQ_ICR-U-i4,cued_recall,0.7430947,-0.7353982925415039
TQ_ICR-U-i5,cued_recall,1.7797161,-0.0889253467321395
TQ_ICR-U-i6,cued_recall,1.01061,-0.5389405488967896
TQ_IFR-D-i2,free_recall,0.47840407,1.940348982810974
TQ_IFR-D-i3,free_recall,0.5170719,1.1483476161956787
TQ_IFR-N-i1,free_recall,1.2423372,-0.321821391582489
TQ_IFR-N-i2,free_recall,0.6821692,-0.149465799331665
TQ_IFR-N-i3,free_recall,0.68769044,-0.5273808836936951
TQ_IFR-N-i5,free_recall,1.1989541,0.5159236192703247
TQ_IFR-N-i6,free_recall,0.85323805,0.5037832856178284
TQ_IFR-U-i1,free_recall,1.2269386,-0.006763816345483
TQ_IFR-U-i2,free_recall,0.7544349,-0.2215188592672348
TQ_IFR-U-i3,free_recall,0.80671245,-0.0967591628432273
TQ_IFR-U-i5,free_recall,0.91158485,0.355537861585617
TQ_IFR-U-i6,free_recall,0.5215474,0.3408598005771637
TQ_IRE-D-i1,recognition,0.5946516,0.9007559418678284
TQ_IRE-D-i2,recognition,0.43068978,1.7004677057266235
TQ_IRE-D-i3,recognition,0.7931442,0.4763026833534241
TQ_IRE-D-i4,recognition,0.6247471,1.6174343824386597
TQ_IRE-D-i5,recognition,0.4117243,1.7731516361236572
TQ_IRE-D-i6,recognition,0.93558514,1.0022571086883545
TQ_IRE-N-i1,recognition,1.3991628,-2.6767024993896484
TQ_IRE-U-i1,recognition,1.2752082,-0.4370176792144775
TQ_IRE-U-i2,recognition,0.9088356,-1.4031676054000854
TQ_IRE-U-i3,recognition,1.4116534,-0.6198821663856506
TQ_IRE-U-i4,recognition,0.72952324,-0.7430638074874878
TQ_IRE-U-i5,recognition,1.4612222,-0.2483048141002655
TQ_IRE-U-i6,recognition,0.8382411,-0.838611900806427
