item,domain,Discrimination,Difficulty_1
TQ_ICR-D-i1,cued_recall,0.46487764,0.9602032899856567
TQ_ICR-D-i2,cued_recall,0.6070646,1.5143204927444458
TQ_ICR-D-i3,cued_recall,0.6013097,0.8958206176757812
TQ_ICR-D-i4,cued_recall,0.5580458,1.7261042594909668
TQ_ICR-D-i5,cued_recall,0.47960734,2.659864664077759
TQ_ICR-D-i6,cued_recall,0.94110554,1.1137679815292358
TQ_ICR-N-i1,cued_recall,1.4630053,-1.8556057214736938
TQ_ICR-N-i2,cued_recall,0.5264939,-2.992154836654663
TQ_ICR-N-i4,cued_recall,1.191443,-2.3448920249938965
TQ_ICR-N-i5,cued_recall,1.3592609,-1.8318103551864624
TQ_ICR-N-i6,cued_recall,1.0921303,-2.1612319946289062
TQ_ICR-O-i2,cued_recall,0.5901033,3.2696542739868164
TQ_ICR-U-i1,cued_recall,1.6352935,-0.24695830047130585
TQ_ICR-U-i2,cued_recall,1.0149465,-0.9031583666801453
TQ_ICR-U-i3,cued_recall,1.2044992,-0.6511318683624268
TQ_ICR-U-i4,cued_recall,0.69111776,-0.8046556711196899
TQ_ICR-U-i5,cued_recall,1.9355303,-0.09845191985368729
TQ_ICR-U-i6,cued_recall,0.95877415,-0.527164101600647
TQ_IFR-D-i2,free_recall,0.4753657,1.9308074712753296
TQ_IFR-D-i3,free_recall,0.44589168,1.3208262920379639
TQ_IFR-N-i1,free_recall,1.1866171,-0.3472885191440582
TQ_IFR-N-i2,free_recall,0.7053159,-0.14674706757068634
TQ_IFR-N-i3,free_recall,0.71327454,-0.511233925819397
TQ_IFR-N-i5,free_recall,1.2777764,0.4806367754936218
TQ_IFR-N-i6,free_recall,0.83599305,0.5225066542625427
TQ_IFR-U-i1,free_recall,1.2638127,-0.015258840285241604
TQ_IFR-U-i2,free_recall,0.77626354,-0.21455398201942444
TQ_IFR-U-i3,free_recall,0.8585032,-0.10816705226898193
TQ_IFR-U-i5,free_recall,0.98786443,0.30811870098114014
TQ_IFR-U-i6,free_recall,0.51093173,0.3850676119327545
TQ_IRE-D-i1,recognition,0.5329877,0.9625245928764343
TQ_IRE-D-i2,recognition,0.47742206,1.506822109222412
TQ_IRE-D-i3,recognition,0.7622015,0.47972387075424194
TQ_IRE-D-i4,recognition,0.53018254,1.8648210763931274
TQ_IRE-D-i5,recognition,0.38297355,1.8375451564788818
TQ_IRE-D-i6,recognition,0.9479215,0.9913176894187927
TQ_IRE-N-i1,recognition,1.364758,-2.694551467895508
TQ_IRE-U-i1,recognition,1.4007744,-0.42432406544685364
TQ_IRE-U-i2,recognition,0.8293001,-1.4945577383041382
TQ_IRE-U-i3,recognition,1.5123672,-0.5951043963432312
TQ_IRE-U-i4,recognition,0.67081165,-0.8476607799530029
TQ_IRE-U-i5,recognition,1.5624363,-0.2520045340061188
TQ_IRE-U-i6,recognition,0.77726865,-0.8914065957069397
