composite_ID,domain_name,theta
A010_1,free_recall,2.0047085
A010_2,free_recall,-0.2568294
A010_3,free_recall,-0.7673618
A010_4,free_recall,0.7584689
A011_1,free_recall,1.0928068
A011_2,free_recall,-0.010214567
A011_3,free_recall,0.3129378
A011_4,free_recall,-0.37199894
A012_1,free_recall,0.99542874
A012_2,free_recall,-0.6344429
A012_3,free_recall,1.1796012
A012_4,free_recall,-0.9706651
A013_1,free_recall,-0.376131
A013_2,free_recall,-0.04333079
A013_3,free_recall,0.85476434
A013_4,free_recall,-0.7075101
A014_1,free_recall,-0.096443795
A014_2,free_recall,1.112724
A014_3,free_recall,0.25273818
A014_4,free_recall,-0.5874462
A015_1,free_recall,1.4615567
A015_2,free_recall,1.9526842
A015_3,free_recall,1.5112479
A015_4,free_recall,-0.20659146
A016_1,free_recall,1.7771645
A016_2,free_recall,0.9028594
A016_3,free_recall,-0.27991122
A016_4,free_recall,-1.2621925
A017_1,free_recall,0.21696956
A017_2,free_recall,0.889132
A017_3,free_recall,0.21332732
A017_4,free_recall,0.98990905
A018_1,free_recall,0.7057634
A018_2,free_recall,0.015408367
A018_3,free_recall,-0.58472
A018_4,free_recall,-0.2650438
A019_1,free_recall,-0.43275183
A019_2,free_recall,-0.88358575
A019_3,free_recall,-0.62539434
A019_4,free_recall,-0.6471716
A020_1,free_recall,0.38503045
A020_2,free_recall,-0.5830838
A020_3,free_recall,-0.8774743
A020_4,free_recall,-2.060614
A021_1,free_recall,1.1046222
A021_2,free_recall,0.66437066
A021_3,free_recall,0.36267442
A021_4,free_recall,1.294486
A022_1,free_recall,-0.021874279
A022_2,free_recall,0.577511
A022_3,free_recall,0.5100801
A022_4,free_recall,0.1475467
A023_1,free_recall,0.2934803
A023_2,free_recall,-0.068719156
A023_3,free_recall,0.21174884
A023_4,free_recall,-0.013592327
A024_1,free_recall,0.7643237
A024_2,free_recall,0.011832361
A024_3,free_recall,-0.1618605
A024_4,free_recall,-0.8501093
A025_1,free_recall,1.0600183
A025_2,free_recall,2.0836253
A025_3,free_recall,-0.046417106
A025_4,free_recall,-1.1515045
A026_1,free_recall,0.6109761
A026_2,free_recall,0.6896751
A026_3,free_recall,0.720473
A026_4,free_recall,0.17798357
A027_1,free_recall,0.34982315
A027_2,free_recall,0.84306926
A027_3,free_recall,-0.96961117
A027_4,free_recall,-0.73117065
A028_1,free_recall,1.9775896
A028_2,free_recall,0.17480893
A028_3,free_recall,-0.06290048
A028_4,free_recall,-0.5309673
A029_1,free_recall,2.5949073
A029_2,free_recall,0.39043635
A029_3,free_recall,1.0942347
A029_4,free_recall,0.62918305
A030_1,free_recall,0.10017507
A030_2,free_recall,0.86019105
A030_3,free_recall,0.27526778
A030_4,free_recall,0.419149
A031_1,free_recall,1.3256515
A031_2,free_recall,-0.4264881
A031_3,free_recall,-0.49605232
A031_4,free_recall,-0.92050344
A032_1,free_recall,0.6688155
A032_2,free_recall,-0.35025477
A032_3,free_recall,0.36025766
A032_4,free_recall,1.8835609
A033_1,free_recall,0.160736
A033_2,free_recall,-0.36174285
A033_3,free_recall,1.158249
A033_4,free_recall,-0.0007896364
A034_1,free_recall,1.2864138
A034_2,free_recall,1.1309917
A034_3,free_recall,-0.044845533
A034_4,free_recall,-0.11830793
A035_1,free_recall,-0.43117923
A035_2,free_recall,0.9896432
A035_3,free_recall,-0.4957098
A035_4,free_recall,-0.85601866
A036_1,free_recall,1.1003176
A036_2,free_recall,-0.14229839
A036_3,free_recall,-1.0377909
A036_4,free_recall,-1.2968651
A037_1,free_recall,1.0288707
A037_2,free_recall,0.93661815
A037_3,free_recall,0.5145359
A037_4,free_recall,-0.31594568
A038_1,free_recall,1.0617685
A038_2,free_recall,0.12016144
A038_3,free_recall,0.8836045
A038_4,free_recall,0.06514126
A039_1,free_recall,2.2243347
A039_2,free_recall,0.746209
A039_3,free_recall,0.5454882
A039_4,free_recall,0.8832178
A040_1,free_recall,-0.5158042
A040_2,free_recall,-0.5030227
A040_3,free_recall,-1.8506521
