item_name,dimension,a,b,removal_reason
TQ_ICR-O-i2,common,0.5196328,3.6986610889434814,|b| > 3.0 (3.699)
TQ_ICR-O-i5,incongruent,0.21754757,4.227166175842285,a < 0.4 (0.218); |b| > 3.0 (4.227)
TQ_ICR-O-i6,incongruent,0.32877442,3.5201361179351807,a < 0.4 (0.329); |b| > 3.0 (3.520)
TQ_IFR-D-i4,congruent,0.11390458,6.473927974700928,a < 0.4 (0.114); |b| > 3.0 (6.474)
TQ_IFR-D-i5,incongruent,0.18148021,3.813762664794922,a < 0.4 (0.181); |b| > 3.0 (3.814)
TQ_IFR-D-i6,incongruent,0.05599635,19.264232635498047,a < 0.4 (0.056); |b| > 3.0 (19.264)
TQ_IFR-O-i1,common,0.029600302,30.753665924072266,a < 0.4 (0.030); |b| > 3.0 (30.754)
TQ_IFR-O-i2,common,0.19872065,5.381463050842285,a < 0.4 (0.199); |b| > 3.0 (5.381)
TQ_IFR-O-i4,congruent,0.051605243,13.17900562286377,a < 0.4 (0.052); |b| > 3.0 (13.179)
TQ_IFR-O-i5,incongruent,0.07958322,6.582455635070801,a < 0.4 (0.080); |b| > 3.0 (6.582)
TQ_IFR-O-i6,incongruent,0.14074007,6.245777130126953,a < 0.4 (0.141); |b| > 3.0 (6.246)
TQ_IRE-D-i4,congruent,0.38385177,2.471506118774414,a < 0.4 (0.384)
TQ_IRE-D-i5,incongruent,0.3071181,2.381399393081665,a < 0.4 (0.307)
TQ_IRE-N-i2,common,0.47178224,-5.576790809631348,|b| > 3.0 (-5.577)
TQ_IRE-N-i3,congruent,0.5501744,-3.902308464050293,|b| > 3.0 (-3.902)
TQ_IRE-N-i5,incongruent,0.51121294,-4.372990608215332,|b| > 3.0 (-4.373)
TQ_IRE-N-i6,incongruent,0.6590791,-4.25480842590332,|b| > 3.0 (-4.255)
TQ_IRE-O-i2,common,0.30731305,6.225915908813477,a < 0.4 (0.307); |b| > 3.0 (6.226)
TQ_IRE-O-i4,congruent,0.2036645,5.11736536026001,a < 0.4 (0.204); |b| > 3.0 (5.117)
TQ_IRE-O-i5,incongruent,0.24329312,4.081077098846436,a < 0.4 (0.243); |b| > 3.0 (4.081)
TQ_IRE-O-i6,incongruent,0.46890247,3.448847770690918,|b| > 3.0 (3.449)
