UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A010,A010_1,1,common,2.4480083,0.2040954520165139,1.0,1.0,0.6931471805599453
A010,A010_1,1,congruent,1.9205548,0.2036301722131973,1.0,1.0,0.6931471805599453
A010,A010_1,1,incongruent,2.1016583,0.2502669460427529,1.0,1.0,0.6931471805599453
A010,A010_2,2,common,0.41985416,0.2040954520165139,21.9,479.60999999999996,3.131136910560194
A010,A010_2,2,congruent,0.1833282,0.2036301722131973,21.9,479.60999999999996,3.131136910560194
A010,A010_2,2,incongruent,0.06695607,0.2502669460427529,21.9,479.60999999999996,3.131136910560194
A010,A010_3,3,common,-0.89684904,0.2040954520165139,80.88,6541.5743999999995,4.405254760793088
A010,A010_3,3,congruent,-0.4806884,0.2036301722131973,80.88,6541.5743999999995,4.405254760793088
A010,A010_3,3,incongruent,-0.7271411,0.2502669460427529,80.88,6541.5743999999995,4.405254760793088
A010,A010_4,4,common,-0.4250025,0.2040954520165139,145.31,21114.9961,4.985727658390071
A010,A010_4,4,congruent,0.5138787,0.2036301722131973,145.31,21114.9961,4.985727658390071
A010,A010_4,4,incongruent,1.0952437,0.2502669460427529,145.31,21114.9961,4.985727658390071
A011,A011_1,1,common,0.37035823,0.2040954520165139,1.0,1.0,0.6931471805599453
A011,A011_1,1,congruent,0.91059244,0.2036301722131973,1.0,1.0,0.6931471805599453
A011,A011_1,1,incongruent,0.91936076,0.2502669460427529,1.0,1.0,0.6931471805599453
A011,A011_2,2,common,0.9543621,0.2040954520165139,24.57,603.6849,3.2414197893030954
A011,A011_2,2,congruent,-0.9722273,0.2036301722131973,24.57,603.6849,3.2414197893030954
A011,A011_2,2,incongruent,-0.16005266,0.2502669460427529,24.57,603.6849,3.2414197893030954
A011,A011_3,3,common,-0.76203144,0.2040954520165139,72.55,5263.5025,4.297965447047447
A011,A011_3,3,congruent,0.03657105,0.2036301722131973,72.55,5263.5025,4.297965447047447
A011,A011_3,3,incongruent,-0.5985974,0.2502669460427529,72.55,5263.5025,4.297965447047447
A011,A011_4,4,common,-0.6529783,0.2040954520165139,148.85,22156.3225,5.009634793762673
A011,A011_4,4,congruent,-0.5034052,0.2036301722131973,148.85,22156.3225,5.009634793762673
A011,A011_4,4,incongruent,-0.37250316,0.2502669460427529,148.85,22156.3225,5.009634793762673
A012,A012_1,1,common,0.50583845,0.2040954520165139,1.0,1.0,0.6931471805599453
A012,A012_1,1,congruent,0.5842448,0.2036301722131973,1.0,1.0,0.6931471805599453
A012,A012_1,1,incongruent,0.732104,0.2502669460427529,1.0,1.0,0.6931471805599453
A012,A012_2,2,common,-0.3411082,0.2040954520165139,25.6,655.3600000000001,3.2809112157876537
A012,A012_2,2,congruent,-0.28908128,0.2036301722131973,25.6,655.3600000000001,3.2809112157876537
A012,A012_2,2,incongruent,-0.03213877,0.2502669460427529,25.6,655.3600000000001,3.2809112157876537
A012,A012_3,3,common,0.80133855,0.2040954520165139,166.33,27665.668900000004,5.119967910506483
A012,A012_3,3,congruent,-0.0853041,0.2036301722131973,166.33,27665.668900000004,5.119967910506483
A012,A012_3,3,incongruent,1.0823703,0.2502669460427529,166.33,27665.668900000004,5.119967910506483
A012,A012_4,4,common,-0.038663056,0.2040954520165139,166.87,27845.5969,5.123189870334323
A012,A012_4,4,congruent,-1.4209801,0.2036301722131973,166.87,27845.5969,5.123189870334323
A012,A012_4,4,incongruent,-1.1368,0.2502669460427529,166.87,27845.5969,5.123189870334323
A013,A013_1,1,common,-1.3924092,0.2040954520165139,1.0,1.0,0.6931471805599453
A013,A013_1,1,congruent,0.66629744,0.2036301722131973,1.0,1.0,0.6931471805599453
