item_name,dimension,a,b
TQ_ICR-D-i1,common,0.56378424,0.8613725900650024
TQ_ICR-D-i2,common,0.6590872,1.4491002559661865
TQ_ICR-D-i3,congruent,1.3532602,0.5141497254371643
TQ_ICR-D-i4,congruent,0.40709907,2.3057124614715576
TQ_ICR-D-i5,incongruent,0.4292574,2.9740238189697266
TQ_ICR-D-i6,incongruent,0.8577619,1.2442114353179932
TQ_ICR-N-i1,common,1.4655149,-1.7881734371185303
TQ_ICR-N-i2,common,0.6001493,-2.6263389587402344
TQ_ICR-N-i3,congruent,0.9987993,-2.942051887512207
TQ_ICR-N-i4,congruent,1.3182359,-2.130481243133545
TQ_ICR-N-i5,incongruent,1.3777704,-1.766034483909607
TQ_ICR-N-i6,incongruent,1.1794506,-1.9994089603424072
TQ_ICR-O-i1,common,0.61635953,2.2351088523864746
TQ_ICR-O-i2,common,0.5196328,3.6986610889434814
TQ_ICR-O-i3,congruent,0.46674755,1.318400263786316
TQ_ICR-O-i4,congruent,0.4446776,2.275878667831421
TQ_ICR-O-i5,incongruent,0.21754757,4.227166175842285
TQ_ICR-O-i6,incongruent,0.32877442,3.5201361179351807
TQ_ICR-U-i1,common,2.9708393,-0.17106500267982483
TQ_ICR-U-i2,common,0.91254324,-0.9379600882530212
TQ_ICR-U-i3,congruent,1.7266448,-0.5051335692405701
TQ_ICR-U-i4,congruent,0.72775817,-0.7351970076560974
TQ_ICR-U-i5,incongruent,2.574154,-0.05091436207294464
TQ_ICR-U-i6,incongruent,1.1172054,-0.43625608086586
TQ_IFR-D-i1,common,0.47042695,1.4524388313293457
TQ_IFR-D-i2,common,0.52409136,1.8058921098709106
TQ_IFR-D-i3,congruent,1.0621338,0.6749480366706848
TQ_IFR-D-i4,congruent,0.11390458,6.473927974700928
TQ_IFR-D-i5,incongruent,0.18148021,3.813762664794922
TQ_IFR-D-i6,incongruent,0.05599635,19.264232635498047
TQ_IFR-N-i1,common,1.3591099,-0.27104905247688293
TQ_IFR-N-i2,common,0.626786,-0.13161352276802063
TQ_IFR-N-i3,congruent,1.0584774,-0.34578800201416016
TQ_IFR-N-i4,congruent,0.59247965,-0.6498367190361023
TQ_IFR-N-i5,incongruent,1.3781028,0.5182695984840393
TQ_IFR-N-i6,incongruent,0.8344754,0.5835800170898438
TQ_IFR-O-i1,common,0.029600302,30.753665924072266
TQ_IFR-O-i2,common,0.19872065,5.381463050842285
TQ_IFR-O-i3,congruent,0.45168495,1.004123330116272
TQ_IFR-O-i4,congruent,0.051605243,13.17900562286377
TQ_IFR-O-i5,incongruent,0.07958322,6.582455635070801
TQ_IFR-O-i6,incongruent,0.14074007,6.245777130126953
TQ_IFR-U-i1,common,1.4968914,0.014875459484755993
TQ_IFR-U-i2,common,0.6888598,-0.1926475614309311
TQ_IFR-U-i3,congruent,1.1548183,-0.0603906624019146
TQ_IFR-U-i4,congruent,0.4949107,-0.10092965513467789
TQ_IFR-U-i5,incongruent,1.1298772,0.32566994428634644
TQ_IFR-U-i6,incongruent,0.56187636,0.3671265244483948
TQ_IRE-D-i1,common,0.68102264,0.8384969830513
TQ_IRE-D-i2,common,0.50761765,1.4564088582992554
TQ_IRE-D-i3,congruent,1.340259,0.3449805676937103
TQ_IRE-D-i4,congruent,0.38385177,2.471506118774414
TQ_IRE-D-i5,incongruent,0.3071181,2.381399393081665
TQ_IRE-D-i6,incongruent,0.8705277,1.081608772277832
TQ_IRE-N-i1,common,1.3458557,-2.589712619781494
TQ_IRE-N-i2,common,0.47178224,-5.576790809631348
TQ_IRE-N-i3,congruent,0.5501744,-3.902308464050293
TQ_IRE-N-i4,congruent,1.1579921,-1.995888352394104
TQ_IRE-N-i5,incongruent,0.51121294,-4.372990608215332
TQ_IRE-N-i6,incongruent,0.6590791,-4.25480842590332
TQ_IRE-O-i1,common,0.52426094,2.3019180297851562
TQ_IRE-O-i2,common,0.30731305,6.225915908813477
TQ_IRE-O-i3,congruent,0.44200608,1.3578728437423706
TQ_IRE-O-i4,congruent,0.2036645,5.11736536026001
TQ_IRE-O-i5,incongruent,0.24329312,4.0810770988464355
TQ_IRE-O-i6,incongruent,0.46890247,3.448847770690918
TQ_IRE-U-i1,common,2.091283,-0.3113398551940918
TQ_IRE-U-i2,common,0.7718876,-1.549038052558899
TQ_IRE-U-i3,congruent,1.9273977,-0.5085328817367554
TQ_IRE-U-i4,congruent,0.7930797,-0.6768673658370972
TQ_IRE-U-i5,incongruent,2.3079934,-0.17951366305351257
TQ_IRE-U-i6,incongruent,0.86983234,-0.7828729152679443
