UID,test,Theta_All,composite_ID,SE_All
A010,1,2.9916244,A010_1,0.3
A010,2,0.5489253,A010_2,0.3
A010,3,-0.13996704,A010_3,0.3
A010,4,0.9203534,A010_4,0.3
A011,1,0.9646939,A011_1,0.3
A011,2,0.51741326,A011_2,0.3
A011,3,-0.60931563,A011_3,0.3
A011,4,-0.69198096,A011_4,0.3
A012,1,1.6223803,A012_1,0.3
A012,2,-0.14957562,A012_2,0.3
A012,3,0.74109983,A012_3,0.3
A012,4,-0.57855976,A012_4,0.3
A013,1,0.1728802,A013_1,0.3
A013,2,-0.45470053,A013_2,0.3
A013,3,0.25252804,A013_3,0.3
A013,4,-0.5406786,A013_4,0.3
A014,1,0.9701632,A014_1,0.3
A014,2,1.621507,A014_2,0.3
A014,3,0.39870805,A014_3,0.3
A014,4,-0.68107206,A014_4,0.3
A015,1,1.944232,A015_1,0.3
A015,2,1.9513022,A015_2,0.3
A015,3,1.62655,A015_3,0.3
A015,4,0.7018689,A015_4,0.3
A016,1,1.0954516,A016_1,0.3
A016,2,0.2745796,A016_2,0.3
A016,3,-0.35255256,A016_3,0.3
A016,4,-1.0030948,A016_4,0.3
A017,1,-0.28585717,A017_1,0.3
A017,2,1.17746,A017_2,0.3
A017,3,0.1852035,A017_3,0.3
A017,4,-0.18686858,A017_4,0.3
A018,1,0.41442704,A018_1,0.3
A018,2,-0.13926622,A018_2,0.3
A018,3,-0.69342387,A018_3,0.3
A018,4,-0.07165852,A018_4,0.3
A019,1,-0.55799913,A019_1,0.3
A019,2,-1.1264564,A019_2,0.3
A019,3,-1.0805423,A019_3,0.3
A019,4,-1.4164984,A019_4,0.3
A020,1,-0.10907254,A020_1,0.3
A020,2,-0.4045846,A020_2,0.3
A020,3,-0.89784604,A020_3,0.3
A020,4,-2.1553836,A020_4,0.3
A021,1,1.4810718,A021_1,0.3
A021,2,0.5841697,A021_2,0.3
A021,3,0.28762856,A021_3,0.3
A021,4,0.5023208,A021_4,0.3
A022,1,0.1470092,A022_1,0.3
A022,2,0.48773795,A022_2,0.3
A022,3,-0.01228467,A022_3,0.3
A022,4,0.086843655,A022_4,0.3
A023,1,0.6807868,A023_1,0.3
A023,2,-0.4830982,A023_2,0.3
A023,3,0.13211873,A023_3,0.3
A023,4,0.0215671,A023_4,0.3
