item_name,b,a,a,dimension
TQ_ICR-D-i1,1.0335355997085571,0.4310988,0.4310988,All
TQ_ICR-D-i2,1.6020350456237793,0.56691533,0.56691533,All
TQ_ICR-D-i3,0.8450340628623962,0.6151298,0.6151298,All
TQ_ICR-D-i4,1.3520194292068481,0.7392118,0.7392118,All
TQ_ICR-D-i5,2.7814981937408447,0.45417637,0.45417637,All
TQ_ICR-D-i6,1.0523204803466797,1.008818,1.008818,All
TQ_ICR-N-i1,-1.8400014638900757,1.5111749,1.5111749,All
TQ_ICR-N-i2,-2.982417583465576,0.5309664,0.5309664,All
TQ_ICR-N-i3,-3.2394063472747803,0.92823464,0.92823464,All
TQ_ICR-N-i4,-2.255293369293213,1.2794412,1.2794412,All
TQ_ICR-N-i5,-2.095756769180298,1.1239877,1.1239877,All
TQ_ICR-N-i6,-2.28934907913208,1.0239158,1.0239158,All
TQ_ICR-O-i1,4.060847282409668,0.31496915,0.31496915,All
TQ_ICR-O-i2,2.7551169395446777,0.71541566,0.71541566,All
TQ_ICR-O-i3,2.4465692043304443,0.2340331,0.2340331,All
TQ_ICR-O-i4,2.2642886638641357,0.43523672,0.43523672,All
TQ_ICR-O-i5,4.537926197052002,0.20201336,0.20201336,All
TQ_ICR-O-i6,6.428575038909912,0.17424302,0.17424302,All
TQ_ICR-U-i1,-0.29474496841430664,1.3187112,1.3187112,All
TQ_ICR-U-i2,-0.9666915535926819,0.9388627,0.9388627,All
TQ_ICR-U-i3,-0.7063913345336914,1.0973471,1.0973471,All
TQ_ICR-U-i4,-0.7173647880554199,0.79645485,0.79645485,All
TQ_ICR-U-i5,-0.11754940450191498,1.4105575,1.4105575,All
TQ_ICR-U-i6,-0.5398113131523132,0.981566,0.981566,All
TQ_IFR-D-i1,1.7802867889404297,0.35862473,0.35862473,All
TQ_IFR-D-i2,2.104109764099121,0.43192518,0.43192518,All
TQ_IFR-D-i3,1.1925281286239624,0.49051636,0.49051636,All
TQ_IFR-D-i4,2.720862865447998,0.27359593,0.27359593,All
TQ_IFR-D-i5,3.0102617740631104,0.22697318,0.22697318,All
TQ_IFR-D-i6,5.216407299041748,0.20764011,0.20764011,All
TQ_IFR-N-i1,-0.40804076194763184,0.9551419,0.9551419,All
TQ_IFR-N-i2,-0.17906002700328827,0.6109336,0.6109336,All
TQ_IFR-N-i3,-0.5944855213165283,0.6090221,0.6090221,All
TQ_IFR-N-i4,-0.7885600924491882,0.5023681,0.5023681,All
TQ_IFR-N-i5,0.6020125150680542,0.9079207,0.9079207,All
TQ_IFR-N-i6,0.517799437046051,0.82544714,0.82544714,All
TQ_IFR-O-i1,137.47515869140625,0.0066908314,0.0066908314,All
TQ_IFR-O-i2,5.078515529632568,0.20810653,0.20810653,All
TQ_IFR-O-i3,1.731255292892456,0.24403408,0.24403408,All
TQ_IFR-O-i4,84.986083984375,0.008067703,-0.008067703,All
TQ_IFR-O-i5,6.044008255004883,0.089966364,-0.089966364,All
TQ_IFR-O-i6,4.142011642456055,0.21540648,-0.21540648,All
TQ_IFR-U-i1,-0.04163980111479759,1.0363235,1.0363235,All
TQ_IFR-U-i2,-0.2412618100643158,0.6977204,0.6977204,All
TQ_IFR-U-i3,-0.13781329989433289,0.6442046,0.6442046,All
TQ_IFR-U-i4,-0.1434982866048813,0.5179624,0.5179624,All
TQ_IFR-U-i5,0.3800428807735443,0.73649263,0.73649263,All
TQ_IFR-U-i6,0.3351460099220276,0.543024,0.543024,All
TQ_IRE-D-i1,0.9747762084007263,0.52260655,0.52260655,All
TQ_IRE-D-i2,1.4814584255218506,0.4883269,0.4883269,All
TQ_IRE-D-i3,0.49667587876319885,0.69528145,0.69528145,All
TQ_IRE-D-i4,1.5052896738052368,0.67042315,0.67042315,All
TQ_IRE-D-i5,1.8458296060562134,0.38463268,0.38463268,All
TQ_IRE-D-i6,0.9842529296875,0.92764294,0.92764294,All
TQ_IRE-N-i1,-2.4681451320648193,1.7030269,1.7030269,All
TQ_IRE-N-i2,-6.194467067718506,0.42984074,0.42984074,All
TQ_IRE-N-i3,-4.207200527191162,0.5139314,0.5139314,All
TQ_IRE-N-i4,-3.0742979049682617,0.6860936,0.6860936,All
TQ_IRE-N-i5,-6.3138532638549805,0.3510752,0.3510752,All
TQ_IRE-N-i6,-4.169233322143555,0.6970977,0.6970977,All
TQ_IRE-O-i1,3.316025495529175,0.34447643,0.34447643,All
TQ_IRE-O-i2,4.870131015777588,0.39313376,0.39313376,All
TQ_IRE-O-i3,2.6787259578704834,0.2049627,0.2049627,All
TQ_IRE-O-i4,11.691863059997559,0.087426774,0.087426774,All
TQ_IRE-O-i5,4.271036148071289,0.22987618,0.22987618,All
TQ_IRE-O-i6,4.07821798324585,0.3834222,0.3834222,All
TQ_IRE-U-i1,-0.5178259611129761,1.0840963,1.0840963,All
TQ_IRE-U-i2,-1.5984832048416138,0.77170664,0.77170664,All
TQ_IRE-U-i3,-0.6857447028160095,1.2512783,1.2512783,All
TQ_IRE-U-i4,-0.700025737285614,0.82228714,0.82228714,All
TQ_IRE-U-i5,-0.2966904044151306,1.2186182,1.2186182,All
TQ_IRE-U-i6,-0.9376814365386963,0.741348,0.741348,All
TQ_RFR-L-DOOR,0.36627259850502014,0.55710787,0.55710787,All
TQ_RFR-L-LAND,-0.15285275876522064,0.48242626,0.48242626,All
TQ_RFR-L-OBJ1,-2.47251296043396,0.88359946,0.88359946,All
TQ_RFR-L-OBJ2,-2.1925957202911377,0.949035,0.949035,All
TQ_RFR-L-OBJ3,-1.6710925102233887,0.9960254,0.9960254,All
TQ_RFR-L-OBJ4,-2.277017116546631,0.7453471,0.7453471,All
TQ_RFR-L-PORT,-1.152404546737671,0.9618296,0.9618296,All
TQ_RFR-L-STRA,-0.8757097721099854,1.1093701,1.1093701,All
TQ_RFR-L-WIND,1.6102622747421265,0.4066841,0.4066841,All
TQ_RFR-N-LAND,-0.2337062954902649,0.6654404,0.6654404,All
TQ_RFR-N-OBJ1,-4.239139080047607,1.1076956,1.1076956,All
TQ_RFR-N-OBJ2,-3.060577869415283,0.9986657,0.9986657,All
TQ_RFR-N-OBJ3,-2.2130579948425293,0.9508635,0.9508635,All
TQ_RFR-N-OBJ4,-2.726925849914551,0.9929555,0.9929555,All
TQ_RFR-N-PORT,-0.9538614749908447,1.2595049,1.2595049,All
TQ_RFR-N-STRA,-1.3876945972442627,0.7775848,0.7775848,All
TQ_RFR-N-WEAT,-0.9383965730667114,0.36529988,0.36529988,All
TQ_RFR-O-RORD,-2.0491838455200195,0.6059088,0.6059088,All
TQ_RFR-O-TMOD,-0.5431694388389587,0.444696,0.444696,All
TQ_RRE-L-DOOR,1.7424428462982178,0.4533371,0.4533371,All
TQ_RRE-L-LAND,0.7453966736793518,0.8784397,0.8784397,All
TQ_RRE-L-PORT,-0.5241506695747375,1.184021,1.184021,All
TQ_RRE-L-STRA,-1.7455933094024658,1.739209,1.739209,All
TQ_RRE-L-WIND,1.757494568824768,0.668321,0.668321,All
TQ_RRE-N-LAND,-0.8415403962135315,0.87303644,0.87303644,All
TQ_RRE-N-PORT,-1.2518151998519897,1.5615467,1.5615467,All
TQ_RRE-N-STRA,-5.243948459625244,0.2809711,0.2809711,All
TQ_TCR-O-TSK1,4.232075214385986,0.29104117,0.29104117,All
TQ_TCR-O-TSK2,2.603747606277466,0.29572117,0.29572117,All
TQ_TCR-O-TSK3,10.402371406555176,0.12210659,0.12210659,All
TQ_TCR-O-TSK4,184.9867401123047,0.0070809,-0.0070809,All
TQ_TCR-O-TSK5,13.639026641845703,0.10184682,-0.10184682,All
TQ_TCR-O-TSK6,-3.860243320465088,1.3065984,1.3065984,All
