Number	Type	Subtype	Old	Audited	Title	Hypothesis	Data_Required	Analysis_Specification	Expected_Output	Success_Criteria
5.1.1	General	Functional Form Comparison	5.7	No	Which functional form best describes episodic forgetting trajectories across a 6-day retention interval?	Exploratory analysis comparing 5 candidate models (Linear, Quadratic, Logarithmic, Linear+Logarithmic, Quadratic+Logarithmic). No directional prediction. Expected: best model Akaike weight > 0.30.	Source: results/ch5/5.2.1/data/step00_irt_input.csv (400 rows, all What/Where/When items). TSVR mapping: results/ch5/5.2.1/data/step00_tsvr_mapping.csv (actual hours since encoding). Sample: N=100 participants x 4 tests = 400 observations. Transformations: Days = TSVR_hours/24, Days_squared, log_Days_plus1.	(1) IRT Pass 1 calibration with single omnibus "All" factor on all items using GRM, p1_med prior. (2) Item purification (Decision D039): exclude items with |b| > 3.0 OR a < 0.4. (3) IRT Pass 2 re-calibration on purified items. (4) Merge theta with TSVR, create time transformations. (5) Fit 5 LMMs with REML=False: Linear, Quadratic, Logarithmic, Lin+Log, Quad+Log; all with random slopes by UID. (6) Model selection via AIC, compute Akaike weights. (7) Prepare plot data: observed means + model predictions, theta and probability scales (Decision D069).	data/step01_theta_scores.csv; data/step02_purified_items.csv (40-60 items); data/step03_theta_scores.csv (final); data/step04_lmm_input.csv (400 rows); results/step05_model_comparison.csv (5 models); data/step06_best_model.pkl; results/step06_aic_comparison.csv; plots/step07_functional_form_theta_data.csv; plots/step07_functional_form_probability_data.csv	IRT convergence: theta in [-4,4], SE in [0.1,1.5]. Purification: 30-70% retention. LMM: all 5 models converge, AIC finite. Akaike weights sum to 1.0 +/- 0.01. Best model weight > 0.30. Plot data: probability in [0,1], no NaN.
5.1.2	General	Two-Phase Forgetting Test	5.8	No	Do episodic memory data support a two-phase model with rapid initial decline (Day 0-1) followed by slower decay (Day 1-6)?	Forgetting exhibits two distinct phases: rapid initial decline (Day 0-1) followed by slower decay (Day 1-6). Evidence from three tests: (1) significant quadratic term (p < 0.003333 Bonferroni), (2) piecewise model AIC < continuous AIC by > 2, (3) Late/Early slope ratio < 0.5.	Source: results/ch5/5.1.1/data/step03_theta_scores.csv (theta scores), results/ch5/5.1.1/data/step00_tsvr_mapping.csv (TSVR). Best continuous model from RQ 5.1.1. Sample: N=100 participants, 400 observations. Variables: theta, TSVR_hours, Segment (Early: 0-48h, Late: 48-240h), Days_within. Time transformations: Time, Time^2, Time_log.	(0) Load theta and best continuous model from RQ 5.1.1. (1) Create time transformations with 48h cutoff. (2) Test 1: Fit quadratic model theta ~ Time + Time^2 + (Time | UID); test Time^2 p < 0.003333 Bonferroni. (3) Test 2: Fit piecewise model theta ~ Days_within x Segment; compare AIC to continuous. (4) Validate LMM assumptions (6 checks). (5) Test 3: Extract Early/Late slopes, compute ratio; test interaction p-value. (6) Prepare two-panel plot data.	results/step02_quadratic_model_summary.txt; data/step02_quadratic_predictions.csv; results/step03_piecewise_model_summary.txt (AIC comparison); data/step03_piecewise_predictions.csv; results/step04_assumption_validation_report.txt; results/step05_slope_comparison.csv (4 rows: Early, Late, Ratio, Interaction_p); plots/step06_piecewise_comparison_data.csv	Convergence: both models converge. Retention >= 95%. Bonferroni alpha = 0.003333. At least 2/3 tests support two-phase: Time^2 significant, ΔAIC < -2, slope ratio < 0.5. Assumption validation complete. Plot data exists with correct structure.
5.1.3	General	Age Effects	5.9	No	Do older adults show lower baseline episodic memory (intercept) and/or faster forgetting (steeper slope) compared to younger adults?	Age will negatively predict both intercept (baseline memory at Day 0) and slope (forgetting rate), consistent with hippocampal aging effects. Primary: Age_c on intercept significant (p < 0.0167 Bonferroni). Secondary: Age_c x log(Time+1) interaction significant.	Source: results/ch5/5.1.1/data/step03_theta_scores.csv (IRT theta), results/ch5/5.1.1/data/step00_tsvr_mapping.csv (TSVR), data/cache/dfData.csv (Age variable). Sample: N=100 participants x 4 tests = 400 observations. Variables: theta, TSVR_hours, age (20-70 years). Transformations: Age_c (grand-mean centered), Time, Time_log.	(0) Merge theta from RQ 5.1.1 with TSVR and Age. (1) Grand-mean center Age (Age_c), verify mean ~ 0. (2) Fit LMM: theta ~ (Time + Time_log) x Age_c + (Time | UID), REML=False. (3) Extract Age_c, Time:Age_c, Time_log:Age_c; apply Bonferroni alpha = 0.0167. Report dual p-values (Decision D068). (4) Compute effect size at Day 6 for average age vs age+1SD. (5) Create age tertiles (Young/Middle/Older), aggregate means for plot.	data/step00_lmm_input_raw.csv (400 rows, 7 cols); data/step01_lmm_input_prepared.csv (10 cols); data/step02_lmm_model.pkl; results/step02_lmm_summary.txt; data/step02_fixed_effects.csv (6 terms); data/step03_age_effects.csv (3 rows, dual p-values); data/step04_effect_size.csv; plots/step05_age_tertile_plot_data.csv (12 rows)	Convergence: model.converged=True. All 400 observations present. Age_c mean ~ 0. 6 fixed effect terms present. Dual p-values (Decision D068). Random variances positive. Plot data: 12 rows (3 tertiles x 4 timepoints), CI_upper > CI_lower.
5.1.4	General	Variance Decomposition	5.13	No	What proportion of variance in forgetting rate (slopes) is between-person (stable individual differences) vs within-person (measurement error)?	Substantial between-person variance exists in forgetting rate (ICC for slopes > 0.40), indicating forgetting rate is a stable, trait-like individual difference. Secondary: negative intercept-slope correlation (high performers maintain advantage).	DERIVED from RQ 5.1.1: results/ch5/5.1.1/data/step06_best_model.pkl (saved LMM model), results/ch5/5.1.1/data/step03_theta_scores.csv, results/ch5/5.1.1/data/step04_lmm_input.csv. Sample: N=100 participants, all 4 tests. "All" factor items. No new IRT calibration required.	(1) Load RQ 5.1.1 model with convergence validation. (2) Extract variance components: var_intercept, var_slope, cov_int_slope, var_residual from cov_re. (3) Compute ICC estimates: ICC_intercept, ICC_slope_simple, ICC_slope_conditional at Day 6. Interpret: <0.20=Low, 0.20-0.40=Moderate, >=0.40=Substantial. (4) Extract individual random effects for 100 participants. (5) Test intercept-slope correlation with Decision D068 dual p-values (Bonferroni alpha=0.0033). Create histogram and Q-Q plot.	data/step01_model_metadata.yaml; data/step02_variance_components.csv (5 components); data/step03_icc_estimates.csv (3 ICC types); results/step03_icc_summary.txt; data/step04_random_effects.csv (100 rows, REQUIRED for RQ 5.1.5); results/step04_random_slopes_descriptives.txt; data/step05_intercept_slope_correlation.csv (5 statistics); plots/step05_random_slopes_histogram.png; plots/step05_random_slopes_qqplot.png	Model converged=True. Variance components positive. ICC in [0,1]. 100 participants extracted, no NaN. Correlation test D068-compliant (both p_uncorrected & p_bonferroni). PNG files > 10KB. RQ 5.1.1 dependency circuit breaker active.
5.1.5	General	Individual Clustering	5.14	No	Can participants be grouped into latent classes based on their forgetting trajectories (intercepts and slopes)?	Exploratory. Expected 2-3 profiles: (1) High baseline, slow forgetting; (2) Average baseline, average forgetting; (3) Low baseline, fast forgetting. Number determined by BIC model selection.	DERIVED from RQ 5.1.4: results/ch5/5.1.4/data/step04_random_effects.csv (Total_Intercept, Total_Slope per UID). Theta scores from RQ 5.1.1 for trajectory plotting. TSVR mapping from RQ 5.1.1. Sample: N=100 participants, 2 clustering variables.	(1) Load random effects from RQ 5.1.4 (Total_Intercept, Total_Slope). (2) Standardize to z-scores (mean=0, SD=1). (3) Test K=1 to K=6 using K-means; compute inertia and BIC; select optimal K as BIC minimum. (4) Fit final K-means (random_state=42, n_init=50); extract cluster assignments and centers. (5) Characterize clusters: mean intercept/slope per cluster, assign interpretive labels. (6) Scatter plot colored by cluster with centers and reference lines.	data/step00_random_effects_from_rq514.csv; data/step01_standardized_features.csv; results/step02_cluster_selection.csv (K=1-6: inertia, BIC); results/step03_optimal_k.txt; data/step04_cluster_assignments.csv (100 rows: UID, cluster); results/step04_cluster_centers.csv (K rows); results/step05_cluster_characterization.txt; plots/step06_cluster_scatter.png	Random effects loaded (100 participants). Standardization correct (mean~0, SD~1). BIC minimum identified. Cluster sizes balanced (no cluster < 10%). Cluster centers interpretable. Plot shows clear separation. Replicates with seed=42.
5.1.6	General	Item Difficulty Interaction	5.15	No	Do easier items (lower difficulty) show faster forgetting than harder items, consistent with initial strength predicting decay rate?	Exploratory. Competing predictions: (1) Easier items = weaker encoding -> faster forgetting (positive interaction), (2) Easier items = ceiling effects -> slower apparent forgetting (negative interaction), (3) No interaction (difficulty affects intercept only).	Item parameters from RQ 5.2.1: results/ch5/5.2.1/data/step03_item_parameters.csv. Raw response data: data/cache/dfData.csv. TSVR mapping from RQ 5.2.1. Structure: Item-level responses (UID x Test x Item), crossed random effects.	(1) Load item parameters (difficulty from IRT) and raw responses in long format. (2) Merge item difficulty into response-level data. (3) Grand-mean center Difficulty (Difficulty_c). (4) Fit cross-classified LMM: Response ~ Time x Difficulty_c + (Time | UID) + (1 | Item). Use pymer4 for crossed random effects. (5) Extract Time x Difficulty_c interaction; test significance at Bonferroni alpha = 0.0033. (6) Plot easy (-1SD) vs hard (+1SD) item trajectories.	data/step00_item_difficulty.csv; data/step01_response_level_data.csv (long format); data/step02_merged_data.csv; results/step03_lmm_model_summary.txt; results/step03_difficulty_interaction.csv (coefficient, SE, z, p); plots/step04_difficulty_trajectories.png	pymer4 model converged. Item difficulty merged correctly. Difficulty_c centered (mean~0). Interaction term extracted. Interpretation matches coefficient sign. Plot shows divergence (if significant) or parallelism. Replicates.
5.2.1	Domains	Domain-Specific Trajectories	5.1	No	Are there domain-specific differences in the rate and pattern of episodic forgetting over 6 days for What, Where, and When memory components?	Object identity (What) may be more resilient than spatial (Where) or temporal (When) memory, based on dual-process theory. Expected: significant Domain x Time interaction showing What with slower forgetting than Where and When.	Source: data/cache/dfData.csv (100 participants x 4 tests). Variables: UID, TEST, TSVR (hours), TQ_* items. Dichotomization: TQ < 1 -> 0, >= 1 -> 1. Domain items: What (*-N-*) = 29, Where (*-L-*/*-U-*/*-D-*) = 50, When (*-O-*) = 26. Time: TSVR_hours. Sample: N=100, 400 composite observations.	(0) Extract VR data, dichotomize, create Q-matrix (what/where/when factors). (1) IRT Pass 1: 3-dimensional GRM, correlated factors. (2) Purify items: Decision D039 (a >= 0.4, |b| <= 3.0). (3) IRT Pass 2 on purified items. (4) Merge theta with TSVR, reshape wide->long (1200 rows). (5) Fit 5 LMMs with Domain x Time; select best via AIC. (6) Post-hoc contrasts: where-what, when-what, Bonferroni alpha=0.0167. Report dual p-values (Decision D068). (7) Prepare trajectory data (Decision D069).	data/step00_irt_input.csv; data/step00_q_matrix.csv; data/step02_purified_items.csv (70 items); data/step03_theta_scores.csv (400 rows); data/step04_lmm_input.csv (1200 rows); results/step05_lmm_model_comparison.csv; data/step05_lmm_fitted_model.pkl; results/step06_post_hoc_contrasts.csv; results/step06_effect_sizes.csv; plots/step07_trajectory_theta_data.csv; plots/step07_trajectory_probability_data.csv	IRT convergence confirmed. Purification: >= 10 items per domain. LMM best model converged. 1200 observations in merged data. Post-hoc: p_bonferroni >= p_uncorrected. Plot data: 12 rows (3 domains x 4 tests), probability in [0,1].
5.2.2	Domains	Consolidation Window	5.2	No	Do memory domains (What/Where/When) show different rates of forgetting during the early consolidation window (Day 0->1) versus later decay (Day 1->6)?	Sleep-dependent consolidation (Day 0->1) may benefit spatial memory (Where) more than semantic (What). Secondary: 3-way interaction (Days_within x Segment x Domain) will be significant.	DERIVED from RQ 5.2.1: results/ch5/5.2.1/data/step04_lmm_input.csv, results/ch5/5.2.1/data/step03_item_parameters.csv. Variables: composite_ID, UID, test, TSVR_hours, domain, theta, se. Sample: N=100, 1200 observations. Segments: Early (tests 0-1), Late (tests 3-6). Days_within recentered.	(0) Load RQ 5.2.1 theta, create Segment and Days_within. (1) Fit piecewise LMM: theta ~ Days_within x Segment x domain + (1 + Days_within | UID), REML=False. (2) Extract 6 segment-domain slopes via linear combinations. (3) Compute 6 planned contrasts with Bonferroni alpha=0.0083. Report dual p-values (Decision D068). Compute Cohen's f^2. (4) Consolidation benefit index per domain. (5) Prepare piecewise plot data (theta and probability scales).	data/step00_piecewise_lmm_input.csv (1200 rows, 9 cols); data/step01_piecewise_lmm_model.pkl; results/step01_piecewise_lmm_summary.txt; results/step02_segment_domain_slopes.csv (6 rows); results/step03_planned_contrasts.csv (6 rows); results/step03_effect_sizes.csv; results/step04_consolidation_benefit.csv (3 rows); plots/step05_piecewise_theta_data.csv; plots/step05_piecewise_probability_data.csv	Model converged, 7 fixed effects estimated. 6 segment-domain slopes with valid SE/CI. 6 contrasts with dual p-values (Decision D068). 3 domains with consolidation benefit ranks. Plot data: 12 rows, correct segment assignments.
5.2.3	Domains	Age × Domain Interactions	5.10	No	Does the effect of age on forgetting rate vary by memory domain (What, Where, When)?	Age x Time effects will be strongest for spatial (Where) and temporal (When) domains relying on hippocampal binding, compared to object identity (What) relying on perirhinal cortex. 3-way Age x Domain x Time interaction significant at Bonferroni alpha=0.025.	DERIVED from RQ 5.2.1: results/ch5/5.2.1/data/step03_theta_scores.csv (1200 rows), results/ch5/5.2.1/data/step00_tsvr_mapping.csv (400 rows). Age from data/cache/dfData.csv. Variables: theta, TSVR_hours, age, domain. Sample: N=100, 1200 observations. Transformations: Age_c (centered), log_TSVR.	(0) Load RQ 5.2.1 theta + Age. (1) Merge, center Age, create log_TSVR. (2) Fit LMM: theta ~ TSVR_hours + log_TSVR + Age_c + domain + all 2-way + 3-way interactions + (TSVR_hours | UID). (2b) Validate 7 assumptions. (2c) Model selection via LRT. (3) Extract 4 three-way terms, Bonferroni alpha=0.025. (4) Domain-specific age effects at Day 3 with Tukey HSD. (5) Plot by age tertiles.	data/step00_theta_from_rq51.csv; data/step01_lmm_input.csv (1200 rows, 10 cols); data/step02_lmm_model.pkl; data/step02_fixed_effects.csv (21 terms); results/step02b_assumption_diagnostics.txt; data/step03_interaction_terms.csv (4 rows); data/step04_age_effects_by_domain.csv (3 rows); data/step04_post_hoc_contrasts.csv; plots/step05_age_effects_plot_data.csv	Model converged, 21 fixed effects. 4 three-way interaction terms present. Dual p-values (Decision D068). 3 domains with age effects. Plot data: all 3 domains x 3 tertiles x 4 tests.
5.2.4	Domains	IRT-CTT Convergence	5.11	No	Do IRT theta scores and CTT mean scores yield the same conclusions about domain-specific forgetting trajectories?	IRT and CTT should converge (r > 0.70 strong, r > 0.90 exceptional; Cohen's kappa > 0.60 substantial agreement), demonstrating robustness to measurement approach.	IRT theta from RQ 5.2.1: results/ch5/5.2.1/data/step03_theta_scores.csv. TSVR from RQ 5.2.1. Purified items from RQ 5.2.1. Raw data: data/cache/dfData.csv. Sample: N=100 x 4 tests x 3 domains = 1200 observations. CTT computed on purified item set.	(0) Load IRT theta, TSVR, purified items; filter raw data to purified items. (1) Compute CTT mean scores per UID x test x domain. (2) Pearson correlations per domain with Holm-Bonferroni; test r > 0.70 and r > 0.90. Report dual p-values (Decision D068). (3) Fit parallel LMMs (identical formula) for IRT and CTT; simplify both if either fails convergence. (4) Validate assumptions for both. (5) Compare fixed effects: Cohen's kappa > 0.60 threshold. (6) Compare AIC/BIC. (7-8) Prepare scatterplot and trajectory data.	results/step02_correlations.csv (4 rows); results/step03_irt_lmm_summary.txt; results/step03_ctt_lmm_summary.txt; results/step04_assumptions_comparison.csv; results/step05_coefficient_comparison.csv (12 cols); results/step05_agreement_metrics.csv; results/step06_model_fit_comparison.csv; plots/step07_scatterplot_data.csv (1200 rows); plots/step08_trajectory_data.csv (24 rows)	All correlations r > 0.70. Cohen's kappa > 0.60. Agreement >= 80%. Both models converge with identical structure. Output files with correct row/column counts. Dual p-values present.
