RQ	Type	Status	Model_Form	Gaps	Next_Action	Effort	Priority	Blocks	Dependencies	Validation	Notes
5.1.1	General/ROOT	GOLD	PowerLaw α=0.410 (16 models averaged)	-	Document model averaging methodology in thesis Methods	1day	HIGH	5.1.2,5.1.3,5.1.4,5.1.5	-	PASS	Extended 66-model + averaging complete. ΔAIC=3.10 vs Log. Ebbinghaus→Wixted paradigm shift.
5.1.2	General/Two-Phase	GOLD	Lin+Log (piecewise) + Practice decomposition (Step 7)	-	None (practice decomposition complete)	0	DONE	-	5.1.1	PASS	Two-phase pattern confirmed BUT reinterpreted: Practice saturation (5.7x difference T1→T2 vs T2→T4, p<0.000002) explains deceleration more than consolidation. Practice decomposition (Step 7, 2025-12-09) reveals retrieval practice PARTIALLY masks forgetting. Methodological contribution: Dual-phase model applicable to all repeated-measures designs.
5.1.3	General/Age	GOLD	Model-Averaged (40 functional forms, N_eff=10.1) + Practice decomposition (Step 3)	-	None (extended + practice decomposition complete)	0	DONE	-	5.1.1	PASS	ROBUST NULL age effects (all p>0.48). Extended 66-model comparison: SquareRoot+Lin best (9.9% weight). Model averaging resolves wrong-direction artifacts. Practice decomposition (Step 3, 2025-12-09): Age-invariant practice effects (Age×Phase p=0.41) - wrong-direction NOT explained by differential practice. VR Scaffolding Hypothesis STRENGTHENED: Immersive context compensates for hippocampal aging AND equalizes practice benefits across ages. REVERSES original interpretation (marginal→robust NULL). LIMITATION: Age range [20-70] with only 7 participants ≥65 may not capture critical hippocampal aging (70+); generalizability to older old adults uncertain.
5.1.4	General/Variance	GOLD	Model-Averaged (10 PowerLaw models, N_eff=9.84)	-	None (model averaging complete)	0	DONE	5.1.5	5.1.1	PASS	ICC_slope=21.6% (forgetting IS trait-like, 432× larger than Lin+Log single model). Model averaging MANDATORY (best weight 5.7%). REVERSES original NULL finding.
5.1.5	General/Clustering	GOLD	Model-Averaged (via 5.1.4 step06, K=3)	-	None (model averaging complete)	0	DONE	5.1.6	5.1.4	PASS	K=3 (elbow, K=1-10 extended). Jaccard=0.293 (UNSTABLE, model-averaged uncertainty), Silhouette=0.408 (WEAK but improved +20%). 3 clusters: Low/stable (25%), High/declining (44%), Avg/improving (31%). Bidirectional trajectories revealed. LIMITATION: Bootstrap instability (Jaccard=0.293) and K-selection range dependency (K=2 with K=1-6 vs K=3 with K=1-10); weak cluster structure expected with model averaging uncertainty.
5.1.6	General/ItemDiff	DEPRIORITIZED	-	-	None (answered by 5.3.9)	-	-	-	-	-	Answered by 5.3.9 paradigm-invariant item difficulty. Expected NULL. Directory exists as ".5.1.6" (hidden/incomplete).
5.2.1	Domains/ROOT	GOLD	Recip+Log (10 models averaged)	-	Check derivatives for ROOT dependency updates	0	DONE	5.2.2,5.2.3,5.2.4,5.2.5,5.2.6,5.2.7	-	PASS	Extended 66-model + averaging complete. Two-process forgetting (rapid 1/(t+1) + slow log(t+1)). When domain excluded (floor effect).
5.2.2	Domains/Consolidation	GOLD	Log (piecewise)	-	None (plots current)	0	DONE	-	5.2.1 (weak)	PASS	NULL differential consolidation (p=0.938, 2-domain analysis). Plots current (regenerated 2025-12-09, What/Where only). General consolidation EXISTS (5-6× steeper Early slopes), but domain-general (not spatially selective).
5.2.3	Domains/Age	GOLD	Recip+Log (ROOT-verified)	-	None (ROOT verification complete)	0	DONE	-	5.2.1	PASS	NULL age effects ROBUST (p_bonf>0.025 with both Log and Recip+Log). Step 02d verification: ΔAIC=-83.07 (Recip+Log better fit), ~recip_TSVR random slopes converged, 3-way interactions remain NULL. Domain-general age effects confirmed.
5.2.4	Domains/IRT-CTT	GOLD	Recip+Log (ROOT-verified)	-	None (ROOT verification complete)	0	DONE	-	5.2.1	PASS	r=0.87-0.91 EXCEPTIONAL and ROBUST (unchanged with Recip+Log). Step 03b verification: Convergence model-invariant (r identical for Log vs Recip+Log). CRITICAL DISCOVERY: Recip+Log reveals CTT CAN detect individual differences (Var: 0.000→0.022), Log-only boundary was model limitation. IRT still superior (68× more variance: 1.507 vs 0.022) but both methods benefit from two-process forgetting.
