composite_ID,theta_All,se_All
A010_T1,-0.20957583,0.03239922
A010_T2,-0.57934135,0.03239922
A010_T3,-0.74879074,0.03239922
A010_T4,-0.7038349,0.03239922
A011_T1,0.15715638,0.03239922
A011_T2,-0.38281262,0.03239922
A011_T3,-0.58646375,0.03239922
A011_T4,-1.0588089,0.03239922
A012_T1,-0.16911593,0.03239922
A012_T2,-0.6359274,0.03239922
A012_T3,-0.47277012,0.03239922
A012_T4,-0.82501715,0.03239922
A013_T1,-0.59617066,0.03239922
A013_T2,-0.77536535,0.03239922
A013_T3,-0.5955725,0.03239922
A013_T4,-1.3194972,0.03239922
A014_T1,-0.25741094,0.03239922
A014_T2,-0.29170483,0.03239922
A014_T3,-0.5319482,0.03239922
A014_T4,-0.847529,0.03239922
A015_T1,0.043815885,0.03239922
A015_T2,-0.28529143,0.03239922
A015_T3,-0.2977964,0.03239922
A015_T4,-0.51830524,0.03239922
A016_T1,-0.31276742,0.03239922
A016_T2,-0.5990368,0.03239922
A016_T3,-0.9046484,0.03239922
A016_T4,-1.4929777,0.03239922
A017_T1,-0.0271169,0.03239922
A017_T2,0.22379328,0.03239922
A017_T3,0.17680177,0.03239922
A017_T4,-0.075293295,0.03239922
A018_T1,-0.22358075,0.03239922
A018_T2,-0.36170173,0.03239922
A018_T3,-0.8365012,0.03239922
A018_T4,-0.8759893,0.03239922
A019_T1,-2.1701155,0.03239922
A019_T2,-2.0689542,0.03239922
A019_T3,-2.408587,0.03239922
A019_T4,-2.301303,0.03239922
A020_T1,-0.31470525,0.03239922
A020_T2,-0.44827634,0.03239922
A020_T3,-0.99652964,0.03239922
A020_T4,-1.4274912,0.03239922
A021_T1,-0.40132454,0.03239922
A021_T2,-0.47624522,0.03239922
A021_T3,-0.47902867,0.03239922
A021_T4,-0.32457483,0.03239922
A022_T1,-1.0160766,0.03239922
A022_T2,-1.6580129,0.03239922
A022_T3,-0.81057113,0.03239922
A022_T4,-2.0358698,0.03239922
A023_T1,-0.39503428,0.03239922
A023_T2,-0.5634649,0.03239922
A023_T3,-0.6200839,0.03239922
A023_T4,-0.49981073,0.03239922
A024_T1,-0.5877851,0.03239922
A024_T2,-0.43305665,0.03239922
A024_T3,-0.5878253,0.03239922
A024_T4,-0.89577574,0.03239922
A025_T1,-0.23495999,0.03239922
A025_T2,-0.4364632,0.03239922
A025_T3,-0.86236525,0.03239922
A025_T4,-1.5483915,0.03239922
A026_T1,-0.4476065,0.03239922
A026_T2,-0.4697712,0.03239922
A026_T3,-0.5246494,0.03239922
A026_T4,-0.45085892,0.03239922
A027_T1,-0.27403343,0.03239922
A027_T2,-0.43625194,0.03239922
A027_T3,-1.096507,0.03239922
A027_T4,-1.3719811,0.03239922
A028_T1,0.027455771,0.03239922
A028_T2,-0.3824805,0.03239922
A028_T3,-0.609303,0.03239922
A028_T4,-0.8850471,0.03239922
A029_T1,0.051426064,0.03239922
A029_T2,-0.22277704,0.03239922
A029_T3,-0.38151622,0.03239922
A029_T4,-0.47751236,0.03239922
A030_T1,-0.6474536,0.03239922
A030_T2,-0.33693773,0.03239922
A030_T3,-0.68452954,0.03239922
A030_T4,-0.44758588,0.03239922
A031_T1,0.11944521,0.03239922
A031_T2,-0.25079858,0.03239922
A031_T3,-0.7986006,0.03239922
A031_T4,-1.289443,0.03239922
A032_T1,-0.25118843,0.03239922
A032_T2,-0.66263956,0.03239922
A032_T3,-0.49235332,0.03239922
A032_T4,-0.4666232,0.03239922
A033_T1,-0.35680985,0.03239922
A033_T2,-0.6204748,0.03239922
A033_T3,-0.24171394,0.03239922
A033_T4,-0.6206486,0.03239922
A034_T1,-0.024934776,0.03239922
A034_T2,-0.032090925,0.03239922
A034_T3,-0.3094087,0.03239922
A034_T4,-0.77715975,0.03239922
A035_T1,-0.6060147,0.03239922
A035_T2,-0.39708763,0.03239922
A035_T3,-0.7474553,0.03239922
A035_T4,-1.0058789,0.03239922
A036_T1,-1.3648155,0.03239922
A036_T2,-2.1989202,0.03239922
A036_T3,-1.7293134,0.03239922
A036_T4,-2.2460833,0.03239922
A037_T1,-0.12586787,0.03239922
A037_T2,-0.5515411,0.03239922
A037_T3,-0.7772938,0.03239922
A037_T4,-0.9160848,0.03239922
A038_T1,-0.31440485,0.03239922
A038_T2,-0.32522953,0.03239922
A038_T3,-0.32334778,0.03239922
A038_T4,-0.33071452,0.03239922
A039_T1,-0.010293229,0.03239922
A039_T2,0.018154912,0.03239922
A039_T3,-0.2639552,0.03239922
A039_T4,-0.52685374,0.03239922
A040_T1,-0.40566486,0.03239922
A040_T2,-0.54702044,0.03239922
A040_T3,-0.8045523,0.03239922
A040_T4,-0.9931349,0.03239922
A041_T1,-0.07340929,0.03239922
A041_T2,-0.48033568,0.03239922
A041_T3,-0.4068252,0.03239922
A041_T4,-0.4012176,0.03239922
A042_T1,-0.8877299,0.03239922
A042_T2,-1.2076592,0.03239922
A042_T3,-1.04334,0.03239922
A042_T4,-1.2660758,0.03239922
A043_T1,0.12524743,0.03239922
A043_T2,0.074096754,0.03239922
A043_T3,-0.20584522,0.03239922
A043_T4,-0.46216238,0.03239922
A044_T1,-1.2214564,0.03239922
A044_T2,-0.9994921,0.03239922
A044_T3,-1.3985013,0.03239922
A044_T4,-1.8987845,0.03239922
A045_T1,-0.65096277,0.03239922
A045_T2,-0.71755517,0.03239922
A045_T3,-0.6275152,0.03239922
A045_T4,-1.0182396,0.03239922
A046_T1,-0.8491575,0.03239922
A046_T2,-1.0824164,0.03239922
A046_T3,-1.9777021,0.03239922
A046_T4,-1.1210321,0.03239922
A047_T1,-0.8782938,0.03239922
A047_T2,-0.8611226,0.03239922
A047_T3,-1.4937862,0.03239922
A047_T4,-2.1195989,0.03239922
A048_T1,-0.34669858,0.03239922
A048_T2,-0.4959219,0.03239922
A048_T3,-0.50358874,0.03239922
A048_T4,-0.65342605,0.03239922
A049_T1,-0.028904282,0.03239922
A049_T2,-0.62687474,0.03239922
A049_T3,-0.39411706,0.03239922
A049_T4,-0.56187904,0.03239922
A050_T1,-0.3329283,0.03239922
A050_T2,-0.40956235,0.03239922
A050_T3,-1.0704428,0.03239922
A050_T4,-1.1886486,0.03239922
A051_T1,-0.12532425,0.03239922
A051_T2,-0.22170891,0.03239922
A051_T3,-0.6670417,0.03239922
A051_T4,-0.717612,0.03239922
A052_T1,-0.46720344,0.03239922
A052_T2,-0.65881974,0.03239922
A052_T3,-0.8427525,0.03239922
A052_T4,-0.68798685,0.03239922
A053_T1,-0.36268333,0.03239922
A053_T2,-1.3348268,0.03239922
A053_T3,-1.3800142,0.03239922
A053_T4,-1.5003244,0.03239922
A054_T1,0.029103631,0.03239922
A054_T2,-0.35212585,0.03239922
A054_T3,-0.26147947,0.03239922
A054_T4,-0.19586188,0.03239922
A055_T1,-0.36088526,0.03239922
A055_T2,-0.88480955,0.03239922
A055_T3,-0.97435224,0.03239922
A055_T4,-1.0537004,0.03239922
A056_T1,-0.582606,0.03239922
A056_T2,-1.0420797,0.03239922
A056_T3,-0.8380181,0.03239922
A056_T4,-1.098275,0.03239922
A057_T1,-0.44464478,0.03239922
A057_T2,-0.6047262,0.03239922
A057_T3,-0.8740242,0.03239922
A057_T4,-1.4554442,0.03239922
A058_T1,-0.28630787,0.03239922
A058_T2,-0.6994882,0.03239922
A058_T3,-0.69834685,0.03239922
A058_T4,-1.1754528,0.03239922
A059_T1,-0.64515376,0.03239922
A059_T2,-0.53046274,0.03239922
A059_T3,-0.7437777,0.03239922
A059_T4,-0.6217994,0.03239922
A060_T1,-0.60953146,0.03239922
A060_T2,-0.41698605,0.03239922
A060_T3,-0.3879077,0.03239922
A060_T4,-0.16003492,0.03239922
A061_T1,0.39475346,0.03239922
A061_T2,0.07737372,0.03239922
A061_T3,-0.27888015,0.03239922
A061_T4,-0.22784275,0.03239922
A062_T1,-0.29300952,0.03239922
A062_T2,-0.7434287,0.03239922
A062_T3,-0.974193,0.03239922
A062_T4,-1.5529231,0.03239922
A063_T1,-1.294402,0.03239922
A063_T2,-1.960685,0.03239922
A063_T3,-2.3275664,0.03239922
A063_T4,-2.3662431,0.03239922
A064_T1,-0.26187485,0.03239922
A064_T2,-0.5493429,0.03239922
A064_T3,-0.7581485,0.03239922
A064_T4,-0.6732313,0.03239922
A065_T1,-0.62954164,0.03239922
A065_T2,-1.5046363,0.03239922
A065_T3,-2.19694,0.03239922
A065_T4,-1.9216951,0.03239922
A066_T1,-0.63675797,0.03239922
A066_T2,-0.66337293,0.03239922
A066_T3,-0.80307025,0.03239922
A066_T4,-1.436064,0.03239922
A067_T1,-0.5694425,0.03239922
A067_T2,-1.584414,0.03239922
A067_T3,-1.3810449,0.03239922
A067_T4,-1.5942382,0.03239922
A068_T1,0.05259034,0.03239922
A068_T2,-0.09444047,0.03239922
A068_T3,-0.34372416,0.03239922
A068_T4,-0.62895495,0.03239922
A069_T1,-0.779753,0.03239922
A069_T2,-1.4553812,0.03239922
A069_T3,-1.9952551,0.03239922
A069_T4,-1.3238999,0.03239922
A070_T1,-0.39143047,0.03239922
A070_T2,-0.5367628,0.03239922
A070_T3,-1.1602048,0.03239922
A070_T4,-1.4078444,0.03239922
A071_T1,-0.14597252,0.03239922
A071_T2,-0.79447585,0.03239922
A071_T3,-1.1807591,0.03239922
A071_T4,-0.9274221,0.03239922
A072_T1,-0.07698649,0.03239922
A072_T2,-0.17906797,0.03239922
A072_T3,-0.63983804,0.03239922
A072_T4,-0.78499377,0.03239922
A073_T1,-0.9464443,0.03239922
A073_T2,-1.0748329,0.03239922
