model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Sin+Cos,1068.9809666080318,1096.9212184377877,-527.4904833040159,6.0,False,0.0,0.217142582697317,0.217142582697317
Tanh+Log,1072.0442779995128,1099.9845298292687,-529.0221389997564,6.0,False,3.0633113914809655,0.04694132911209802,0.26408391180941504
PowerLaw_10,1073.1265070356967,1097.0752943183445,-530.5632535178484,5.0,False,4.145540427664855,0.027324506870044857,0.2914084186794599
Reciprocal,1073.1265070356967,1097.0752943183445,-530.5632535178484,5.0,False,4.145540427664855,0.027324506870044857,0.3187329255495047
Recip_sq,1073.1285909414237,1097.0773782240715,-530.5642954707118,5.0,True,4.147624333391832,0.027296050849358797,0.34602897639886354
PowerLaw_09,1073.219380249815,1097.1681675324628,-530.6096901249075,5.0,False,4.238413641783154,0.02608465942405583,0.37211363582291934
FourthRoot,1073.2627463332165,1097.2115336158643,-530.6313731666082,5.0,False,4.281779725184606,0.025525152493116394,0.3976387883160357
Root_033,1073.3226761705282,1097.271463453176,-530.6613380852641,5.0,False,4.341709562496362,0.02477163923724686,0.42241042755328256
CubeRoot,1073.3230498684998,1097.2718371511476,-530.6615249342499,5.0,False,4.342083260467916,0.024767011113972878,0.44717743866725546
PowerLaw_08,1073.3358781430907,1097.2846654257385,-530.6679390715453,5.0,False,4.354911535058818,0.024608660488509796,0.47178609915576525
PowerLaw_07,1073.4774814939874,1097.4262687766352,-530.7387407469937,5.0,True,4.496514885955548,0.022926575913389962,0.4947126750691552
Cubic,1073.4793314769754,1105.4110478538394,-528.7396657384877,7.0,False,4.498364868943554,0.022905378830755403,0.5176180538999107
LogLog,1073.5403120078136,1097.4890992904614,-530.7701560039068,5.0,False,4.559345399781705,0.022217527424608616,0.5398355813245193
SquareRoot+Recip,1073.6321787270008,1101.5724305567567,-529.8160893635004,6.0,False,4.651212118968942,0.021220085054598155,0.5610556663791174
Exp_slow,1073.635039291049,1097.5838265736968,-530.8175196455245,5.0,False,4.654072683017148,0.021189756043084977,0.5822454224222023
SquareRoot,1073.635039291049,1097.5838265736968,-530.8175196455245,5.0,False,4.654072683017148,0.021189756043084977,0.6034351784652873
PowerLaw_06,1073.6454874748897,1097.5942747575375,-530.8227437374449,5.0,False,4.664520866857856,0.021079347453155192,0.6245145259184425
PowerLaw_05,1073.8409431899645,1097.7897304726123,-530.9204715949822,5.0,False,4.859976581932642,0.01911676903700971,0.6436312949554522
Root_067,1074.0352259699648,1097.9840132526126,-531.0176129849824,5.0,False,5.054259361932964,0.017347085679551608,0.6609783806350038
PowerLaw_04,1074.0645616161273,1098.0133488987751,-531.0322808080637,5.0,False,5.083595008095472,0.01709449867512907,0.6780728793101328
PowerLaw+Recip+Log,1074.2839775303746,1106.2156939072386,-529.1419887651873,7.0,True,5.303010922342764,0.01531830838862625,0.6933911876987591
PowerLaw_03,1074.3166089627748,1098.2653962454226,-531.1583044813874,5.0,False,5.335642354742959,0.015070407059464996,0.708461594758224
Log+PowerLaw05,1074.5826178994562,1102.522869729212,-530.2913089497281,6.0,False,5.601651291424332,0.013193556350994841,0.7216551511092189
PowerLaw_Log,1074.5826178994575,1102.5228697292134,-530.2913089497288,6.0,False,5.601651291425696,0.013193556350985841,0.7348487074602047
Quartic,1074.5937288639443,1110.5169097879161,-528.2968644319722,8.0,False,5.6127622559124575,0.013120463005335065,0.7479691704655398
PowerLaw_02,1074.596742954211,1098.545530236859,-531.2983714771055,5.0,False,5.615776346179246,0.013100704767432686,0.7610698752329724
