model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,renorm_weight
Sin+Cos,1068.9809666080318,1096.9212184377875,-527.4904833040159,6.0,False,0.0,0.217142582697317,0.217142582697317,0.22276036512083722
Tanh+Log,1072.0442779995128,1099.9845298292687,-529.0221389997564,6.0,False,3.063311391480965,0.046941329112098,0.264083911809415,0.0481557669729123
PowerLaw_10,1073.1265070356967,1097.0752943183445,-530.5632535178484,5.0,False,4.145540427664855,0.0273245068700448,0.2914084186794599,0.028031430093113707
Reciprocal,1073.1265070356967,1097.0752943183445,-530.5632535178484,5.0,False,4.145540427664855,0.0273245068700448,0.3187329255495047,0.028031430093113707
Recip_sq,1073.1285909414237,1097.0773782240717,-530.5642954707118,5.0,True,4.147624333391832,0.0272960508493587,0.3460289763988635,0.028002237875358993
PowerLaw_09,1073.219380249815,1097.1681675324628,-530.6096901249075,5.0,False,4.238413641783154,0.0260846594240558,0.3721136358229193,0.02675950605899813
FourthRoot,1073.2627463332165,1097.2115336158645,-530.6313731666082,5.0,False,4.281779725184606,0.0255251524931163,0.3976387883160357,0.026185523900936317
Root_033,1073.3226761705282,1097.271463453176,-530.6613380852641,5.0,False,4.341709562496362,0.0247716392372468,0.4224104275532825,0.02541251620287989
CubeRoot,1073.3230498684998,1097.2718371511476,-530.6615249342499,5.0,False,4.342083260467916,0.0247670111139728,0.4471774386672554,0.025407768343581476
PowerLaw_08,1073.335878143091,1097.2846654257385,-530.6679390715453,5.0,False,4.354911535058818,0.0246086604885097,0.4717860991557652,0.025245320965885675
PowerLaw_07,1073.4774814939874,1097.4262687766352,-530.7387407469937,5.0,True,4.496514885955548,0.0229265759133899,0.4947126750691552,0.023519718509364625
Cubic,1073.4793314769754,1105.4110478538394,-528.7396657384877,7.0,False,4.498364868943554,0.0229053788307554,0.5176180538999107,0.02349797302854505
LogLog,1073.5403120078136,1097.4890992904614,-530.7701560039068,5.0,False,4.559345399781705,0.0222175274246086,0.5398355813245193,0.02279232594413264
SquareRoot+Recip,1073.6321787270008,1101.572430556757,-529.8160893635004,6.0,False,4.651212118968942,0.0212200850545981,0.5610556663791174,0.021769078344465596
Exp_slow,1073.635039291049,1097.5838265736968,-530.8175196455245,5.0,False,4.654072683017148,0.0211897560430849,0.5822454224222023,0.02173796467899054
SquareRoot,1073.635039291049,1097.5838265736968,-530.8175196455245,5.0,False,4.654072683017148,0.0211897560430849,0.6034351784652873,0.02173796467899054
PowerLaw_06,1073.6454874748897,1097.5942747575375,-530.8227437374449,5.0,False,4.664520866857856,0.0210793474531551,0.6245145259184425,0.021624699664364075
PowerLaw_05,1073.8409431899645,1097.7897304726123,-530.9204715949822,5.0,False,4.859976581932642,0.0191167690370097,0.6436312949554522,0.019611346598704765
Root_067,1074.0352259699648,1097.9840132526126,-531.0176129849824,5.0,False,5.054259361932964,0.0173470856795516,0.6609783806350038,0.017795879056784873
PowerLaw_04,1074.064561616127,1098.0133488987751,-531.0322808080637,5.0,False,5.083595008095472,0.017094498675129,0.6780728793101328,0.01753675727315762
PowerLaw+Recip+Log,1074.2839775303746,1106.2156939072386,-529.1419887651873,7.0,True,5.303010922342764,0.0153183083886262,0.6933911876987591,0.015714614458834646
PowerLaw_03,1074.3166089627748,1098.2653962454226,-531.1583044813874,5.0,False,5.335642354742959,0.0150704070594649,0.708461594758224,0.015460299575443539
