composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A010_T1,A010,T1,1.0,-0.35952440264819746,0.054074393216403005
A010_T2,A010,T2,21.9,-0.5456482138827985,0.0527447136874572
A010_T3,A010,T3,80.88,-0.7582001519697037,0.044087243543167
A010_T4,A010,T4,145.31,-0.7319346711990093,0.14488515344878938
A011_T1,A011,T1,1.0,-0.35952440264819746,0.054074393216403005
A011_T2,A011,T2,24.57,-0.5618339355526019,0.04797818685053903
A011_T3,A011,T3,72.55,-0.744190484442834,0.043949772600323005
A011_T4,A011,T4,148.85,-0.7267851031449919,0.1605522151591153
A012_T1,A012,T1,1.0,-0.35952440264819746,0.054074393216403005
A012_T2,A012,T2,25.6,-0.5678414474634027,0.04604127872797031
A012_T3,A012,T3,166.33,-0.7029620426266494,0.23402034240545821
A012_T4,A012,T4,166.87,-0.7023179256769574,0.2361005220469366
A013_T1,A013,T1,1.0,-0.35952440264819746,0.054074393216403005
A013_T2,A013,T2,24.77,-0.5630103105541984,0.0476057092957166
A013_T3,A013,T3,79.66,-0.7564591161683885,0.04445177708801037
A013_T4,A013,T4,147.13,-0.7292881109028446,0.15294763787168636
A014_T1,A014,T1,1.0,-0.35952440264819746,0.054074393216403005
A014_T2,A014,T2,25.66,-0.568187559452352,0.045927102271131025
A014_T3,A014,T3,70.56,-0.740101598000243,0.04304117024384911
A014_T4,A014,T4,148.87,-0.7267560185345555,0.16064050177914369
A015_T1,A015,T1,1.0,-0.35952440264819746,0.054074393216403005
A015_T2,A015,T2,23.69,-0.5565998283778,0.04959387203334119
A015_T3,A015,T3,70.59,-0.7401653800041228,0.043057233010393756
A015_T4,A015,T4,146.54,-0.7301467008203425,0.15033502884794073
A016_T1,A016,T1,1.0,-0.35952440264819746,0.054074393216403005
A016_T2,A016,T2,32.85,-0.6068916511067197,0.031798583643067126
A016_T3,A016,T3,80.64,-0.7578660014122202,0.044169648866514345
A016_T4,A016,T4,150.8,-0.7239549488717267,0.16913921620684755
A017_T1,A017,T1,1.0,-0.35952440264819746,0.054074393216403005
