model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,relative_likelihood,is_best
Sin+Cos,1068.9809666080318,1096.9212184377875,-527.4904833040159,6.0,False,0.0,0.2171425826973174,0.217142582697317,1.0,True
Tanh+Log,1072.0442779995128,1099.9845298292687,-529.0221389997564,6.0,False,3.0633113914809655,0.046941329112098105,0.264083911809415,0.2161774467679205,False
PowerLaw_10,1073.1265070356967,1097.0752943183445,-530.5632535178484,5.0,False,4.145540427664855,0.027324506870044903,0.2914084186794599,0.12583670384050596,False
Reciprocal,1073.1265070356967,1097.0752943183445,-530.5632535178484,5.0,False,4.145540427664855,0.027324506870044903,0.3187329255495047,0.12583670384050596,False
Recip_sq,1073.1285909414237,1097.0773782240717,-530.5642954707118,5.0,True,4.147624333391832,0.027296050849358846,0.3460289763988635,0.12570565621118987,False
PowerLaw_09,1073.219380249815,1097.1681675324628,-530.6096901249075,5.0,False,4.238413641783154,0.026084659424055873,0.3721136358229193,0.12012687285946207,False
FourthRoot,1073.2627463332165,1097.2115336158645,-530.6313731666082,5.0,False,4.281779725184606,0.02552515249311644,0.3976387883160357,0.11755019294716983,False
Root_033,1073.3226761705282,1097.271463453176,-530.6613380852641,5.0,False,4.341709562496362,0.024771639237246904,0.4224104275532825,0.11408006172505074,False
CubeRoot,1073.3230498684998,1097.2718371511476,-530.6615249342499,5.0,False,4.342083260467916,0.024767011113972923,0.4471774386672554,0.11405874797250856,False
PowerLaw_08,1073.335878143091,1097.2846654257385,-530.6679390715453,5.0,False,4.3549115350590455,0.02460866048850704,0.4717860991557652,0.1133295007493298,False
PowerLaw_07,1073.4774814939874,1097.4262687766352,-530.7387407469937,5.0,True,4.496514885955548,0.02292657591339,0.4947126750691552,0.10558304883638671,False
Cubic,1073.4793314769754,1105.4110478538394,-528.7396657384877,7.0,False,4.498364868943554,0.02290537883075544,0.5176180538999107,0.10548543056929578,False
LogLog,1073.5403120078136,1097.4890992904614,-530.7701560039068,5.0,False,4.559345399781705,0.022217527424608658,0.5398355813245193,0.1023176898267736,False
SquareRoot+Recip,1073.6321787270008,1101.572430556757,-529.8160893635004,6.0,False,4.651212118968942,0.021220085054598194,0.5610556663791174,0.09772419942235655,False
Exp_slow,1073.635039291049,1097.5838265736968,-530.8175196455245,5.0,False,4.654072683017148,0.021189756043085015,0.5822454224222023,0.09758452616648736,False
SquareRoot,1073.635039291049,1097.5838265736968,-530.8175196455245,5.0,False,4.654072683017148,0.021189756043085015,0.6034351784652873,0.09758452616648736,False
PowerLaw_06,1073.6454874748897,1097.5942747575375,-530.8227437374449,5.0,False,4.664520866857856,0.02107934745315523,0.6245145259184425,0.09707606491232752,False
PowerLaw_05,1073.8409431899645,1097.7897304726123,-530.9204715949822,5.0,False,4.859976581932642,0.019116769037009745,0.6436312949554522,0.08803786341464527,False
Root_067,1074.0352259699648,1097.9840132526126,-531.0176129849824,5.0,False,5.054259361932964,0.01734708567955164,0.6609783806350038,0.07988799554683544,False
PowerLaw_04,1074.064561616127,1098.0133488987751,-531.0322808080637,5.0,False,5.083595008095244,0.017094498675131038,0.6780728793101328,0.07872476445101353,False
PowerLaw+Recip+Log,1074.2839775303746,1106.2156939072386,-529.1419887651873,7.0,True,5.303010922342764,0.015318308388626276,0.6933911876987591,0.07054493042472006,False
PowerLaw_03,1074.3166089627748,1098.2653962454226,-531.1583044813874,5.0,False,5.335642354742959,0.015070407059465022,0.708461594758224,0.06940327812381318,False
Log+PowerLaw05,1074.5826178994562,1102.522869729212,-530.2913089497281,6.0,False,5.601651291424332,0.013193556350994864,0.7216551511092189,0.060759875778883136,False
