composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours
A010_T1,A010,1,-0.13905293,0.033312414,1.0
A010_T2,A010,2,-0.483975,0.033312414,21.9
A010_T3,A010,3,-0.68631816,0.033312414,80.88
A010_T4,A010,4,-0.68651795,0.033312414,145.31
A011_T1,A011,1,0.1330746,0.033312414,1.0
A011_T2,A011,2,-0.600107,0.033312414,24.57
A011_T3,A011,3,-0.56184554,0.033312414,72.55
A011_T4,A011,4,-1.3168331,0.033312414,148.85
A012_T1,A012,1,-0.09271885,0.033312414,1.0
A012_T2,A012,2,-0.73501015,0.033312414,25.6
A012_T3,A012,3,-0.4385995,0.033312414,166.33
A012_T4,A012,4,-0.81121576,0.033312414,166.87
A013_T1,A013,1,-0.5214896,0.033312414,1.0
A013_T2,A013,2,-0.8025816,0.033312414,24.77
A013_T3,A013,3,-0.57931006,0.033312414,79.66
A013_T4,A013,4,-1.0235835,0.033312414,147.13
A014_T1,A014,1,-0.13213211,0.033312414,1.0
A014_T2,A014,2,-0.22750956,0.033312414,25.66
A014_T3,A014,3,-0.47540674,0.033312414,70.56
A014_T4,A014,4,-0.9524173,0.033312414,148.87
A015_T1,A015,1,0.17578323,0.033312414,1.0
A015_T2,A015,2,-0.33134136,0.033312414,23.69
A015_T3,A015,3,-0.14433615,0.033312414,70.59
A015_T4,A015,4,-0.5226083,0.033312414,146.54
A016_T1,A016,1,-0.3108059,0.033312414,1.0
A016_T2,A016,2,-0.9208703,0.033312414,32.85
A016_T3,A016,3,-0.775769,0.033312414,80.64
A016_T4,A016,4,-1.2670994,0.033312414,150.8
A017_T1,A017,1,-0.1695174,0.033312414,1.0
A017_T2,A017,2,0.28766757,0.033312414,20.61
A017_T3,A017,3,0.24563572,0.033312414,61.28
A017_T4,A017,4,-0.0076715588,0.033312414,140.49
A018_T1,A018,1,-0.12740232,0.033312414,1.0
A018_T2,A018,2,-0.3386591,0.033312414,34.03
A018_T3,A018,3,-0.4846632,0.033312414,83.64
A018_T4,A018,4,-0.6635811,0.033312414,150.87
A019_T1,A019,1,-2.0066547,0.033312414,1.0
A019_T2,A019,2,-1.936245,0.033312414,28.69
A019_T3,A019,3,-2.2414632,0.033312414,83.68
A019_T4,A019,4,-0.9828369,0.033312414,154.76
A020_T1,A020,1,-0.20167366,0.033312414,1.0
A020_T2,A020,2,-0.3446548,0.033312414,26.85
A020_T3,A020,3,-1.0575721,0.033312414,78.25
A020_T4,A020,4,-1.261497,0.033312414,145.78
A021_T1,A021,1,-0.3146922,0.033312414,1.0
A021_T2,A021,2,-0.41681358,0.033312414,30.21
A021_T3,A021,3,-0.60466605,0.033312414,74.19
A021_T4,A021,4,-0.09706275,0.033312414,140.39
A022_T1,A022,1,-0.81380814,0.033312414,1.0
A022_T2,A022,2,-1.6027367,0.033312414,24.15
A022_T3,A022,3,-0.83548737,0.033312414,74.46
A022_T4,A022,4,-1.0474674,0.033312414,141.71
A023_T1,A023,1,-0.49011907,0.033312414,1.0
A023_T2,A023,2,-0.39423442,0.033312414,25.63
A023_T3,A023,3,-0.5714011,0.033312414,72.2
A023_T4,A023,4,-0.39642394,0.033312414,145.07
A024_T1,A024,1,-0.5055459,0.033312414,1.0
A024_T2,A024,2,-0.64316475,0.033312414,29.57
A024_T3,A024,3,-0.6282593,0.033312414,91.47
A024_T4,A024,4,-0.67857015,0.033312414,145.65
A025_T1,A025,1,-0.18618394,0.033312414,1.0
A025_T2,A025,2,-0.5896764,0.033312414,23.33
A025_T3,A025,3,-1.284663,0.033312414,72.94
A025_T4,A025,4,-1.0751715,0.033312414,137.74
A026_T1,A026,1,-0.36186954,0.033312414,1.0
A026_T2,A026,2,-0.53927004,0.033312414,26.48
A026_T3,A026,3,-0.5248772,0.033312414,75.46
A026_T4,A026,4,-0.3616829,0.033312414,147.65
A027_T1,A027,1,-0.21083377,0.033312414,1.0
A027_T2,A027,2,-0.37666333,0.033312414,28.26
A027_T3,A027,3,-0.97083545,0.033312414,74.58
A027_T4,A027,4,-1.0949106,0.033312414,145.92
A028_T1,A028,1,0.11992493,0.033312414,1.0
A028_T2,A028,2,-0.30235586,0.033312414,22.82
A028_T3,A028,3,-0.49256283,0.033312414,72.26
A028_T4,A028,4,-0.8265561,0.033312414,138.91
A029_T1,A029,1,0.15784328,0.033312414,1.0
A029_T2,A029,2,-0.3178071,0.033312414,28.43
A029_T3,A029,3,-0.24579473,0.033312414,93.26
A029_T4,A029,4,-0.6789598,0.033312414,143.14
A030_T1,A030,1,-0.5649794,0.033312414,1.0
A030_T2,A030,2,-0.32012805,0.033312414,32.95
A030_T3,A030,3,-0.6057995,0.033312414,71.93
A030_T4,A030,4,-0.7230972,0.033312414,150.46
A031_T1,A031,1,0.26328957,0.033312414,1.0
A031_T2,A031,2,-0.29601982,0.033312414,32.41
A031_T3,A031,3,-0.7246792,0.033312414,71.56
A031_T4,A031,4,-1.3181441,0.033312414,143.85
A032_T1,A032,1,-0.3430531,0.033312414,1.0
A032_T2,A032,2,-0.47822228,0.033312414,57.18
A032_T3,A032,3,-0.64968324,0.033312414,80.16
A032_T4,A032,4,-0.81169164,0.033312414,144.51
A033_T1,A033,1,-0.31503958,0.033312414,1.0
A033_T2,A033,2,-0.66543496,0.033312414,29.16
A033_T3,A033,3,-0.22533582,0.033312414,72.6
A033_T4,A033,4,-0.6513037,0.033312414,168.33
A034_T1,A034,1,0.070721015,0.033312414,1.0
A034_T2,A034,2,0.107155256,0.033312414,26.08
A034_T3,A034,3,-0.19132395,0.033312414,74.28
A034_T4,A034,4,-0.76067644,0.033312414,145.38
A035_T1,A035,1,-0.42354158,0.033312414,1.0
A035_T2,A035,2,-0.41725877,0.033312414,44.76
A035_T3,A035,3,-0.8161883,0.033312414,79.98
A035_T4,A035,4,-0.99934804,0.033312414,152.47
A036_T1,A036,1,-1.2653807,0.033312414,1.0
A036_T2,A036,2,-1.0273318,0.033312414,21.63
A036_T3,A036,3,-1.4433892,0.033312414,71.47
A036_T4,A036,4,-1.5601645,0.033312414,143.85
A037_T1,A037,1,-0.08707868,0.033312414,1.0
A037_T2,A037,2,-0.18395871,0.033312414,23.7
A037_T3,A037,3,-0.68357,0.033312414,72.08
A037_T4,A037,4,-0.79580086,0.033312414,143.66
A038_T1,A038,1,-0.2467488,0.033312414,1.0
A038_T2,A038,2,-0.44835788,0.033312414,71.85
A038_T3,A038,3,-0.4034849,0.033312414,72.86
A038_T4,A038,4,-0.23959932,0.033312414,152.89
A039_T1,A039,1,0.1412702,0.033312414,1.0
A039_T2,A039,2,0.119720794,0.033312414,28.65
A039_T3,A039,3,-0.14256553,0.033312414,98.84
A039_T4,A039,4,-0.52121466,0.033312414,246.24
A040_T1,A040,1,-0.598243,0.033312414,1.0
A040_T2,A040,2,-0.44592965,0.033312414,26.26
A040_T3,A040,3,-0.73125327,0.033312414,71.28
A040_T4,A040,4,-0.4674195,0.033312414,143.53
A041_T1,A041,1,0.011227685,0.033312414,1.0
A041_T2,A041,2,-0.3039493,0.033312414,31.78
A041_T3,A041,3,-0.28749505,0.033312414,75.74
A041_T4,A041,4,-0.5819944,0.033312414,141.84
A042_T1,A042,1,-0.79731315,0.033312414,1.0
A042_T2,A042,2,-1.1420015,0.033312414,28.93
A042_T3,A042,3,-0.847396,0.033312414,72.17
A042_T4,A042,4,-0.7720472,0.033312414,146.02
A043_T1,A043,1,0.3001954,0.033312414,1.0
A043_T2,A043,2,0.1664338,0.033312414,25.62
A043_T3,A043,3,-0.17432076,0.033312414,64.94
A043_T4,A043,4,-0.558808,0.033312414,149.33
A044_T1,A044,1,-1.06982,0.033312414,1.0
A044_T2,A044,2,-0.96534085,0.033312414,47.66
A044_T3,A044,3,-1.1876827,0.033312414,91.63
A044_T4,A044,4,-1.5655587,0.033312414,155.27
A045_T1,A045,1,-0.8722971,0.033312414,1.0
A045_T2,A045,2,-0.6572311,0.033312414,24.66
A045_T3,A045,3,-1.0510488,0.033312414,72.23
A045_T4,A045,4,-0.6715156,0.033312414,151.52
A046_T1,A046,1,-0.6608937,0.033312414,1.0
A046_T2,A046,2,-1.000125,0.033312414,24.32
A046_T3,A046,3,-1.4650033,0.033312414,73.05
A046_T4,A046,4,-1.5674849,0.033312414,147.94
A047_T1,A047,1,-0.57797015,0.033312414,1.0
A047_T2,A047,2,-0.80200624,0.033312414,23.46
A047_T3,A047,3,-1.3837919,0.033312414,76.85
A047_T4,A047,4,-1.6884255,0.033312414,144.22
A048_T1,A048,1,-0.29754767,0.033312414,1.0
A048_T2,A048,2,-0.4682938,0.033312414,23.91
