age_tertile,test,mean_theta,se_theta,CI_lower,CI_upper,N
High,T1,-0.4455576939090909,0.07589861871755671,-0.5943189865955021,-0.29679640122267975,33
High,T2,-0.664677623939394,0.07110522419149594,-0.804043863354726,-0.525311384524062,33
High,T3,-0.7345505624242424,0.053492855458276346,-0.839396559122464,-0.6297045657260208,33
High,T4,-0.8434804863636364,0.06752282040201632,-0.9758252143515884,-0.7111357583756843,33
Low,T1,-0.28242613239393943,0.07701189826172616,-0.4333694529869227,-0.13148281180095617,33
Low,T2,-0.5103632133333332,0.07468451748059846,-0.6567448675953063,-0.36398155907136026,33
Low,T3,-0.6411731093939393,0.08053622084866735,-0.7990241022573273,-0.48332211653055135,33
Low,T4,-0.8168970748121213,0.06770142854998547,-0.9495918747700928,-0.6842022748541498,33
Medium,T1,-0.42048554235294117,0.06638195465801058,-0.550594173482642,-0.2903769112232404,34
Medium,T2,-0.6304493762058824,0.07609952708398082,-0.7796044492904848,-0.48129430312127996,34
Medium,T3,-0.8100793161764707,0.059122602456932107,-0.9259596169920576,-0.6941990153608837,34
Medium,T4,-0.7896140234117647,0.05975927551341142,-0.906742203418051,-0.6724858434054783,34
