UID,test,composite_ID,TSVR_hours,theta_accuracy,se_accuracy,theta_confidence,se_confidence,z_theta_accuracy,z_theta_confidence
A010,T1,A010_T1,1.0,2.7277744,,-0.13905293,0.033312414,2.8830530689398013,1.1420481607901403
A010,T2,A010_T2,21.9,0.4830945,,-0.483975,0.033312414,0.5052076791127328,0.34420536130340024
A010,T3,A010_T3,80.88,-0.063471645,,-0.68631816,0.033312414,-0.07378346707421485,-0.12383669014141849
A010,T4,A010_T4,145.31,0.7356485,,-0.68651795,0.033312414,0.7727444288214043,-0.12429882645212045
A011,T1,A011_T1,1.0,0.99576205,,0.1330746,0.033312414,1.0482891983446903,1.7715091586109284
A011,T2,A011_T2,24.57,0.40040046,,-0.600107,0.033312414,0.4176078205403924,0.07557923369725995
A011,T3,A011_T3,72.55,-0.62277347,,-0.56184554,0.033312414,-0.6662658366531093,0.1640822116564549
A011,T4,A011_T4,148.85,-0.48618072,,-1.3168331,0.033312414,-0.521569730597497,-1.582287304356432
A012,T1,A012_T1,1.0,1.5109797,,-0.09271885,0.033312414,1.594072102094145,1.2492239993754837
A012,T2,A012_T2,25.6,-0.3742091,,-0.73501015,0.033312414,-0.40295540148604175,-0.2364666346798482
A012,T3,A012_T3,166.33,0.8594104,,-0.4385995,0.033312414,0.9038484955309777,0.4491638985988264
A012,T4,A012_T4,166.87,-0.57650775,,-0.81121576,0.033312414,-0.6172554058077001,-0.4127386175628068
A013,T1,A013_T1,1.0,0.2579466,,-0.5214896,0.033312414,0.26670289451326906,0.257429952917311
A013,T2,A013_T2,24.77,-0.576954,,-0.8025816,0.033312414,-0.6177281295600757,-0.39276685296793357
A013,T3,A013_T3,79.66,0.15941933,,-0.57931006,0.033312414,0.16233050059565665,0.12368485022205278
A013,T4,A013_T4,147.13,-0.50066453,,-1.0235835,0.033312414,-0.5369127916885822,-0.9039686284527222
A014,T1,A014_T1,1.0,0.9670465,,-0.13213211,0.033312414,1.0178701001989596,1.1580567809504674
A014,T2,A014_T2,25.66,1.7351536,,-0.22750956,0.033312414,1.8315451042066309,0.9374382171226829
A014,T3,A014_T3,70.56,0.37096328,,-0.47540674,0.033312414,0.3864242817416044,0.3640246919282288
A014,T4,A014_T4,148.87,-0.60555935,,-0.9524173,0.033312414,-0.6480304900979368,-0.7393533568441725
A015,T1,A015_T1,1.0,1.7906865,,0.17578323,0.033312414,1.8903724899059138,1.8702989313890042
A015,T2,A015_T2,23.69,1.9530646,,-0.33134136,0.033312414,2.0623836601818533,0.6972638090665465
A015,T3,A015_T3,70.59,1.7458305,,-0.14433615,0.033312414,1.8428554106082895,1.129827490088772
A015,T4,A015_T4,146.54,0.74841046,,-0.5226083,0.033312414,0.7862634912726506,0.25484227640306
A016,T1,A016_T1,1.0,1.3865802,,-0.3108059,0.033312414,1.462292609805827,0.744764593505037
A016,T2,A016_T2,32.85,0.23833106,,-0.9208703,0.033312414,0.24592366387197875,-0.6663816655998047
A016,T3,A016_T3,80.64,-0.063229874,,-0.775769,0.033312414,-0.07352735302528347,-0.33074635121947155
A016,T4,A016_T4,150.8,-1.1086501,,-1.2670994,0.033312414,-1.1809670662895544,-1.4672477696672377
A017,T1,A017_T1,1.0,-0.12061626,,-0.1695174,0.033312414,-0.13431818266158782,1.0715804808597726
A017,T2,A017_T2,20.61,1.2353034,,0.28766757,0.033312414,1.302041323434086,2.1290997528160767
A017,T3,A017_T3,61.28,0.18662216,,0.24563572,0.033312414,0.1911471367252667,2.0318754468399276
A017,T4,A017_T4,140.49,0.04002261,,-0.0076715588,0.033312414,0.0358505779071373,1.4459477662825186
A018,T1,A018_T1,1.0,0.34396127,,-0.12740232,0.033312414,0.3578203792455004,1.168997307007801
A018,T2,A018_T2,34.03,-0.10368377,,-0.3386591,0.033312414,-0.11638117378794262,0.6803370691582649
A018,T3,A018_T3,83.64,-0.6740158,,-0.4846632,0.033312414,-0.7205481145647604,0.3426134787816272
A018,T4,A018_T4,150.87,0.015628511,,-0.6635811,0.033312414,0.010009300562365287,-0.07124336202385861
A019,T1,A019_T1,1.0,-0.44238952,,-2.0066547,0.033312414,-0.4751806204909757,-3.177920765823314
A019,T2,A019_T2,28.69,-1.233944,,-1.936245,0.033312414,-1.3136940188000008,-3.0150553621713487
A019,T3,A019_T3,83.68,-1.1916012,,-2.2414632,0.033312414,-1.268839234929762,-3.721058730243168
A019,T4,A019_T4,154.76,-1.652823,,-0.9828369,0.033312414,-1.7574229883717303,-0.8097172475145109
A020,T1,A020_T1,1.0,-0.036810145,,-0.20167366,0.033312414,-0.04554027531182843,0.9971995040222411
A020,T2,A020_T2,26.85,-0.4131784,,-0.3446548,0.033312414,-0.44423655268706064,0.6664683536165698
A020,T3,A020_T3,78.25,-0.9177355,,-1.0575721,0.033312414,-0.978726469997549,-0.982588009852802
