UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,calibration
A010,T1,A010_T1,1.0,2.8830530689398013,1.1420481607901403,-1.741004908149661
A010,T2,A010_T2,21.9,0.5052076791127328,0.34420536130340024,-0.16100231780933255
A010,T3,A010_T3,80.88,-0.07378346707421485,-0.12383669014141849,-0.05005322306720364
A010,T4,A010_T4,145.31,0.7727444288214043,-0.12429882645212045,-0.8970432552735247
A011,T1,A011_T1,1.0,1.0482891983446903,1.7715091586109284,0.7232199602662381
A011,T2,A011_T2,24.57,0.4176078205403924,0.07557923369725995,-0.3420285868431325
A011,T3,A011_T3,72.55,-0.6662658366531093,0.1640822116564549,0.8303480483095642
A011,T4,A011_T4,148.85,-0.521569730597497,-1.582287304356432,-1.060717573758935
A012,T1,A012_T1,1.0,1.594072102094145,1.2492239993754837,-0.3448481027186614
A012,T2,A012_T2,25.6,-0.40295540148604175,-0.2364666346798482,0.16648876680619357
A012,T3,A012_T3,166.33,0.9038484955309777,0.4491638985988264,-0.4546845969321513
A012,T4,A012_T4,166.87,-0.6172554058077001,-0.4127386175628068,0.20451678824489333
A013,T1,A013_T1,1.0,0.26670289451326906,0.257429952917311,-0.00927294159595804
A013,T2,A013_T2,24.77,-0.6177281295600757,-0.39276685296793357,0.22496127659214216
A013,T3,A013_T3,79.66,0.16233050059565665,0.12368485022205278,-0.038645650373603874
A013,T4,A013_T4,147.13,-0.5369127916885822,-0.9039686284527222,-0.36705583676414
A014,T1,A014_T1,1.0,1.0178701001989596,1.1580567809504674,0.14018668075150775
A014,T2,A014_T2,25.66,1.8315451042066309,0.9374382171226829,-0.8941068870839479
A014,T3,A014_T3,70.56,0.3864242817416044,0.3640246919282288,-0.022399589813375642
A014,T4,A014_T4,148.87,-0.6480304900979368,-0.7393533568441725,-0.09132286674623569
A015,T1,A015_T1,1.0,1.8903724899059138,1.8702989313890042,-0.020073558516909618
A015,T2,A015_T2,23.69,2.0623836601818533,0.6972638090665465,-1.3651198511153066
A015,T3,A015_T3,70.59,1.8428554106082895,1.129827490088772,-0.7130279205195176
A015,T4,A015_T4,146.54,0.7862634912726506,0.25484227640306,-0.5314212148695906
A016,T1,A016_T1,1.0,1.462292609805827,0.744764593505037,-0.7175280163007901
A016,T2,A016_T2,32.85,0.24592366387197875,-0.6663816655998047,-0.9123053294717834
A016,T3,A016_T3,80.64,-0.07352735302528347,-0.33074635121947155,-0.2572189981941881
A016,T4,A016_T4,150.8,-1.1809670662895544,-1.4672477696672377,-0.2862807033776833
A017,T1,A017_T1,1.0,-0.13431818266158782,1.0715804808597726,1.2058986635213604
A017,T2,A017_T2,20.61,1.302041323434086,2.1290997528160767,0.8270584293819907
A017,T3,A017_T3,61.28,0.1911471367252667,2.0318754468399276,1.840728310114661
A017,T4,A017_T4,140.49,0.0358505779071373,1.4459477662825186,1.4100971883753814
A018,T1,A018_T1,1.0,0.3578203792455004,1.168997307007801,0.8111769277623007
A018,T2,A018_T2,34.03,-0.11638117378794262,0.6803370691582649,0.7967182429462075
A018,T3,A018_T3,83.64,-0.7205481145647604,0.3426134787816272,1.0631615933463876
A018,T4,A018_T4,150.87,0.010009300562365287,-0.07124336202385861,-0.0812526625862239
A019,T1,A019_T1,1.0,-0.4751806204909757,-3.177920765823314,-2.702740145332338
A019,T2,A019_T2,28.69,-1.3136940188000008,-3.0150553621713487,-1.701361343371348
A019,T3,A019_T3,83.68,-1.268839234929762,-3.721058730243168,-2.4522194953134058
A019,T4,A019_T4,154.76,-1.7574229883717303,-0.8097172475145109,0.9477057408572194
A020,T1,A020_T1,1.0,-0.04554027531182843,0.9971995040222411,1.0427397793340696
A020,T2,A020_T2,26.85,-0.44423655268706064,0.6664683536165698,1.1107049063036305
A020,T3,A020_T3,78.25,-0.978726469997549,-0.982588009852802,-0.00386153985525306
A020,T4,A020_T4,145.78,-2.4263735493817697,-1.4542888004141412,0.9720847489676285
A021,T1,A021_T1,1.0,1.440740432132249,0.7357751528709677,-0.7049652792612813
A021,T2,A021_T2,30.21,0.6805974603373044,0.4995571349672447,-0.1810403253700597
A021,T3,A021_T3,74.19,0.39308110082150133,0.06503364809585141,-0.32804745272564995
A021,T4,A021_T4,140.39,0.8093923681799229,1.2391760794592823,0.42978371127935944
A022,T1,A022_T1,1.0,0.10159576857062584,-0.41873507849246977,-0.5203308470630956
A022,T2,A022_T2,24.15,0.4853615442474484,-2.2436138718542353,-2.728975416101684
A022,T3,A022_T3,74.46,-0.12554368829003995,-0.46888152912091713,-0.34333784083087715
