UID,TEST,composite_ID,brier_score,n_items
A010,T1,A010_T1,0.08897619047619049,105
A010,T2,A010_T2,0.10316666666666668,105
A010,T3,A010_T3,0.11902380952380953,105
A010,T4,A010_T4,0.1464047619047619,105
A011,T1,A011_T1,0.1263809523809524,105
A011,T2,A011_T2,0.1435714285714286,105
A011,T3,A011_T3,0.18126190476190476,105
A011,T4,A011_T4,0.1642380952380953,105
A012,T1,A012_T1,0.11057142857142858,105
A012,T2,A012_T2,0.194452380952381,105
A012,T3,A012_T3,0.10954761904761906,105
A012,T4,A012_T4,0.16052380952380957,105
A013,T1,A013_T1,0.14730952380952383,105
A013,T2,A013_T2,0.2265476190476191,105
A013,T3,A013_T3,0.17411904761904762,105
A013,T4,A013_T4,0.16423809523809524,105
A014,T1,A014_T1,0.1127857142857143,105
A014,T2,A014_T2,0.1420952380952381,105
A014,T3,A014_T3,0.10233333333333335,105
A014,T4,A014_T4,0.17223809523809525,105
A015,T1,A015_T1,0.1306904761904762,105
A015,T2,A015_T2,0.09957142857142859,105
A015,T3,A015_T3,0.16154761904761902,105
A015,T4,A015_T4,0.16150000000000003,105
A016,T1,A016_T1,0.12211904761904763,105
A016,T2,A016_T2,0.14523809523809525,105
A016,T3,A016_T3,0.1939761904761905,105
A016,T4,A016_T4,0.1461904761904762,105
A017,T1,A017_T1,0.19119047619047622,105
A017,T2,A017_T2,0.15007142857142858,105
A017,T3,A017_T3,0.2411904761904762,105
A017,T4,A017_T4,0.2436190476190476,105
A018,T1,A018_T1,0.14311904761904762,105
A018,T2,A018_T2,0.1754047619047619,105
A018,T3,A018_T3,0.195452380952381,105
A018,T4,A018_T4,0.1931428571428572,105
A019,T1,A019_T1,0.13745238095238096,105
A019,T2,A019_T2,0.18657142857142858,105
A019,T3,A019_T3,0.1863571428571429,105
A019,T4,A019_T4,0.20997619047619048,105
A020,T1,A020_T1,0.17385714285714285,105
A020,T2,A020_T2,0.1696666666666667,105
A020,T3,A020_T3,0.18821428571428575,105
A020,T4,A020_T4,0.18057142857142858,105
A021,T1,A021_T1,0.11033333333333334,105
A021,T2,A021_T2,0.1428809523809524,105
A021,T3,A021_T3,0.1052857142857143,105
A021,T4,A021_T4,0.12566666666666668,105
A022,T1,A022_T1,0.1612619047619048,105
A022,T2,A022_T2,0.2539761904761905,105
A022,T3,A022_T3,0.15150000000000002,105
A022,T4,A022_T4,0.2634761904761905,105
A023,T1,A023_T1,0.13183333333333333,105
A023,T2,A023_T2,0.19066666666666665,105
A023,T3,A023_T3,0.12669047619047621,105
A023,T4,A023_T4,0.12416666666666668,105
A024,T1,A024_T1,0.16002380952380954,105
A024,T2,A024_T2,0.1402142857142857,105
A024,T3,A024_T3,0.15392857142857144,105
A024,T4,A024_T4,0.22071428571428572,105
A025,T1,A025_T1,0.16426190476190478,105
A025,T2,A025_T2,0.1031666666666667,105
A025,T3,A025_T3,0.15004761904761907,105
A025,T4,A025_T4,0.18035714285714288,105
A026,T1,A026_T1,0.14864285714285716,105
A026,T2,A026_T2,0.15735714285714286,105
A026,T3,A026_T3,0.1185952380952381,105
A026,T4,A026_T4,0.16152380952380954,105
A027,T1,A027_T1,0.14476190476190476,105
A027,T2,A027_T2,0.16061904761904763,105
A027,T3,A027_T3,0.16788095238095238,105
A027,T4,A027_T4,0.13888095238095238,105
A028,T1,A028_T1,0.08761904761904761,105
A028,T2,A028_T2,0.14745238095238097,105
A028,T3,A028_T3,0.16702380952380955,105
A028,T4,A028_T4,0.14150000000000001,105
A029,T1,A029_T1,0.12685714285714286,105
A029,T2,A029_T2,0.18757142857142858,105
A029,T3,A029_T3,0.14457142857142857,105
A029,T4,A029_T4,0.09264285714285714,105
A030,T1,A030_T1,0.14464285714285716,105
A030,T2,A030_T2,0.12478571428571428,105
A030,T3,A030_T3,0.14395238095238097,105
A030,T4,A030_T4,0.14602380952380956,105
A031,T1,A031_T1,0.10030952380952379,105
A031,T2,A031_T2,0.16164285714285714,105
A031,T3,A031_T3,0.1710714285714286,105
A031,T4,A031_T4,0.15730952380952382,105
A032,T1,A032_T1,0.1502857142857143,105
A032,T2,A032_T2,0.16645238095238094,105
A032,T3,A032_T3,0.1877380952380953,105
A032,T4,A032_T4,0.13559523809523813,105
A033,T1,A033_T1,0.12473809523809525,105
A033,T2,A033_T2,0.18642857142857144,105
A033,T3,A033_T3,0.09876190476190477,105
A033,T4,A033_T4,0.18550000000000005,105
A034,T1,A034_T1,0.09795238095238096,105
A034,T2,A034_T2,0.1676666666666667,105
A034,T3,A034_T3,0.2380476190476191,105
A034,T4,A034_T4,0.17595238095238097,105
A035,T1,A035_T1,0.1278809523809524,105
