UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration
A010,T1,A010_T1,1.0,2.8830530689398013,1.1420481607901405,-0.7060677699728439
A010,T2,A010_T2,21.9,0.5052076791127328,0.3442053613034002,-0.0523261013251526
A010,T3,A010_T3,80.88,-0.0737834670742148,-0.1238366901414184,-0.0288149752303551
A010,T4,A010_T4,145.31,0.7727444288214043,-0.1242988264521204,-0.4025381184693527
A011,T1,A011_T1,1.0,1.0482891983446905,1.7715091586109284,0.4153800836460513
A011,T2,A011_T2,24.57,0.4176078205403924,0.0755792336972599,-0.146797338521797
A011,T3,A011_T3,72.55,-0.6662658366531093,0.1640822116564549,0.3752741429882817
A011,T4,A011_T4,148.85,-0.521569730597497,-1.582287304356432,-0.5540012853147169
A012,T1,A012_T1,1.0,1.594072102094145,1.2492239993754837,-0.0842479239371294
A012,T2,A012_T2,25.6,-0.4029554014860417,-0.2364666346798482,0.0606028949543566
A012,T3,A012_T3,166.33,0.9038484955309776,0.4491638985988264,-0.1761957945249901
A012,T4,A012_T4,166.87,-0.6172554058077001,-0.4127386175628068,0.0677998731832214
A013,T1,A013_T1,1.0,0.266702894513269,0.257429952917311,0.0099013050051998
A013,T2,A013_T2,24.77,-0.6177281295600757,-0.3927668529679335,0.0779056910992103
A013,T3,A013_T3,79.66,0.1623305005956566,0.1236848502220527,-0.0103278515834017
A013,T4,A013_T4,147.13,-0.5369127916885822,-0.9039686284527222,-0.2110828162548254
A014,T1,A014_T1,1.0,1.0178701001989596,1.1580567809504674,0.1247974810684043
A014,T2,A014_T2,25.66,1.8315451042066309,0.9374382171226828,-0.3435319057898155
A014,T3,A014_T3,70.56,0.3864242817416044,0.3640246919282288,0.0099036864226961
A014,T4,A014_T4,148.87,-0.6480304900979368,-0.7393533568441725,-0.0804798143683308
A015,T1,A015_T1,1.0,1.8903724899059136,1.870298931389004,0.0928034121199219
A015,T2,A015_T2,23.69,2.0623836601818533,0.6972638090665465,-0.5644008426114082
A015,T3,A015_T3,70.59,1.8428554106082893,1.129827490088772,-0.2531812686510849
A015,T4,A015_T4,146.54,0.7862634912726506,0.25484227640306,-0.2206148783827158
A016,T1,A016_T1,1.0,1.462292609805827,0.744764593505037,-0.2760968182066443
A016,T2,A016_T2,32.85,0.2459236638719787,-0.6663816655998047,-0.4387367408728118
A016,T3,A016_T3,80.64,-0.0735273530252834,-0.3307463512194715,-0.1314645527701861
A016,T4,A016_T4,150.8,-1.1809670662895544,-1.4672477696672377,-0.2060612638840477
A017,T1,A017_T1,1.0,-0.1343181826615878,1.0715804808597726,0.590296769341377
A017,T2,A017_T2,20.61,1.302041323434086,2.1290997528160767,0.4806311740777169
A017,T3,A017_T3,61.28,0.1911471367252667,2.031875446839928,0.9225849095960128
A017,T4,A017_T4,140.49,0.0358505779071373,1.4459477662825186,0.7007393261171948
A018,T1,A018_T1,1.0,0.3578203792455004,1.168997307007801,0.4214378201905004
A018,T2,A018_T2,34.03,-0.1163811737879426,0.6803370691582649,0.3884974418293324
A018,T3,A018_T3,83.64,-0.7205481145647604,0.3426134787816272,0.4876971927095432
A018,T4,A018_T4,150.87,0.0100093005623652,-0.0712433620238586,-0.0397216819257689
A019,T1,A019_T1,1.0,-0.4751806204909757,-3.177920765823314,-1.365203898154086
A019,T2,A019_T2,28.69,-1.3136940188000008,-3.0150553621713487,-0.914535910261168
A019,T3,A019_T3,83.68,-1.268839234929762,-3.721058730243168,-1.284194644347808
A019,T4,A019_T4,154.76,-1.7574229883717305,-0.8097172475145109,0.3741223683195712
A020,T1,A020_T1,1.0,-0.0455402753118284,0.9971995040222412,0.514266935234162
A020,T2,A020_T2,26.85,-0.4442365526870606,0.6664683536165698,0.5262767566057176
A020,T3,A020_T3,78.25,-0.978726469997549,-0.982588009852802,-0.0551122630582771
A020,T4,A020_T4,145.78,-2.4263735493817697,-1.4542888004141412,0.3498429041290147
A021,T1,A021_T1,1.0,1.440740432132249,0.7357751528709677,-0.2710426699258457
A021,T2,A021_T2,30.21,0.6805974603373044,0.4995571349672447,-0.0527228745022316
A021,T3,A021_T3,74.19,0.3930811008215013,0.0650336480958514,-0.1412019675513526
A021,T4,A021_T4,140.39,0.8093923681799229,1.2391760794592823,0.2569789853983952
A022,T1,A022_T1,1.0,0.1015957685706258,-0.4187350784924697,-0.252333994128709
