UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration,Classification
A010,T1,A010_T1,1.0,2.8830530689398013,1.1420481607901405,-1.741004908149661,Underconfident
A010,T2,A010_T2,21.9,0.5052076791127328,0.3442053613034002,-0.1610023178093325,Underconfident
A010,T3,A010_T3,80.88,-0.0737834670742148,-0.1238366901414184,-0.0500532230672036,Calibrated
A010,T4,A010_T4,145.31,0.7727444288214043,-0.1242988264521204,-0.8970432552735247,Underconfident
A011,T1,A011_T1,1.0,1.0482891983446905,1.7715091586109284,0.7232199602662381,Overconfident
A011,T2,A011_T2,24.57,0.4176078205403924,0.0755792336972599,-0.3420285868431325,Underconfident
A011,T3,A011_T3,72.55,-0.6662658366531093,0.1640822116564549,0.8303480483095642,Overconfident
A011,T4,A011_T4,148.85,-0.521569730597497,-1.582287304356432,-1.060717573758935,Underconfident
A012,T1,A012_T1,1.0,1.594072102094145,1.2492239993754837,-0.3448481027186614,Underconfident
A012,T2,A012_T2,25.6,-0.4029554014860417,-0.2364666346798482,0.1664887668061935,Overconfident
A012,T3,A012_T3,166.33,0.9038484955309776,0.4491638985988264,-0.4546845969321513,Underconfident
A012,T4,A012_T4,166.87,-0.6172554058077001,-0.4127386175628068,0.2045167882448933,Overconfident
A013,T1,A013_T1,1.0,0.266702894513269,0.257429952917311,-0.009272941595958,Calibrated
A013,T2,A013_T2,24.77,-0.6177281295600757,-0.3927668529679335,0.2249612765921421,Overconfident
A013,T3,A013_T3,79.66,0.1623305005956566,0.1236848502220527,-0.0386456503736038,Calibrated
A013,T4,A013_T4,147.13,-0.5369127916885822,-0.9039686284527222,-0.36705583676414,Underconfident
A014,T1,A014_T1,1.0,1.0178701001989596,1.1580567809504674,0.1401866807515077,Overconfident
A014,T2,A014_T2,25.66,1.8315451042066309,0.9374382171226828,-0.8941068870839479,Underconfident
A014,T3,A014_T3,70.56,0.3864242817416044,0.3640246919282288,-0.0223995898133756,Calibrated
A014,T4,A014_T4,148.87,-0.6480304900979368,-0.7393533568441725,-0.0913228667462356,Calibrated
A015,T1,A015_T1,1.0,1.8903724899059136,1.870298931389004,-0.0200735585169096,Calibrated
A015,T2,A015_T2,23.69,2.0623836601818533,0.6972638090665465,-1.3651198511153066,Underconfident
A015,T3,A015_T3,70.59,1.8428554106082893,1.129827490088772,-0.7130279205195176,Underconfident
A015,T4,A015_T4,146.54,0.7862634912726506,0.25484227640306,-0.5314212148695906,Underconfident
A016,T1,A016_T1,1.0,1.462292609805827,0.744764593505037,-0.7175280163007901,Underconfident
A016,T2,A016_T2,32.85,0.2459236638719787,-0.6663816655998047,-0.9123053294717834,Underconfident
A016,T3,A016_T3,80.64,-0.0735273530252834,-0.3307463512194715,-0.2572189981941881,Underconfident
A016,T4,A016_T4,150.8,-1.1809670662895544,-1.4672477696672377,-0.2862807033776833,Underconfident
A017,T1,A017_T1,1.0,-0.1343181826615878,1.0715804808597726,1.2058986635213604,Overconfident
A017,T2,A017_T2,20.61,1.302041323434086,2.1290997528160767,0.8270584293819907,Overconfident
A017,T3,A017_T3,61.28,0.1911471367252667,2.031875446839928,1.840728310114661,Overconfident
A017,T4,A017_T4,140.49,0.0358505779071373,1.4459477662825186,1.4100971883753814,Overconfident
A018,T1,A018_T1,1.0,0.3578203792455004,1.168997307007801,0.8111769277623007,Overconfident
A018,T2,A018_T2,34.03,-0.1163811737879426,0.6803370691582649,0.7967182429462075,Overconfident
A018,T3,A018_T3,83.64,-0.7205481145647604,0.3426134787816272,1.0631615933463876,Overconfident
A018,T4,A018_T4,150.87,0.0100093005623652,-0.0712433620238586,-0.0812526625862239,Calibrated
A019,T1,A019_T1,1.0,-0.4751806204909757,-3.177920765823314,-2.702740145332338,Underconfident
A019,T2,A019_T2,28.69,-1.3136940188000008,-3.0150553621713487,-1.701361343371348,Underconfident
A019,T3,A019_T3,83.68,-1.268839234929762,-3.721058730243168,-2.4522194953134058,Underconfident
A019,T4,A019_T4,154.76,-1.7574229883717305,-0.8097172475145109,0.9477057408572194,Overconfident
A020,T1,A020_T1,1.0,-0.0455402753118284,0.9971995040222412,1.0427397793340696,Overconfident
A020,T2,A020_T2,26.85,-0.4442365526870606,0.6664683536165698,1.1107049063036305,Overconfident
A020,T3,A020_T3,78.25,-0.978726469997549,-0.982588009852802,-0.003861539855253,Calibrated
A020,T4,A020_T4,145.78,-2.4263735493817697,-1.4542888004141412,0.9720847489676284,Overconfident
A021,T1,A021_T1,1.0,1.440740432132249,0.7357751528709677,-0.7049652792612813,Underconfident
A021,T2,A021_T2,30.21,0.6805974603373044,0.4995571349672447,-0.1810403253700597,Underconfident
A021,T3,A021_T3,74.19,0.3930811008215013,0.0650336480958514,-0.3280474527256499,Underconfident
A021,T4,A021_T4,140.39,0.8093923681799229,1.2391760794592823,0.4297837112793594,Overconfident
A022,T1,A022_T1,1.0,0.1015957685706258,-0.4187350784924697,-0.5203308470630956,Underconfident
A022,T2,A022_T2,24.15,0.4853615442474484,-2.2436138718542358,-2.728975416101684,Underconfident
A022,T3,A022_T3,74.46,-0.1255436882900399,-0.4688815291209171,-0.3433378408308771,Underconfident
A022,T4,A022_T4,141.71,-0.0005845956143972,-0.9592147240089192,-0.958630128394522,Underconfident
A023,T1,A023_T1,1.0,0.9269864826326936,0.329993449583624,-0.5969930330490696,Underconfident
A023,T2,A023_T2,25.63,-0.5175887133379102,0.5517852229653802,1.0693739363032906,Overconfident
A023,T3,A023_T3,72.2,0.1315943994630388,0.1419791472133372,0.0103847477502984,Calibrated
A023,T4,A023_T4,145.07,-0.0016013159838502,0.5467206216589685,0.5483219376428188,Overconfident
A024,T1,A024_T1,1.0,0.3467226475786075,0.2943094899158473,-0.0524131576627602,Calibrated
A024,T2,A024_T2,29.57,0.1027186847817873,-0.0240180921555049,-0.1267367769372923,Underconfident
A024,T3,A024_T3,91.47,0.1554620178004383,0.0104598580539716,-0.1450021597464666,Underconfident
A024,T4,A024_T4,145.65,-0.8223248763731659,-0.1059146882560323,0.7164101881171335,Overconfident
A025,T1,A025_T1,1.0,1.0519005323883577,1.033028935198001,-0.0188715971903561,Calibrated
A025,T2,A025_T2,23.33,1.7720035216359715,0.0997063621942168,-1.6722971594417546,Underconfident
A025,T3,A025_T3,72.94,-0.1674553285060481,-1.507874314072081,-1.340418985566033,Underconfident
A025,T4,A025_T4,137.74,-1.2129578318755363,-1.0232973636070772,0.189660468268459,Overconfident
A026,T1,A026_T1,1.0,1.1130604032896705,0.6266487608777335,-0.486411642411937,Underconfident
A026,T2,A026_T2,26.48,0.0596504863133225,0.2163018336708214,0.1566513473574989,Overconfident
A026,T3,A026_T3,75.46,0.8152113883549932,0.2495940603994987,-0.5656173279554945,Underconfident
A026,T4,A026_T4,147.65,-0.2900753571480824,0.6270804797877361,0.9171558369358186,Overconfident
A027,T1,A027_T1,1.0,1.0284185401071535,0.9760111590549084,-0.0524073810522454,Calibrated
A027,T2,A027_T2,28.26,0.3469864830469922,0.5924290925665148,0.2454426095195225,Overconfident
A027,T3,A027_T3,74.58,-0.7514633475439367,-0.7819565696724113,-0.0304932221284746,Calibrated
