UID,baseline_accuracy,baseline_confidence,mean_calibration,mean_gamma
A010,2.7277744,-0.13905293,-0.7122759260749305,0.8087975967981167
A011,0.99576205,0.1330746,0.03770546199343372,0.7323359121625159
A012,1.5109797,-0.09271885,-0.10713178614993146,0.6589009143859523
A013,0.2579466,-0.5214896,-0.047503288035389925,0.5893212888140044
A014,0.9670465,-0.13213211,-0.21691066572301285,0.7523821770319997
A015,1.7906865,0.17578323,-0.6574106362553311,0.8161198662536613
A016,1.3865802,-0.3108059,-0.5433332618361112,0.6524705992012328
A017,-0.12061626,-0.1695174,1.3209456478483483,0.7939525109286203
A018,0.34396127,-0.12740232,0.647451025367168,0.8241354341791747
A019,-0.44238952,-2.0066547,-1.4771538107899682,0.489324340933177
A020,-0.036810145,-0.20167366,0.7804169736875188,0.6946921990376206
A021,1.366235,-0.3146922,-0.1960673365194079,0.7352977036900308
A022,0.1020859,-0.81380814,-1.1378185580975446,0.8716657368964856
A023,0.8812526,-0.49011907,0.2577718971618346,0.7043767663191588
A024,0.33348504,-0.5055459,0.09806452344265361,0.6183653408533598
A025,0.99917114,-0.18618394,-0.7104818184824212,0.7539221609288492
A026,1.0569059,-0.36186954,0.005444553481471492,0.7502491954135558
A027,0.9770042,-0.21083377,-0.002762582874612604,0.6847009993039486
A028,1.5710772,0.11992493,0.46571501446098573,0.7240689915962377
A029,1.7016916,0.15784328,-0.24083634144808408,0.7914001739847072
A030,0.33380765,-0.5649794,-0.2712457933649393,0.7687348083080575
A031,2.2557483,0.26328957,-0.16894830955026505,0.715463131735327
A032,0.8067235,-0.3430531,-0.6165539497938751,0.8019354050048755
A033,0.43369794,-0.31503958,-0.001126634246611094,0.7114595187100575
A034,2.0359054,0.070721015,0.3771752386622854,0.6703592265690714
A035,-0.06479133,-0.42354158,0.14812453811556567,0.72362744418315
A036,1.3283472,-1.2653807,-1.531143049797413,0.7925936629732135
A037,1.1801162,-0.08707868,-0.2199419759607538,0.7113860827931164
A038,1.2059275,-0.2467488,0.1702414505668179,0.6262323096308935
A039,2.174663,0.1412702,-0.02542827993880542,0.8395576569559432
A040,-0.5069201,-0.598243,1.142548421431504,0.6562877254804607
A041,1.1962991,0.011227685,0.681911900878768,0.840427836974751
A042,-0.8806226,-0.79731315,0.28761506913867896,0.7015511276495059
A043,1.0349586,0.3001954,0.8384539941036595,0.5963662788368054
A044,-0.0888245,-1.06982,-0.3540207852481823,0.7436598846957784
A045,-0.9017756,-0.8722971,0.7252179359321691,0.5519062008079034
A046,-0.7687857,-0.6608937,0.04079885933302435,0.3563667213700635
A047,-0.7466336,-0.57797015,-0.017401483754953873,0.49283456090449074
A048,1.0764405,-0.29754767,0.01788332980597672,0.6294242847425373
A049,2.1010969,0.015095141,0.19851889685740387,0.7864623718866928
A050,-0.39878848,-0.332139,0.8612176295381151,0.7535295347093426
A051,1.5230782,-0.13511,0.5680971459738935,0.7421268344243306
A052,0.58457315,-0.40401456,-0.2567435183743677,0.715292494026571
A053,1.401935,-0.17432423,-1.3610335187131997,0.7005693107528803
A054,0.52522403,0.04235199,0.06690478129771346,0.7723439488524464
A055,0.28537354,-0.21229054,-0.5176797119623452,0.736928104668205
A056,0.5282342,-0.77102643,-0.3110211711239502,0.6550707395921289
A057,0.4946756,-0.47107366,0.743023408480462,0.8082931244650196
A058,1.0215306,-0.16339521,0.26143715513039073,0.833005614584562
A059,0.99710035,-0.5023268,-1.0434976690643374,0.7691846929882166
A060,-0.051358394,-0.50129473,0.31754556392782307,0.6023058985819659
A061,2.529091,0.49123833,0.6289670315499047,0.6078002330594396
A062,1.5359104,-0.19396584,-0.08255072912755554,0.736853481855767
A063,0.86206603,-1.2219437,-1.9685843243267251,0.7599357468306607
A064,0.83211017,-0.14825012,0.016850147404367747,0.585837698124944
A065,-2.2385516,-0.79110265,1.8182752937520354,0.29701006337900604
A066,0.46571386,-0.6773158,0.1571845534905658,0.7324170759998266
A067,0.6627066,-0.489106,0.5161424909201829,0.6766461217765645
A068,1.3038205,0.16652554,0.651918013380499,0.6801482444371946
A069,-0.7867887,-0.73993486,0.7591907109764291,0.3408370524298823
A070,0.5967721,-0.49851632,-0.019804470640047173,0.7117797860717998
A071,1.1001538,-0.06756443,-0.5569849601001683,0.7373708395655261
A072,0.9622242,-0.08344198,0.47214501350576304,0.6491989643504047
A073,0.8751058,-0.7472555,-0.8792952313697275,0.6679855193804154
A074,1.1391835,-0.10384461,0.4036430038272043,0.7832767322566275
A075,0.4822121,-0.5195184,0.3387264579090126,0.7884717707090892
A076,-0.39436588,-0.88919824,0.5534121476853247,0.4988664023337186
