UID,baseline_accuracy,abs_calibration,mean_gamma,tertile_label,tertile_color
A010,2.7277744,0.7122759260749305,0.8087975967981167,High,#2CA02C
A011,0.99576205,0.0377054619934337,0.7323359121625159,Med,#FF7F0E
A012,1.5109797,0.1071317861499314,0.6589009143859523,High,#2CA02C
A013,0.2579466,0.0475032880353899,0.5893212888140044,Low,#D62728
A014,0.9670465,0.2169106657230128,0.7523821770319997,Med,#FF7F0E
A015,1.7906865,0.6574106362553311,0.8161198662536613,High,#2CA02C
A016,1.3865802,0.5433332618361112,0.6524705992012328,High,#2CA02C
A017,-0.12061626,1.3209456478483483,0.7939525109286203,Low,#D62728
A018,0.34396127,0.647451025367168,0.8241354341791747,Med,#FF7F0E
A019,-0.44238952,1.4771538107899682,0.489324340933177,Low,#D62728
A020,-0.036810145,0.7804169736875188,0.6946921990376206,Low,#D62728
A021,1.366235,0.1960673365194079,0.7352977036900308,High,#2CA02C
A022,0.1020859,1.1378185580975446,0.8716657368964856,Low,#D62728
A023,0.8812526,0.2577718971618346,0.7043767663191588,Med,#FF7F0E
A024,0.33348504,0.0980645234426536,0.6183653408533598,Low,#D62728
A025,0.99917114,0.7104818184824212,0.7539221609288492,Med,#FF7F0E
A026,1.0569059,0.0054445534814714,0.7502491954135558,High,#2CA02C
A027,0.9770042,0.0027625828746126,0.6847009993039486,Med,#FF7F0E
A028,1.5710772,0.4657150144609857,0.7240689915962377,High,#2CA02C
A029,1.7016916,0.240836341448084,0.7914001739847072,High,#2CA02C
A030,0.33380765,0.2712457933649393,0.7687348083080575,Low,#D62728
A031,2.2557483,0.168948309550265,0.715463131735327,High,#2CA02C
A032,0.8067235,0.6165539497938751,0.8019354050048755,Med,#FF7F0E
A033,0.43369794,0.001126634246611,0.7114595187100575,Med,#FF7F0E
A034,2.0359054,0.3771752386622854,0.6703592265690714,High,#2CA02C
A035,-0.06479133,0.1481245381155656,0.72362744418315,Low,#D62728
A036,1.3283472,1.531143049797413,0.7925936629732135,High,#2CA02C
A037,1.1801162,0.2199419759607538,0.7113860827931164,High,#2CA02C
A038,1.2059275,0.1702414505668179,0.6262323096308935,High,#2CA02C
A039,2.174663,0.0254282799388054,0.8395576569559432,High,#2CA02C
A040,-0.5069201,1.142548421431504,0.6562877254804607,Low,#D62728
A041,1.1962991,0.681911900878768,0.840427836974751,High,#2CA02C
A042,-0.8806226,0.2876150691386789,0.7015511276495059,Low,#D62728
A043,1.0349586,0.8384539941036595,0.5963662788368054,Med,#FF7F0E
A044,-0.0888245,0.3540207852481823,0.7436598846957784,Low,#D62728
A045,-0.9017756,0.7252179359321691,0.5519062008079034,Low,#D62728
A046,-0.7687857,0.0407988593330243,0.3563667213700635,Low,#D62728
A047,-0.7466336,0.0174014837549538,0.4928345609044907,Low,#D62728
A048,1.0764405,0.0178833298059767,0.6294242847425373,High,#2CA02C
A049,2.1010969,0.1985188968574038,0.7864623718866928,High,#2CA02C
A050,-0.39878848,0.8612176295381151,0.7535295347093426,Low,#D62728
A051,1.5230782,0.5680971459738935,0.7421268344243306,High,#2CA02C
A052,0.58457315,0.2567435183743677,0.715292494026571,Med,#FF7F0E
A053,1.401935,1.3610335187131997,0.7005693107528803,High,#2CA02C
A054,0.52522403,0.0669047812977134,0.7723439488524464,Med,#FF7F0E
A055,0.28537354,0.5176797119623452,0.736928104668205,Low,#D62728
A056,0.5282342,0.3110211711239502,0.6550707395921289,Med,#FF7F0E
A057,0.4946756,0.743023408480462,0.8082931244650196,Med,#FF7F0E
A058,1.0215306,0.2614371551303907,0.833005614584562,Med,#FF7F0E
A059,0.99710035,1.0434976690643374,0.7691846929882166,Med,#FF7F0E
A060,-0.051358394,0.317545563927823,0.6023058985819659,Low,#D62728
A061,2.529091,0.6289670315499047,0.6078002330594396,High,#2CA02C
A062,1.5359104,0.0825507291275555,0.736853481855767,High,#2CA02C
A063,0.86206603,1.9685843243267247,0.7599357468306607,Med,#FF7F0E
A064,0.83211017,0.0168501474043677,0.585837698124944,Med,#FF7F0E
A065,-2.2385516,1.8182752937520357,0.297010063379006,Low,#D62728
A066,0.46571386,0.1571845534905658,0.7324170759998266,Med,#FF7F0E
A067,0.6627066,0.5161424909201829,0.6766461217765645,Med,#FF7F0E
A068,1.3038205,0.651918013380499,0.6801482444371946,High,#2CA02C
A069,-0.7867887,0.7591907109764291,0.3408370524298823,Low,#D62728
A070,0.5967721,0.0198044706400471,0.7117797860717998,Med,#FF7F0E
A071,1.1001538,0.5569849601001683,0.7373708395655261,High,#2CA02C
A072,0.9622242,0.472145013505763,0.6491989643504047,Med,#FF7F0E
A073,0.8751058,0.8792952313697275,0.6679855193804154,Med,#FF7F0E
A074,1.1391835,0.4036430038272043,0.7832767322566275,High,#2CA02C
A075,0.4822121,0.3387264579090126,0.7884717707090892,Med,#FF7F0E
A076,-0.39436588,0.5534121476853247,0.4988664023337186,Low,#D62728
A077,1.257486,0.2256008878901175,0.7233950227814212,High,#2CA02C
A078,0.05510661,0.3067760817473808,0.6630470364226448,Low,#D62728
A079,0.49688977,0.7798661688332871,0.5684512297105119,Med,#FF7F0E
A080,0.35685366,0.0226347757408065,0.7208965952897388,Med,#FF7F0E
A081,0.56923956,0.0425648429486859,0.6902217545942357,Med,#FF7F0E
A082,0.47511065,0.3352150370611843,0.8187685353568426,Med,#FF7F0E
A083,1.9135383,0.1726725104472527,0.7557912012916498,High,#2CA02C
A084,0.37614724,1.5502420328001916,0.6233029912786641,Med,#FF7F0E
A085,0.29977113,0.3137425807264646,0.6328605882541591,Low,#D62728
A086,0.9054527,0.9001017157767488,0.7223284191222752,Med,#FF7F0E
A087,1.164813,0.1751633092257997,0.8086148795777226,High,#2CA02C
A088,2.00997,0.987815911450411,0.8076611833740169,High,#2CA02C
A089,1.6034564,0.535091803460724,0.8047951660071659,High,#2CA02C
A090,0.20163605,0.3970395424027562,0.6472351338896731,Low,#D62728
A091,0.64397514,0.543812806557307,0.6560964812964831,Med,#FF7F0E
A092,-0.28513366,0.5506985547568335,0.6440855528124697,Low,#D62728
A093,0.56161565,1.1022519550448489,0.7881310533842599,Med,#FF7F0E
A094,-0.70889944,0.2693774647102612,0.7005570812359225,Low,#D62728
A095,1.5409168,0.086850041489126,0.696706799840189,High,#2CA02C
A096,-0.45961466,0.9351167208043052,0.4155755279436409,Low,#D62728
A097,0.24293853,1.0476409437448109,0.6199112419471241,Low,#D62728
A098,0.6008492,0.1164556350788027,0.7323231785334345,Med,#FF7F0E
A099,1.1219946,0.3325278740526645,0.693225067213473,High,#2CA02C
A100,-0.06985861,0.8007352022848475,0.5530034761954834,Low,#D62728
A101,-1.0356112,0.598366007072066,0.624462156811646,Low,#D62728
A102,-0.044223346,0.0462102125554663,0.74393027630936,Low,#D62728
A103,1.7611793,0.4175177147906267,0.7464600379090032,High,#2CA02C
A104,1.7474676,0.612625914247518,0.7297822478273606,High,#2CA02C
A105,0.61165696,0.3037829043424118,0.7104160571982462,Med,#FF7F0E
A106,1.1972102,0.1628976853148269,0.8081471922788894,High,#2CA02C
A107,-0.71622896,0.1625331105769629,0.6431560976301838,Low,#D62728
A108,-0.4913459,0.0399926663414343,0.6092874414487084,Low,#D62728
A109,-0.25337747,0.5322798199768026,0.5870910087466111,Low,#D62728
