UID,test,composite_ID,calibration,TSVR_hours,Age,Age_c,mean_Age
A010,T1,A010_T1,-1.741004908149661,1.0,22.0,-22.57,44.57
A010,T2,A010_T2,-0.1610023178093325,21.9,22.0,-22.57,44.57
A010,T3,A010_T3,-0.0500532230672036,80.88,22.0,-22.57,44.57
A010,T4,A010_T4,-0.8970432552735247,145.31,22.0,-22.57,44.57
A011,T1,A011_T1,0.7232199602662381,1.0,21.0,-23.57,44.57
A011,T2,A011_T2,-0.3420285868431325,24.57,21.0,-23.57,44.57
A011,T3,A011_T3,0.8303480483095642,72.55,21.0,-23.57,44.57
A011,T4,A011_T4,-1.060717573758935,148.85,21.0,-23.57,44.57
A012,T1,A012_T1,-0.3448481027186614,1.0,21.0,-23.57,44.57
A012,T2,A012_T2,0.1664887668061935,25.6,21.0,-23.57,44.57
A012,T3,A012_T3,-0.4546845969321513,166.33,21.0,-23.57,44.57
A012,T4,A012_T4,0.2045167882448933,166.87,21.0,-23.57,44.57
A013,T1,A013_T1,-0.009272941595958,1.0,22.0,-22.57,44.57
A013,T2,A013_T2,0.2249612765921421,24.77,22.0,-22.57,44.57
A013,T3,A013_T3,-0.0386456503736038,79.66,22.0,-22.57,44.57
A013,T4,A013_T4,-0.36705583676414,147.13,22.0,-22.57,44.57
A014,T1,A014_T1,0.1401866807515077,1.0,22.0,-22.57,44.57
A014,T2,A014_T2,-0.8941068870839479,25.66,22.0,-22.57,44.57
A014,T3,A014_T3,-0.0223995898133756,70.56,22.0,-22.57,44.57
A014,T4,A014_T4,-0.0913228667462356,148.87,22.0,-22.57,44.57
A015,T1,A015_T1,-0.0200735585169096,1.0,23.0,-21.57,44.57
A015,T2,A015_T2,-1.3651198511153066,23.69,23.0,-21.57,44.57
A015,T3,A015_T3,-0.7130279205195176,70.59,23.0,-21.57,44.57
A015,T4,A015_T4,-0.5314212148695906,146.54,23.0,-21.57,44.57
A016,T1,A016_T1,-0.7175280163007901,1.0,21.0,-23.57,44.57
A016,T2,A016_T2,-0.9123053294717834,32.85,21.0,-23.57,44.57
A016,T3,A016_T3,-0.2572189981941881,80.64,21.0,-23.57,44.57
A016,T4,A016_T4,-0.2862807033776833,150.8,21.0,-23.57,44.57
A017,T1,A017_T1,1.2058986635213604,1.0,24.0,-20.57,44.57
A017,T2,A017_T2,0.8270584293819907,20.61,24.0,-20.57,44.57
A017,T3,A017_T3,1.840728310114661,61.28,24.0,-20.57,44.57
A017,T4,A017_T4,1.4100971883753814,140.49,24.0,-20.57,44.57
A018,T1,A018_T1,0.8111769277623007,1.0,23.0,-21.57,44.57
A018,T2,A018_T2,0.7967182429462075,34.03,23.0,-21.57,44.57
A018,T3,A018_T3,1.0631615933463876,83.64,23.0,-21.57,44.57
A018,T4,A018_T4,-0.0812526625862239,150.87,23.0,-21.57,44.57
A019,T1,A019_T1,-2.702740145332338,1.0,20.0,-24.57,44.57
A019,T2,A019_T2,-1.701361343371348,28.69,20.0,-24.57,44.57
A019,T3,A019_T3,-2.4522194953134058,83.68,20.0,-24.57,44.57
A019,T4,A019_T4,0.9477057408572194,154.76,20.0,-24.57,44.57
A020,T1,A020_T1,1.0427397793340696,1.0,26.0,-18.57,44.57
A020,T2,A020_T2,1.1107049063036305,26.85,26.0,-18.57,44.57
A020,T3,A020_T3,-0.003861539855253,78.25,26.0,-18.57,44.57
A020,T4,A020_T4,0.9720847489676284,145.78,26.0,-18.57,44.57
A021,T1,A021_T1,-0.7049652792612813,1.0,28.0,-16.57,44.57
A021,T2,A021_T2,-0.1810403253700597,30.21,28.0,-16.57,44.57
A021,T3,A021_T3,-0.3280474527256499,74.19,28.0,-16.57,44.57
A021,T4,A021_T4,0.4297837112793594,140.39,28.0,-16.57,44.57
A022,T1,A022_T1,-0.5203308470630956,1.0,28.0,-16.57,44.57
A022,T2,A022_T2,-2.728975416101684,24.15,28.0,-16.57,44.57
A022,T3,A022_T3,-0.3433378408308771,74.46,28.0,-16.57,44.57
A022,T4,A022_T4,-0.958630128394522,141.71,28.0,-16.57,44.57
A023,T1,A023_T1,-0.5969930330490696,1.0,26.0,-18.57,44.57
A023,T2,A023_T2,1.0693739363032906,25.63,26.0,-18.57,44.57
A023,T3,A023_T3,0.0103847477502984,72.2,26.0,-18.57,44.57
A023,T4,A023_T4,0.5483219376428188,145.07,26.0,-18.57,44.57
A024,T1,A024_T1,-0.0524131576627602,1.0,29.0,-15.57,44.57
A024,T2,A024_T2,-0.1267367769372923,29.57,29.0,-15.57,44.57
A024,T3,A024_T3,-0.1450021597464666,91.47,29.0,-15.57,44.57
A024,T4,A024_T4,0.7164101881171335,145.65,29.0,-15.57,44.57
A025,T1,A025_T1,-0.0188715971903561,1.0,26.0,-18.57,44.57
A025,T2,A025_T2,-1.6722971594417546,23.33,26.0,-18.57,44.57
A025,T3,A025_T3,-1.340418985566033,72.94,26.0,-18.57,44.57
A025,T4,A025_T4,0.189660468268459,137.74,26.0,-18.57,44.57
A026,T1,A026_T1,-0.486411642411937,1.0,29.0,-15.57,44.57
A026,T2,A026_T2,0.1566513473574989,26.48,29.0,-15.57,44.57
A026,T3,A026_T3,-0.5656173279554945,75.46,29.0,-15.57,44.57
A026,T4,A026_T4,0.9171558369358186,147.65,29.0,-15.57,44.57
A027,T1,A027_T1,-0.0524073810522454,1.0,28.0,-16.57,44.57
A027,T2,A027_T2,0.2454426095195225,28.26,28.0,-16.57,44.57
A027,T3,A027_T3,-0.0304932221284746,74.58,28.0,-16.57,44.57
A027,T4,A027_T4,-0.1735923378372529,145.92,28.0,-16.57,44.57
A028,T1,A028_T1,0.0833576388448724,1.0,26.0,-18.57,44.57
A028,T2,A028_T2,0.9767515343527012,22.82,26.0,-18.57,44.57
A028,T3,A028_T3,0.4353198352372788,72.26,26.0,-18.57,44.57
A028,T4,A028_T4,0.3674310494090905,138.91,26.0,-18.57,44.57
A029,T1,A029_T1,0.0327038746937098,1.0,25.0,-19.57,44.57
A029,T2,A029_T2,0.3747704082364007,28.43,25.0,-19.57,44.57
A029,T3,A029_T3,-0.4566669724469961,93.26,25.0,-19.57,44.57
A029,T4,A029_T4,-0.9141526762754506,143.14,25.0,-19.57,44.57
A030,T1,A030_T1,-0.1902311486449101,1.0,31.0,-13.57,44.57
A030,T2,A030_T2,-0.5460021954207771,32.95,31.0,-13.57,44.57
A030,T3,A030_T3,0.2052761715612238,71.93,31.0,-13.57,44.57
A030,T4,A030_T4,-0.5540260009552939,150.46,31.0,-13.57,44.57
A031,T1,A031_T1,-0.310313301648327,1.0,32.0,-12.57,44.57
A031,T2,A031_T2,0.7657682974648292,32.41,32.0,-12.57,44.57
A031,T3,A031_T3,-0.1609832062195862,71.56,32.0,-12.57,44.57
A031,T4,A031_T4,-0.9702650277979762,143.85,32.0,-12.57,44.57
A032,T1,A032_T1,-0.1778626861824823,1.0,33.0,-11.57,44.57
A032,T2,A032_T2,0.4937924181321863,57.18,33.0,-11.57,44.57
A032,T3,A032_T3,-0.7296814900632839,80.16,33.0,-11.57,44.57
A032,T4,A032_T4,-2.0524640410619206,144.51,33.0,-11.57,44.57
A033,T1,A033_T1,0.2820909532213313,1.0,32.0,-12.57,44.57
A033,T2,A033_T2,-0.6093061452958246,29.16,32.0,-12.57,44.57
A033,T3,A033_T3,-0.0739810033301086,72.6,32.0,-12.57,44.57
A033,T4,A033_T4,0.3966896584181575,168.33,32.0,-12.57,44.57
A034,T1,A034_T1,-0.5228605475824066,1.0,33.0,-11.57,44.57
A034,T2,A034_T2,1.0219372125927877,26.08,33.0,-11.57,44.57
A034,T3,A034_T3,1.134479376924175,74.28,33.0,-11.57,44.57
A034,T4,A034_T4,-0.1248550872854144,145.38,33.0,-11.57,44.57
A035,T1,A035_T1,0.559175971040144,1.0,34.0,-10.57,44.57
A035,T2,A035_T2,-0.2815571299138926,44.76,34.0,-10.57,44.57
A035,T3,A035_T3,0.1079140448792987,79.98,34.0,-10.57,44.57
A035,T4,A035_T4,0.2069652664567125,152.47,34.0,-10.57,44.57
A036,T1,A036_T1,-2.8638771678101325,1.0,30.0,-14.57,44.57
A036,T2,A036_T2,-0.7446202353223305,21.63,30.0,-14.57,44.57
A036,T3,A036_T3,-1.4475014759565816,71.47,30.0,-14.57,44.57
A036,T4,A036_T4,-1.0685733201006071,143.85,30.0,-14.57,44.57
A037,T1,A037_T1,0.0186901884404075,1.0,31.0,-13.57,44.57
A037,T2,A037_T2,-0.2817741331162782,23.7,31.0,-13.57,44.57
A037,T3,A037_T3,-0.422014649492181,72.08,31.0,-13.57,44.57
A037,T4,A037_T4,-0.1946693096749635,143.66,31.0,-13.57,44.57
A038,T1,A038_T1,-0.3779869675249995,1.0,32.0,-12.57,44.57
A038,T2,A038_T2,0.6116443115869326,71.85,32.0,-12.57,44.57
A038,T3,A038_T3,-0.4872154140292702,72.86,32.0,-12.57,44.57
A038,T4,A038_T4,0.9345238722346086,152.89,32.0,-12.57,44.57
A039,T1,A039_T1,-0.5066618853793345,1.0,31.0,-13.57,44.57
A039,T2,A039_T2,0.3671950208283985,28.65,31.0,-13.57,44.57
A039,T3,A039_T3,0.5391172176798986,98.84,31.0,-13.57,44.57
A039,T4,A039_T4,-0.5013634728841843,246.24,31.0,-13.57,44.57
A040,T1,A040_T1,0.6234303443065884,1.0,38.0,-6.57,44.57
A040,T2,A040_T2,0.2886249317082466,26.26,38.0,-6.57,44.57
A040,T3,A040_T3,1.5614842306537473,71.28,38.0,-6.57,44.57
A040,T4,A040_T4,2.0966541790574342,143.53,38.0,-6.57,44.57
A041,T1,A041_T1,0.2289407062837787,1.0,35.0,-9.57,44.57
A041,T2,A041_T2,2.0104489121293665,31.78,35.0,-9.57,44.57
A041,T3,A041_T3,0.5009500842274317,75.74,35.0,-9.57,44.57
A041,T4,A041_T4,-0.0126920991255052,141.84,35.0,-9.57,44.57
A042,T1,A042_T1,0.5588315027004311,1.0,38.0,-6.57,44.57
A042,T2,A042_T2,-0.1199459240475449,28.93,38.0,-6.57,44.57
A042,T3,A042_T3,-0.3083135490597204,72.17,38.0,-6.57,44.57
A042,T4,A042_T4,1.01988824696155,146.02,38.0,-6.57,44.57
A043,T1,A043_T1,1.0682669245308178,1.0,38.0,-6.57,44.57
A043,T2,A043_T2,1.2548430304338702,25.62,38.0,-6.57,44.57
A043,T3,A043_T3,0.4641913740339249,64.94,38.0,-6.57,44.57
A043,T4,A043_T4,0.5665146474160252,149.33,38.0,-6.57,44.57
A044,T1,A044_T1,-0.9102783751764528,1.0,38.0,-6.57,44.57
A044,T2,A044_T2,-0.3672146903473121,47.66,38.0,-6.57,44.57
A044,T3,A044_T3,0.1086947813832428,91.63,38.0,-6.57,44.57
A044,T4,A044_T4,-0.2472848568522072,155.27,38.0,-6.57,44.57
A045,T1,A045_T1,0.4077932545265129,1.0,37.0,-7.57,44.57
A045,T2,A045_T2,1.0244875285669877,24.66,37.0,-7.57,44.57
A045,T3,A045_T3,0.2299860108340127,72.23,37.0,-7.57,44.57
A045,T4,A045_T4,1.238604949801163,151.52,37.0,-7.57,44.57
A046,T1,A046_T1,0.7559131233985893,1.0,38.0,-6.57,44.57
A046,T2,A046_T2,0.5376196819711218,24.32,38.0,-6.57,44.57
A046,T3,A046_T3,-0.1978685446501467,73.05,38.0,-6.57,44.57
A046,T4,A046_T4,-0.932468823387467,147.94,38.0,-6.57,44.57
A047,T1,A047_T1,0.9242581707211228,1.0,36.0,-8.57,44.57
A047,T2,A047_T2,0.160216966771398,23.46,36.0,-8.57,44.57
A047,T3,A047_T3,-0.4139472193519178,76.85,36.0,-8.57,44.57
A047,T4,A047_T4,-0.7401338531604185,144.22,36.0,-8.57,44.57
A048,T1,A048_T1,-0.3583215500364149,1.0,38.0,-6.57,44.57
A048,T2,A048_T2,0.4507853222362559,23.91,38.0,-6.57,44.57
A048,T3,A048_T3,0.0385052141587894,81.15,38.0,-6.57,44.57
A048,T4,A048_T4,-0.0594356671347235,146.3,38.0,-6.57,44.57
A049,T1,A049_T1,-0.7205883122737056,1.0,35.0,-9.57,44.57
A049,T2,A049_T2,0.8537914353798579,27.12,35.0,-9.57,44.57
A049,T3,A049_T3,0.5071041785902677,111.38,35.0,-9.57,44.57
A049,T4,A049_T4,0.1537682857331954,168.86,35.0,-9.57,44.57
A050,T1,A050_T1,1.1244117313655746,1.0,41.0,-3.5700000000000003,44.57
A050,T2,A050_T2,1.1639404051994866,24.73,41.0,-3.5700000000000003,44.57
A050,T3,A050_T3,0.3885245589896838,93.39,41.0,-3.5700000000000003,44.57
A050,T4,A050_T4,0.7679938225977156,148.69,41.0,-3.5700000000000003,44.57
A051,T1,A051_T1,-0.4557197519622262,1.0,41.0,-3.5700000000000003,44.57
A051,T2,A051_T2,1.5791011277852771,17.16,41.0,-3.5700000000000003,44.57
