age_tertile,test,TSVR_hours,mean_calibration,CI_lower,CI_upper,N
Middle,T1,1.0,-0.012918245646003666,-0.28242855258982763,0.25659206129782025,34
Middle,T2,30.19794117647059,0.04609631527531244,-0.34538759254065343,0.4375802230912783,34
Middle,T3,78.21823529411765,0.070752016776735,-0.2609345839658087,0.4024386175192787,34
Middle,T4,150.68088235294118,0.34168046161964344,0.04375442022574377,0.6396065030135432,34
Older,T1,1.0,-0.10829748345422904,-0.44531055246689366,0.22871558555843555,33
Older,T2,26.406363636363636,-0.14133020677202626,-0.3753045175777451,0.09264410403369255,33
Older,T3,77.23575757575757,0.15863605903906466,-0.19174238623422887,0.5090145043123582,33
Older,T4,152.58666666666664,0.08181571699952543,-0.25821608384778444,0.42184751784683533,33
Young,T1,1.0,-0.2298728215900157,-0.5326542841051266,0.07290864092509519,33
Young,T2,29.661515151515154,-0.009530842422103326,-0.341748533147776,0.3226868483035693,33
Young,T3,80.56393939393939,-0.11400714622094348,-0.3818898788038398,0.1538755863619528,33
Young,T4,150.8790909090909,-0.0965271735451323,-0.3549536248895334,0.16189927779926883,33
