composite_ID,theta_What,theta_Where,theta_When
A010_T1,-0.27388456,-0.2772054,-0.006405689
A010_T2,-0.5287808,-0.5704186,-0.7516602
A010_T3,-0.6322236,-0.78047866,-0.8810015
A010_T4,-0.752542,-0.7190168,-0.8702334
A011_T1,0.08974561,0.007715568,0.6334605
A011_T2,-0.4696583,-0.3551296,-0.38439164
A011_T3,-0.37792662,-0.6420451,-0.7733885
A011_T4,-1.0734842,-0.96490777,-1.027776
A012_T1,-0.06599274,-0.21067275,-0.17306408
A012_T2,-0.42529348,-0.7258295,-0.79143393
A012_T3,-0.54016435,-0.47244114,-0.6941087
A012_T4,-0.94803584,-0.8058343,-0.3502197
A013_T1,-0.65712094,-0.5904304,-0.7795538
A013_T2,-0.8646482,-0.77266514,-0.1771842
A013_T3,-0.7199247,-0.5530118,-0.49576887
A013_T4,-1.1756879,-1.2893685,-1.2478737
A014_T1,-0.35986152,-0.2731043,-0.104143955
A014_T2,-0.09592286,-0.30071807,-0.5758984
A014_T3,-0.48701003,-0.57553446,-0.48304853
A014_T4,-0.84008,-0.83160883,-0.92590666
A015_T1,0.050049394,0.026247367,0.009370707
A015_T2,-0.44943538,-0.27305067,-0.61523616
A015_T3,-0.1366227,-0.32892817,-0.5931319
A015_T4,-0.52822375,-0.5273274,-0.72678196
A016_T1,-0.323584,-0.32140386,-0.28168234
A016_T2,-0.79525876,-0.52871627,-0.77252555
A016_T3,-0.909279,-0.8501528,-0.9313568
A016_T4,-1.5509064,-1.2216026,-1.3014472
A017_T1,-0.26016966,-0.09455265,0.23298529
A017_T2,0.031913847,0.08046566,0.5822849
A017_T3,0.23091277,0.2768855,-0.23673782
A017_T4,0.06942329,-0.08041729,-0.35075828
A018_T1,-0.23588029,-0.27756,0.005231045
A018_T2,-0.3954946,-0.4263776,-0.18692574
A018_T3,-0.8738636,-0.7620711,-0.9020268
A018_T4,-0.6981913,-1.0508797,-1.0125117
A019_T1,-1.9887284,-1.9441539,-1.9088317
A019_T2,-1.9274485,-1.9104072,-1.789969
A019_T3,-2.063416,-2.051197,-1.9432504
A019_T4,-2.1197774,-2.1020758,-2.0079584
A020_T1,-0.322848,-0.3822378,-0.037645318
A020_T2,-0.47267643,-0.447963,-0.6862843
A020_T3,-0.92315984,-1.0226341,-1.0258409
A020_T4,-1.2916971,-1.4760302,-1.4026235
A021_T1,-0.5035192,-0.4020859,-0.039314844
A021_T2,-0.5316429,-0.48712134,-0.41711697
A021_T3,-0.3124241,-0.5292529,-0.6969521
A021_T4,-0.23621967,-0.36118603,-0.6157987
A022_T1,-1.0899658,-0.93861717,-0.8383237
A022_T2,-1.6038353,-1.5234834,-1.496581
A022_T3,-1.0075439,-0.8150334,-0.12624642
A022_T4,-1.817892,-1.8473245,-1.7330233
A023_T1,-0.5349802,-0.3611819,-0.65415335
A023_T2,-0.53394043,-0.55093884,-0.7450807
A023_T3,-0.56121457,-0.6715478,-0.6426703
A023_T4,-0.4582726,-0.53395975,-0.41196784
A024_T1,-0.6760243,-0.57428443,-0.47206244
A024_T2,-0.45875397,-0.45403898,-0.67560935
A024_T3,-0.49383035,-0.6494998,-0.77141476
A024_T4,-0.8704082,-0.9098896,-0.95666933
A025_T1,-0.2349154,-0.24410798,-0.3636931
A025_T2,-0.5377054,-0.42232156,-0.66830814
