time,theta,CI_lower,CI_upper,domain,n
1.0,-0.47128214497900006,-0.5618334213181425,-0.3807308686398576,What,100
28.769699999999997,-0.68433969553,-0.7856958522960523,-0.5829835387639476,What,100
78.6681,-0.8329426291,-0.9349075059069198,-0.7309777522930803,What,100
151.3752,-1.0233771252,-1.1337375041566353,-0.9130167462433644,What,100
1.0,-0.386076278882,-0.4841610631574854,-0.28799149460651463,When,100
28.769699999999997,-0.75227213065,-0.8522628304203108,-0.6522814308796892,When,100
78.6681,-0.87952698739,-0.9740772038326715,-0.7849767709473285,When,100
151.3752,-1.026732560108,-1.1318982033913043,-0.9215669168246957,When,100
1.0,-0.49351709321000004,-0.5845134351732278,-0.4025207512467722,Where,100
28.769699999999997,-0.7272831119100001,-0.8307197701963657,-0.6238464536236344,Where,100
78.6681,-0.8799973413,-0.9782595633013337,-0.7817351192986662,Where,100
151.3752,-1.04137276284,-1.1518161622683751,-0.930929363411625,Where,100
