Domain,TEST,TSVR_hours,mean_calibration,CI_lower,CI_upper
What,T1,1.0,-0.25162109830487184,-0.4226923269990225,-0.08054986961072119
What,T2,28.769699999999997,0.07556124599926757,-0.11473529756611008,0.26585778956464523
What,T3,78.6681,0.14558568350990003,-0.029413554039422585,0.32058492105922265
What,T4,151.3752,0.07716743910024762,-0.11836776674359706,0.2727026449440923
When,T1,1.0,0.3767932864415691,0.1365775424603847,0.6170090304227536
When,T2,28.769699999999997,0.19825970027854872,-0.03135533771127444,0.42787473826837186
When,T3,78.6681,-0.16379339129709652,-0.3939377572183983,0.06635097462420528
When,T4,151.3752,-0.3505311816132689,-0.6240375579389983,-0.07702480528753947
Where,T1,1.0,-0.24771906706653193,-0.4243640941407821,-0.07107403999228179
Where,T2,28.769699999999997,-0.06680764424244566,-0.25134199611227537,0.11772670762738406
Where,T3,78.6681,0.09097407333597425,-0.0854167853650679,0.2673649320370164
Where,T4,151.3752,0.11613095385870655,-0.06969570442544872,0.3019576121428618
