item_name,Difficulty,Overall_Discrimination,Discrim_IFR,Discrim_ICR,Discrim_IRE
TC_ICR-D-i1,0.6486350297927856,2.8834426,0.0,2.8834426,0.0
TC_ICR-D-i2,0.34321796894073486,4.947062,0.0,4.947062,0.0
TC_ICR-D-i3,0.6267848610877991,2.6613715,0.0,2.6613715,0.0
TC_ICR-D-i4,0.36572110652923584,4.3525753,0.0,4.3525753,0.0
TC_ICR-D-i5,0.5245102047920227,3.5977468,0.0,3.5977468,0.0
TC_ICR-D-i6,0.47385701537132263,3.560512,0.0,3.560512,0.0
TC_ICR-N-i1,0.1548352837562561,4.0670304,0.0,4.0670304,0.0
TC_ICR-N-i2,0.10306142270565033,4.5526056,0.0,4.5526056,0.0
TC_ICR-N-i3,0.04471617937088013,4.645037,0.0,4.645037,0.0
TC_ICR-N-i4,0.03952039033174515,4.7508807,0.0,4.7508807,0.0
TC_ICR-N-i5,0.07901942729949951,5.2016544,0.0,5.2016544,0.0
TC_ICR-N-i6,0.13218732178211212,4.0564995,0.0,4.0564995,0.0
TC_ICR-O-i1,0.5886690616607666,4.269026,0.0,4.269026,0.0
TC_ICR-O-i2,0.8790152668952942,2.8571491,0.0,2.8571491,0.0
TC_ICR-O-i3,0.690680980682373,2.9063313,0.0,2.9063313,0.0
TC_ICR-O-i4,1.2558414936065674,1.8347148,0.0,1.8347148,0.0
TC_ICR-O-i5,0.874473512172699,2.7659097,0.0,2.7659097,0.0
TC_ICR-O-i6,0.6148403882980347,4.2237635,0.0,4.2237635,0.0
TC_ICR-U-i1,0.23837795853614807,4.3441753,0.0,4.3441753,0.0
TC_ICR-U-i2,0.2616848349571228,3.881665,0.0,3.881665,0.0
TC_ICR-U-i3,0.21099084615707397,4.273722,0.0,4.273722,0.0
TC_ICR-U-i4,0.25635668635368347,3.9498744,0.0,3.9498744,0.0
TC_ICR-U-i5,0.21371088922023773,4.802327,0.0,4.802327,0.0
TC_ICR-U-i6,0.40564095973968506,3.2346256,0.0,3.2346256,0.0
TC_IFR-D-i1,0.8921724557876587,2.1863155,2.1863155,0.0,0.0
TC_IFR-D-i2,0.47669339179992676,3.6392047,3.6392047,0.0,0.0
TC_IFR-D-i3,0.45622074604034424,3.7087326,3.7087326,0.0,0.0
TC_IFR-D-i4,0.5053079128265381,3.6209664,3.6209664,0.0,0.0
TC_IFR-D-i5,0.5464063882827759,3.6524904,3.6524904,0.0,0.0
TC_IFR-D-i6,0.5061987638473511,4.208038,4.208038,0.0,0.0
TC_IFR-N-i1,0.29559746384620667,3.8176193,3.8176193,0.0,0.0
TC_IFR-N-i2,0.4086419641971588,3.3298643,3.3298643,0.0,0.0
TC_IFR-N-i3,0.32071176171302795,3.3766036,3.3766036,0.0,0.0
TC_IFR-N-i4,0.5268359184265137,2.480909,2.480909,0.0,0.0
TC_IFR-N-i5,0.40907979011535645,3.6436508,3.6436508,0.0,0.0
TC_IFR-N-i6,0.4099879264831543,3.4181178,3.4181178,0.0,0.0
TC_IFR-O-i1,1.108513355255127,2.102148,2.102148,0.0,0.0
TC_IFR-O-i2,0.7614748477935791,3.4703085,3.4703085,0.0,0.0
TC_IFR-O-i3,0.44503918290138245,4.32722,4.32722,0.0,0.0
TC_IFR-O-i4,0.887643575668335,3.1422775,3.1422775,0.0,0.0
TC_IFR-O-i5,0.8548991680145264,3.4426954,3.4426954,0.0,0.0
TC_IFR-O-i6,0.9851113557815552,2.9636097,2.9636097,0.0,0.0
TC_IFR-U-i1,0.23347502946853638,3.8167286,3.8167286,0.0,0.0
TC_IFR-U-i2,0.3474050760269165,3.6896,3.6896,0.0,0.0
TC_IFR-U-i3,0.2503132224082947,4.156616,4.156616,0.0,0.0
TC_IFR-U-i4,0.38186371326446533,4.047518,4.047518,0.0,0.0
TC_IFR-U-i5,0.29134735465049744,5.006454,5.006454,0.0,0.0
TC_IFR-U-i6,0.6329364776611328,3.4388754,3.4388754,0.0,0.0
TC_IRE-D-i1,0.7068964242935181,2.5762317,0.0,0.0,2.5762317
TC_IRE-D-i2,0.507228434085846,3.764175,0.0,0.0,3.764175
TC_IRE-D-i3,0.7148251533508301,2.3847914,0.0,0.0,2.3847914
TC_IRE-D-i4,0.41409069299697876,3.8767536,0.0,0.0,3.8767536
TC_IRE-D-i5,0.49768948554992676,3.6288037,0.0,0.0,3.6288037
TC_IRE-D-i6,0.4602714776992798,3.5972724,0.0,0.0,3.5972724
TC_IRE-N-i1,0.10904631018638611,3.2502544,0.0,0.0,3.2502544
TC_IRE-N-i2,0.05053821951150894,3.6360617,0.0,0.0,3.6360617
TC_IRE-N-i3,0.2546459436416626,2.8882942,0.0,0.0,2.8882942
TC_IRE-N-i4,0.054653801023960114,3.8502555,0.0,0.0,3.8502555
TC_IRE-N-i5,0.1866045445203781,3.0827525,0.0,0.0,3.0827525
TC_IRE-N-i6,0.16249224543571472,3.2300003,0.0,0.0,3.2300003
TC_IRE-O-i1,0.8817901015281677,2.977572,0.0,0.0,2.977572
TC_IRE-O-i2,0.9446821808815002,2.8389637,0.0,0.0,2.8389637
TC_IRE-O-i3,0.8700706958770752,2.378936,0.0,0.0,2.378936
TC_IRE-O-i4,1.148653268814087,1.9491471,0.0,0.0,1.9491471
TC_IRE-O-i5,0.9756798148155212,2.5473945,0.0,0.0,2.5473945
TC_IRE-O-i6,0.649437665939331,4.2734094,0.0,0.0,4.2734094
TC_IRE-U-i1,0.29426735639572144,3.6036353,0.0,0.0,3.6036353
TC_IRE-U-i2,0.32567083835601807,3.1441445,0.0,0.0,3.1441445
TC_IRE-U-i3,0.339600145816803,3.0695083,0.0,0.0,3.0695083
TC_IRE-U-i4,0.42907026410102844,2.7760742,0.0,0.0,2.7760742
TC_IRE-U-i5,0.24366912245750427,4.166487,0.0,0.0,4.166487
TC_IRE-U-i6,0.4366796016693115,2.8730965,0.0,0.0,2.8730965
