composite_ID,theta_IFR,theta_ICR,theta_IRE
A010_T1,-0.10879054,-0.31364483,-0.26482856
A010_T2,-0.6364678,-0.5672348,-0.5167059
A010_T3,-0.7909296,-0.74760634,-0.7068529
A010_T4,-0.6684824,-0.7025126,-0.946526
A011_T1,0.23138335,0.26099545,0.21609245
A011_T2,-0.2702752,-0.44424886,-0.40613258
A011_T3,-0.49162397,-0.52990264,-0.7614967
A011_T4,-0.92403525,-1.0577376,-1.1491162
A012_T1,-0.15559533,-0.24284178,-0.07090165
A012_T2,-0.64366776,-0.5478997,-0.82419354
A012_T3,-0.49222174,-0.47110313,-0.5013645
A012_T4,-0.69777054,-0.92026263,-0.97306406
A013_T1,-0.7474995,-0.68882596,-0.4137392
A013_T2,-0.91099983,-0.76646227,-0.8144306
A013_T3,-0.6923579,-0.6340876,-0.53840744
A013_T4,-1.3463787,-1.2474953,-1.258129
A014_T1,-0.37684897,-0.18652385,-0.201916
A014_T2,-0.3120422,-0.2271877,-0.2236811
A014_T3,-0.65041125,-0.50636524,-0.512347
A014_T4,-0.74781895,-0.8929651,-0.95472765
A015_T1,0.062211312,0.040952854,0.16867958
A015_T2,-0.14492247,-0.40683192,-0.3480422
A015_T3,-0.1510776,-0.35154706,-0.4007687
A015_T4,-0.4862532,-0.59257567,-0.496656
A016_T1,-0.4691566,-0.23781556,-0.20036997
A016_T2,-0.553771,-0.6438486,-0.69000036
A016_T3,-1.0943788,-0.9457241,-0.74755645
A016_T4,-1.4771751,-1.4244428,-1.5685796
A017_T1,0.11671499,-0.15604883,0.013846859
A017_T2,0.23994324,0.24093777,0.3380835
A017_T3,0.3868319,0.11008709,0.15885244
A017_T4,0.01529149,-0.13992399,-0.015849605
A018_T1,-0.27883366,-0.20980006,-0.12687303
A018_T2,-0.54033357,-0.28461617,-0.34167147
A018_T3,-0.88269085,-0.8183691,-0.85576665
A018_T4,-0.8963971,-0.8234809,-0.99167377
A019_T1,-2.000107,-2.0568883,-2.0809634
A019_T2,-1.9455696,-1.9686972,-1.9598962
A019_T3,-2.0646644,-2.118849,-2.143284
A019_T4,-2.0810056,-2.1433387,-2.1500425
A020_T1,-0.2707413,-0.44903737,-0.28413796
A020_T2,-0.5611815,-0.4446711,-0.32245648
A020_T3,-1.1595653,-0.9974068,-0.954905
A020_T4,-1.4716729,-1.4985632,-1.2544565
A021_T1,-0.31020162,-0.45141155,-0.38814974
A021_T2,-0.6290077,-0.43616205,-0.46152127
A021_T3,-0.28696302,-0.53671986,-0.602134
A021_T4,-0.18698731,-0.35940748,-0.449485
A022_T1,-1.0845574,-1.25782,-0.7584705
A022_T2,-1.4220809,-1.6533731,-1.6831632
A022_T3,-0.49167898,-1.0221548,-1.0890645
A022_T4,-1.8470207,-1.8813014,-1.8612576
A023_T1,-0.8328073,-0.22591132,-0.31724322
A023_T2,-0.9037858,-0.42967337,-0.48244536
A023_T3,-0.85840285,-0.5657427,-0.64204204
A023_T4,-0.48858777,-0.44933492,-0.603472
A024_T1,-0.49023256,-0.687023,-0.6086081
A024_T2,-0.54844534,-0.3593021,-0.4777156
A024_T3,-0.561978,-0.5875955,-0.6447102
A024_T4,-0.83299726,-0.9201084,-0.967988
A025_T1,-0.15654889,-0.22274774,-0.2507789
A025_T2,-0.46940455,-0.37858754,-0.5311514
A025_T3,-0.7880032,-0.9421084,-0.89070296
A025_T4,-1.5362717,-1.5936549,-1.4000808
A026_T1,-0.47547975,-0.5504901,-0.29783857
A026_T2,-0.3967248,-0.4581309,-0.621292
A026_T3,-0.43698522,-0.67219627,-0.46910667
A026_T4,-0.45903775,-0.4980231,-0.44155908
A027_T1,-0.28964743,-0.29636365,-0.25277317
A027_T2,-0.29440543,-0.5306396,-0.44881415
A027_T3,-0.9740329,-1.0666126,-1.1734776
A027_T4,-1.3760664,-1.3755883,-1.3165063
A028_T1,0.15795365,0.009275608,-0.009684339
A028_T2,-0.30204365,-0.41590065,-0.44177747
A028_T3,-0.49200895,-0.6753586,-0.71034515
A028_T4,-0.9758794,-0.81799203,-0.9324994
A029_T1,0.13688776,0.035862975,0.06437729
A029_T2,-0.19738296,-0.22550839,-0.11036672
A029_T3,-0.33406797,-0.33783215,-0.42888337
A029_T4,-0.4064953,-0.48188525,-0.5958121
A030_T1,-0.65811,-0.6468614,-0.71071905
A030_T2,-0.24363658,-0.40470344,-0.31725037
A030_T3,-0.49696395,-0.753323,-0.7817353
A030_T4,-0.4569188,-0.47811633,-0.559533
A031_T1,0.37056348,0.071646266,0.0014215559
A031_T2,-0.30404577,-0.20308548,-0.21918441
A031_T3,-0.72188133,-0.8880574,-0.73509747
A031_T4,-1.3896852,-1.43049,-1.1362095
A032_T1,-0.28394172,-0.2899081,-0.13340284
A032_T2,-0.45803404,-0.74793583,-0.7169461
A032_T3,-0.44820645,-0.5438153,-0.5725105
A032_T4,-0.33824018,-0.5217897,-0.6278266
A033_T1,-0.38081756,-0.30627578,-0.41006964
A033_T2,-0.873015,-0.60462576,-0.5566056
A033_T3,-0.22550604,-0.27232903,-0.25658417
A033_T4,-0.6367999,-0.63146716,-0.69949996
A034_T1,-0.050544284,0.020433001,0.06459688
A034_T2,-0.17307404,0.10977226,0.04430054
A034_T3,-0.61234343,-0.21188527,-0.13183166
A034_T4,-0.9576371,-0.86231977,-0.5577264
