term,estimate,se,z,p
Intercept,-0.3623068284421794,0.053128588779531305,-6.81943256474684,9.140080511561931e-12
C(Paradigm)[T.ICR],-0.014643978631658566,0.033654619214565036,-0.43512536981315625,0.6634714295087016
C(Paradigm)[T.IRE],0.05131755047726554,0.033654619214565036,1.5248293302649032,0.12730167220548436
log_TSVR,-0.11600522083217923,0.010235035576224136,-11.3341297124221,8.891149723506292e-30
log_TSVR:C(Paradigm)[T.ICR],-0.007730842955506611,0.008981935657336152,-0.8607101242361173,0.3893977156472287
log_TSVR:C(Paradigm)[T.IRE],-0.024953099652155662,0.008981935657336152,-2.7781427750236425,0.005467059014291937
Age_c,-0.007566688380151591,0.0036615958402281485,-2.066500157395886,0.03878127756021442
C(Paradigm)[T.ICR]:Age_c,-0.0006307857597675906,0.0023172661661813717,-0.27221118099137653,0.785459645158596
C(Paradigm)[T.IRE]:Age_c,-0.0003625286384019429,0.002317266166181371,-0.1564466972731729,0.8756809311962415
log_TSVR:Age_c,-3.965223514703613e-05,0.0007062674047619171,-0.05614337413801917,0.9552275908429589
log_TSVR:C(Paradigm)[T.ICR]:Age_c,-1.4936624352173412e-06,0.0006208044073097509,-0.0024060113259989743,0.9980802825620411
log_TSVR:C(Paradigm)[T.IRE]:Age_c,-6.902694817720838e-05,0.0006208044073097507,-0.11118952662777626,0.9114660566738358
