composite_ID,theta_Common,theta_Congruent,theta_Incongruent
A010_T1,-0.505887,-0.01050625,-0.1663337
A010_T2,-0.41656372,-0.5591533,-0.77204275
A010_T3,-0.6820139,-0.66829515,-0.8768304
A010_T4,-0.58633304,-0.89370525,-0.7489532
A011_T1,0.10618488,0.1750901,0.4141101
A011_T2,-0.39981028,-0.42950293,-0.3087215
A011_T3,-0.42177996,-0.751078,-0.54311126
A011_T4,-1.2497833,-0.96966946,-0.9867248
A012_T1,-0.23222992,-0.009490944,-0.27678397
A012_T2,-0.72147954,-0.6750951,-0.49436632
A012_T3,-0.4359307,-0.68162787,-0.33800915
A012_T4,-0.8065956,-0.7228762,-1.1977216
A013_T1,-0.75143874,-0.49694476,-0.57443404
A013_T2,-0.6855987,-0.79749095,-0.8504128
A013_T3,-0.74156106,-0.46696553,-0.58931524
A013_T4,-1.124917,-1.3268931,-1.344577
A014_T1,-0.37608036,-0.1310173,-0.29381666
A014_T2,-0.26341233,-0.27944586,-0.21528956
A014_T3,-0.45807216,-0.5109534,-0.69026417
A014_T4,-0.80766386,-0.8954054,-0.8438548
A015_T1,0.09843377,0.11959293,-0.009924378
A015_T2,-0.35010836,-0.23958346,-0.318244
A015_T3,-0.2340326,-0.3192663,-0.3898491
A015_T4,-0.5229599,-0.68579245,-0.34636125
A016_T1,-0.33957407,-0.30089566,-0.26761964
A016_T2,-0.8687147,-0.51378214,-0.50427234
A016_T3,-0.75031084,-1.0082011,-0.9074512
A016_T4,-1.6002648,-1.3944664,-1.4817215
A017_T1,0.22894624,-0.12872025,-0.13605908
A017_T2,0.16598728,0.15085176,0.40383652
A017_T3,0.25384548,0.1495898,0.18910024
A017_T4,-0.17576239,0.048629068,-0.049617615
A018_T1,-0.28576145,-0.14426765,-0.18553922
A018_T2,-0.085778676,-0.7459643,-0.2723842
A018_T3,-0.60237056,-0.89935696,-1.0325162
A018_T4,-0.7786265,-0.88222563,-0.9919959
A019_T1,-2.077196,-2.0833266,-2.1014593
A019_T2,-1.9939125,-2.037505,-2.0125592
A019_T3,-2.1475582,-2.1765182,-2.191965
A019_T4,-2.1470213,-2.1706343,-2.1828156
A020_T1,-0.2980214,-0.19547209,-0.48632213
A020_T2,-0.44781426,-0.4703636,-0.43348423
A020_T3,-0.9015078,-1.0622175,-1.0535287
A020_T4,-1.3417425,-1.4282945,-1.434219
A021_T1,-0.5509185,-0.13903818,-0.41690424
A021_T2,-0.5770431,-0.5322615,-0.33010325
A021_T3,-0.33756348,-0.5941943,-0.5240533
A021_T4,-0.29373273,-0.47599623,-0.23701897
A022_T1,-1.1220673,-0.99384594,-0.9343433
A022_T2,-1.6299806,-1.6613601,-1.7551388
A022_T3,-0.8839038,-0.7441845,-0.98429805
A022_T4,-1.9283359,-1.9557675,-1.8346857
A023_T1,-0.3723726,-0.44459316,-0.35364
A023_T2,-0.5036351,-0.6961194,-0.41904745
A023_T3,-0.72643644,-0.5787312,-0.5786343
A023_T4,-0.43539605,-0.38791236,-0.72349274
A024_T1,-0.48482367,-0.45055267,-1.0021679
A024_T2,-0.40916052,-0.5471933,-0.3553743
A024_T3,-0.6782469,-0.4894863,-0.6228464
A024_T4,-0.8868416,-0.7538595,-1.1286515
A025_T1,-0.05956062,-0.39048406,-0.1969299
A025_T2,-0.39228675,-0.5157745,-0.42406574
A025_T3,-0.7922338,-0.8380099,-1.0383631
A025_T4,-1.4060478,-1.552365,-1.5058824
A026_T1,-0.5714795,-0.29363975,-0.48542145
A026_T2,-0.4110584,-0.5401131,-0.4070327
A026_T3,-0.43741152,-0.6285137,-0.54906785
A026_T4,-0.30786654,-0.5440248,-0.47452113
A027_T1,-0.22436246,-0.30596885,-0.26967034
A027_T2,-0.5095541,-0.24750778,-0.58260167
A027_T3,-0.7674647,-1.2685724,-1.2454175
A027_T4,-1.4226325,-1.237412,-1.5349779
A028_T1,0.11003951,0.008314632,0.05096594
A028_T2,-0.14545915,-0.60752904,-0.4261807
A028_T3,-0.5793107,-0.7526723,-0.6139101
A028_T4,-0.8071093,-0.8831141,-0.9183559
A029_T1,0.16843799,-0.05174599,0.07624391
A029_T2,-0.3280228,-0.14244136,-0.14518961
A029_T3,-0.34686407,-0.36155364,-0.34389928
A029_T4,-0.51900834,-0.39483055,-0.5601062
A030_T1,-0.8224535,-0.649148,-0.48676172
A030_T2,-0.33115563,-0.3204132,-0.40789697
A030_T3,-0.67998,-0.6642492,-0.8080736
A030_T4,-0.3367128,-0.61768055,-0.47766188
A031_T1,0.1292285,0.20680133,0.09790316
A031_T2,-0.34716043,-0.13258263,-0.24423417
A031_T3,-0.6621143,-0.74123657,-1.0050014
A031_T4,-1.2988788,-1.1631376,-1.45664
A032_T1,-0.0055949315,-0.33692726,-0.35683808
A032_T2,-0.5561194,-0.59940684,-0.7266615
