composite_ID,UID,test,TSVR_hours,log_TSVR,congruence,theta
A010_T1,A010,T1,1.0,0.6931471805599453,Common,-0.505887
A010_T2,A010,T2,21.9,3.131136910560194,Common,-0.41656372
A010_T3,A010,T3,80.88,4.405254760793088,Common,-0.6820139
A010_T4,A010,T4,145.31,4.985727658390071,Common,-0.58633304
A011_T1,A011,T1,1.0,0.6931471805599453,Common,0.10618488
A011_T2,A011,T2,24.57,3.2414197893030954,Common,-0.39981028
A011_T3,A011,T3,72.55,4.297965447047447,Common,-0.42177996
A011_T4,A011,T4,148.85,5.009634793762673,Common,-1.2497833
A012_T1,A012,T1,1.0,0.6931471805599453,Common,-0.23222992
A012_T2,A012,T2,25.6,3.2809112157876537,Common,-0.72147954
A012_T3,A012,T3,166.33,5.119967910506483,Common,-0.4359307
A012_T4,A012,T4,166.87,5.123189870334323,Common,-0.8065956
A013_T1,A013,T1,1.0,0.6931471805599453,Common,-0.75143874
A013_T2,A013,T2,24.77,3.2492110246642736,Common,-0.6855987
A013_T3,A013,T3,79.66,4.390242789445222,Common,-0.74156106
A013_T4,A013,T4,147.13,4.998090266593961,Common,-1.124917
A014_T1,A014,T1,1.0,0.6931471805599453,Common,-0.37608036
A014_T2,A014,T2,25.66,3.2831643147505627,Common,-0.26341233
A014_T3,A014,T3,70.56,4.270536258640519,Common,-0.45807216
A014_T4,A014,T4,148.87,5.009768251656904,Common,-0.80766386
A015_T1,A015,T1,1.0,0.6931471805599453,Common,0.09843377
A015_T2,A015,T2,23.69,3.206398303357088,Common,-0.35010836
A015_T3,A015,T3,70.59,4.270955399408094,Common,-0.2340326
A015_T4,A015,T4,146.54,4.9940993254561565,Common,-0.5229599
A016_T1,A016,T1,1.0,0.6931471805599453,Common,-0.33957407
A016_T2,A016,T2,32.85,3.521938999358284,Common,-0.8687147
A016_T3,A016,T3,80.64,4.402319337941644,Common,-0.75031084
A016_T4,A016,T4,150.8,5.02256386496153,Common,-1.6002648
A017_T1,A017,T1,1.0,0.6931471805599453,Common,0.22894624
A017_T2,A017,T2,20.61,3.0731561705187946,Common,0.16598728
A017_T3,A017,T3,61.28,4.131640346965797,Common,0.25384548
A017_T4,A017,T4,140.49,4.952229043207861,Common,-0.17576239
A018_T1,A018,T1,1.0,0.6931471805599453,Common,-0.28576145
A018_T2,A018,T2,34.03,3.5562048372093953,Common,-0.085778676
A018_T3,A018,T3,83.64,4.438406968109989,Common,-0.60237056
A018_T4,A018,T4,150.87,5.023024891742178,Common,-0.7786265
A019_T1,A019,T1,1.0,0.6931471805599453,Common,-2.077196
A019_T2,A019,T2,28.69,3.3908102887756684,Common,-1.9939125
A019_T3,A019,T3,83.68,4.4388794462666645,Common,-2.1475582
A019_T4,A019,T4,154.76,5.048316361063944,Common,-2.1470213
A020_T1,A020,T1,1.0,0.6931471805599453,Common,-0.2980214
A020_T2,A020,T2,26.85,3.326832966373293,Common,-0.44781426
A020_T3,A020,T3,78.25,4.37260741275739,Common,-0.9015078
A020_T4,A020,T4,145.78,4.9889348671169165,Common,-1.3417425
A021_T1,A021,T1,1.0,0.6931471805599453,Common,-0.5509185
A021_T2,A021,T2,30.21,3.440738556282688,Common,-0.5770431
A021_T3,A021,T3,74.19,4.320018243389936,Common,-0.33756348
A021_T4,A021,T4,140.39,4.951522029603749,Common,-0.29373273
A022_T1,A022,T1,1.0,0.6931471805599453,Common,-1.1220673
A022_T2,A022,T2,24.15,3.224857896545748,Common,-1.6299806
A022_T3,A022,T3,74.46,4.323602714536165,Common,-0.8839038
A022_T4,A022,T4,141.71,4.9608145991123,Common,-1.9283359
A023_T1,A023,T1,1.0,0.6931471805599453,Common,-0.3723726
A023_T2,A023,T2,25.63,3.282038399825841,Common,-0.5036351
A023_T3,A023,T3,72.2,4.293195420967266,Common,-0.72643644
A023_T4,A023,T4,145.07,4.984085958862719,Common,-0.43539605
A024_T1,A024,T1,1.0,0.6931471805599453,Common,-0.48482367
A024_T2,A024,T2,29.57,3.420019135902743,Common,-0.40916052
A024_T3,A024,T3,91.47,4.526884267589547,Common,-0.6782469
A024_T4,A024,T4,145.65,4.9880487954234605,Common,-0.8868416
A025_T1,A025,T1,1.0,0.6931471805599453,Common,-0.05956062
A025_T2,A025,T2,23.33,3.1917101567954314,Common,-0.39228675
A025_T3,A025,T3,72.94,4.303253953508486,Common,-0.7922338
A025_T4,A025,T4,137.74,4.932601677957155,Common,-1.4060478
A026_T1,A026,T1,1.0,0.6931471805599453,Common,-0.5714795
A026_T2,A026,T2,26.48,3.3134584673541485,Common,-0.4110584
A026_T3,A026,T3,75.46,4.336767728268267,Common,-0.43741152
A026_T4,A026,T4,147.65,5.001594549444107,Common,-0.30786654
A027_T1,A027,T1,1.0,0.6931471805599453,Common,-0.22436246
A027_T2,A027,T2,28.26,3.3762213955919784,Common,-0.5095541
A027_T3,A027,T3,74.58,4.325191697921343,Common,-0.7674647
A027_T4,A027,T4,145.92,4.989888220951467,Common,-1.4226325
A028_T1,A028,T1,1.0,0.6931471805599453,Common,0.11003951
A028_T2,A028,T2,22.82,3.170525563927154,Common,-0.14545915
A028_T3,A028,T3,72.26,4.294014757350668,Common,-0.5793107
A028_T4,A028,T4,138.91,4.940999358745194,Common,-0.8071093
A029_T1,A029,T1,1.0,0.6931471805599453,Common,0.16843799
A029_T2,A029,T2,28.43,3.382014562245381,Common,-0.3280228
A029_T3,A029,T3,93.26,4.546056921495585,Common,-0.34686407
