time,theta,CI_lower,CI_upper,congruence,n
1.0,-0.454979907615,-0.5533335491833011,-0.3566262660466989,Common,100
28.769699999999997,-0.69276310513,-0.8023844319936945,-0.5831417782663054,Common,100
78.6681,-0.84730887734,-0.9562127394049015,-0.7384050152750986,Common,100
151.3752,-1.023743730714,-1.145434880543216,-0.9020525808847842,Common,100
1.0,-0.47154823207,-0.5698440949067015,-0.3732523692332986,Congruent,100
28.769699999999997,-0.73529534321,-0.8472280208888741,-0.623362665531126,Congruent,100
78.6681,-0.89727165914,-1.0022613568470338,-0.7922819614329661,Congruent,100
151.3752,-1.06133882102,-1.1800394388413296,-0.9426382031986706,Congruent,100
1.0,-0.46840389324,-0.5660790412034284,-0.37072874527657157,Incongruent,100
28.769699999999997,-0.7242537265,-0.835589528868814,-0.612917924131186,Incongruent,100
78.6681,-0.8974309083,-1.0036034942096665,-0.7912583223903334,Incongruent,100
151.3752,-1.09106267863,-1.206373808346114,-0.9757515489138858,Incongruent,100
