UID,HCE_rate_mean,baseline_accuracy,baseline_confidence,Age,confidence_bias
A010,0.0034722222222222,2.7277744,-0.13905293,22.0,-1.7706874087142728
A011,0.03124999999999995,0.99576205,0.1330746,21.0,0.8371241951348518
A012,0.04513888888888885,1.5109797,-0.09271885,21.0,-0.2801985633180253
A013,0.04166666666666665,0.2579466,-0.5214896,22.0,0.13099629494140597
A014,0.0694444444444444,0.9670465,-0.13213211,22.0,0.2442889202734711
A015,0.024305555555555476,1.7906865,0.17578323,23.0,0.03550040546572486
A016,0.055555555555555504,1.3865802,-0.3108059,21.0,-0.6532988542725602
A017,0.1284722222222222,-0.12061626,-0.1695174,24.0,1.390762671877074
A018,0.020833333333333273,0.34396127,-0.12740232,23.0,0.962725834981061
A019,0.013888888888888826,-0.44238952,-2.0066547,20.0,-2.5764633734404034
A020,0.06597222222222217,-0.036810145,-0.20167366,26.0,1.2197984326454796
A021,0.0416666666666666,1.366235,-0.3146922,28.0,-0.6393693827307935
A022,0.006944444444444425,0.1020859,-0.81380814,28.0,-0.38144993526065496
A023,0.03819444444444437,0.8812526,-0.49011907,26.0,-0.502556630843183
A024,0.04513888888888885,0.33348504,-0.5055459,29.0,0.08285002084284399
A025,0.010416666666666624,0.99917114,-0.18618394,26.0,0.0803540335149795
A026,0.03819444444444437,1.0569059,-0.36186954,29.0,-0.3994979171445911
A027,0.055555555555555525,0.9770042,-0.21083377,28.0,0.047385240183262234
A028,0.017361111111111025,1.5710772,0.11992493,26.0,0.15305611466651747
A029,0.0416666666666666,1.7016916,0.15784328,25.0,0.09421379886693915
A030,0.020833333333333277,0.33380765,-0.5649794,31.0,-0.05767690082969751
A031,0.04861111111111108,2.2557483,0.26328957,32.0,-0.2860409295775339
A032,0.024305555555555476,0.8067235,-0.3430531,33.0,-0.07113396523489825
A033,0.027777777777777724,0.43369794,-0.31503958,32.0,0.4183622180969485
A034,0.09722222222222218,2.0359054,0.070721015,33.0,-0.49062084502384185
A035,0.03472222222222215,-0.06479133,-0.42354158,34.0,0.7283344743814578
A036,0.0,1.3283472,-1.2653807,30.0,-2.8383496074110637
A037,0.031249999999999924,1.1801162,-0.08707868,31.0,0.10867561985454555
A038,0.12152777777777775,1.2059275,-0.2467488,32.0,-0.297170098102003
A039,0.0277777777777777,2.174663,0.1412702,31.0,-0.4817541703471986
A040,0.04513888888888885,-0.5069201,-0.598243,38.0,0.8182135968257169
A041,0.03819444444444437,1.1962991,0.011227685,35.0,0.32213966503488367
A042,0.0034722222222222,-0.8806226,-0.79731315,38.0,0.7729517648480113
A043,0.11805555555555552,1.0349586,0.3001954,38.0,1.186748325433649
A044,0.0,-0.0888245,-1.06982,38.0,-0.768488952670561
A045,0.045138888888888826,-0.9017756,-0.8722971,37.0,0.6201301683537552
A046,0.07638888888888885,-0.7687857,-0.6608937,38.0,0.9677173333478895
A047,0.055555555555555525,-0.7466336,-0.57797015,36.0,1.1381286056881348
A048,0.04166666666666662,1.0764405,-0.29754767,38.0,-0.26998337524439375
A049,0.01736111111111105,2.1010969,0.015095141,35.0,-0.6958029509004697
A050,0.04513888888888885,-0.39878848,-0.332139,41.0,1.3230173651831763
A051,0.06249999999999996,1.5230782,-0.13511,41.0,-0.39390205173436
A052,0.0277777777777777,0.58457315,-0.40401456,43.0,0.03727149600641521
A053,0.0034722222222222,1.401935,-0.17432423,44.0,-0.34886682479547376
A054,0.06249999999999995,0.52522403,0.04235199,43.0,1.1572968930587473
A055,0.0104166666666666,0.28537354,-0.21229054,44.0,0.8290405022595985
A056,0.020833333333333277,0.5282342,-0.77102643,42.0,-0.7642925003293688
A057,0.034722222222222175,0.4946756,-0.47107366,40.0,-0.018827097833973544
A058,0.020833333333333277,1.0215306,-0.16339521,42.0,0.1087153003695418
A059,0.0208333333333333,0.99710035,-0.5023268,43.0,-0.6628481120679774
A060,0.0833333333333333,-0.051358394,-0.50129473,48.0,0.5297227998471726
A061,0.09027777777777775,2.529091,0.49123833,47.0,-0.058753883432534515
A062,0.024305555555555497,1.5359104,-0.19396584,48.0,-0.5472667017719545
A063,0.0,0.86206603,-1.2219437,45.0,-2.206623326796216
A064,0.0416666666666666,0.83211017,-0.14825012,47.0,0.3594484514940783
A065,0.027777777777777752,-2.2385516,-0.79110265,47.0,2.3290238349671553
A066,0.02083333333333325,0.46571386,-0.6773158,47.0,-0.472328064976811
A067,0.01736111111111105,0.6627066,-0.489106,48.0,-0.2520894029199494
A068,0.06597222222222218,1.3038205,0.16652554,49.0,0.5663244149502822
A069,0.0486111111111111,-0.7867887,-0.73993486,46.0,0.8017520480525846
A070,0.027777777777777728,0.5967721,-0.49851632,52.0,-0.1994373229826158
A071,0.05902777777777773,1.1001538,-0.06756443,50.0,0.2454633683141853
A072,0.09027777777777776,0.9622242,-0.08344198,50.0,0.3645877217304663
A073,0.034722222222222154,0.8751058,-0.7472555,51.0,-1.10197840750364
A074,0.04166666666666662,1.1391835,-0.10384461,53.0,0.11560083237662166
A075,0.020833333333333252,0.4822121,-0.5195184,53.0,-0.11892557079905083
A076,0.010416666666666624,-0.39436588,-0.88919824,54.0,0.00429657128722849
A077,0.031249999999999927,1.257486,-0.20553797,52.0,-0.25850910463275123
A078,0.017361111111111025,0.05510661,-0.94877625,50.0,-0.6464146612071896
A079,0.07291666666666663,0.49688977,-0.5209985,50.0,-0.13907712207790546
A080,0.04861111111111105,0.35685366,-0.09753483,56.0,1.0185271414710193
A081,0.0833333333333333,0.56923956,-0.25508967,55.0,0.4058834108621438
A082,0.0,0.47511065,-0.22234312,58.0,0.5899574326148953
A083,0.03819444444444438,1.9135383,0.004754789,58.0,-0.5072849769037167
A084,0.0069444444444444,0.37614724,-1.4660891,59.0,-2.230805050144412
A085,0.0833333333333333,0.29977113,-0.4503213,58.0,0.2513546534284369
A086,0.034722222222222175,0.9054527,-0.079089,58.0,0.4392962932454702
A087,0.01736111111111105,1.164813,-0.09658217,59.0,0.10363487001814453
A088,0.020833333333333273,2.00997,-0.2547915,56.0,-1.2288298067259908
A089,0.024305555555555476,1.6034564,-0.09992828,56.0,-0.40217348280745524
A090,0.0034722222222222,0.20163605,-1.6835222,61.0,-2.545479861084896
A091,0.03819444444444438,0.64397514,-0.2862672,63.0,0.24752352574076064
A092,0.05208333333333327,-0.28513366,-0.36225155,60.0,1.1229906009910544
A093,0.0694444444444444,0.56161565,-0.06434872,64.0,0.8643577320941984
A094,0.0069444444444444,-0.70889944,-0.7272985,60.0,0.7431376603164536
A095,0.03472222222222215,1.5409168,-0.080623694,61.0,-0.28565732381268494
A096,0.2152777777777778,-0.45961466,-0.2553402,60.0,1.5731759114884254
A097,0.0034722222222222,0.24293853,-0.7875995,64.0,-0.47952872521748074
A098,0.06597222222222218,0.6008492,-0.31676105,60.0,0.22456409869481114
A099,0.06597222222222218,1.1219946,-0.26512447,63.0,-0.24523028180861572
A100,0.16666666666666663,-0.06985861,-0.5656639,66.0,0.39892255105674435
A101,0.010416666666666624,-1.0356112,-1.0507481,69.0,0.35121390382373296
A102,0.0208333333333333,-0.044223346,-0.46174812,68.0,0.6148854941838443
A103,0.0,1.7611793,-1.0606663,68.0,-2.846896849185468
A104,0.06249999999999995,1.7474676,-0.072939284,66.0,-0.5019973640068448
A105,0.07986111111111108,0.61165696,0.24509619,68.0,1.5373114716048673
A106,0.024305555555555525,1.1972102,-0.16558942,66.0,-0.0958784462159663
A107,0.0034722222222222,-0.71622896,-0.5755745,70.0,1.1092649945855806
A108,0.0243055555555555,-0.4913459,-0.70196605,69.0,0.5559270645807839
A109,0.06597222222222218,-0.25337747,-0.9348919,68.0,-0.26350196111576274
