UID,Day0_confidence,se_confidence
A010,-0.13905293,0.033312414
A011,0.1330746,0.033312414
A012,-0.09271885,0.033312414
A013,-0.5214896,0.033312414
A014,-0.13213211,0.033312414
A015,0.17578323,0.033312414
A016,-0.3108059,0.033312414
A017,-0.1695174,0.033312414
A018,-0.12740232,0.033312414
A019,-2.0066547,0.033312414
A020,-0.20167366,0.033312414
A021,-0.3146922,0.033312414
A022,-0.81380814,0.033312414
A023,-0.49011907,0.033312414
A024,-0.5055459,0.033312414
A025,-0.18618394,0.033312414
A026,-0.36186954,0.033312414
A027,-0.21083377,0.033312414
A028,0.11992493,0.033312414
A029,0.15784328,0.033312414
A030,-0.5649794,0.033312414
A031,0.26328957,0.033312414
A032,-0.3430531,0.033312414
A033,-0.31503958,0.033312414
A034,0.070721015,0.033312414
A035,-0.42354158,0.033312414
A036,-1.2653807,0.033312414
A037,-0.08707868,0.033312414
A038,-0.2467488,0.033312414
A039,0.1412702,0.033312414
A040,-0.598243,0.033312414
A041,0.011227685,0.033312414
A042,-0.79731315,0.033312414
A043,0.3001954,0.033312414
A044,-1.06982,0.033312414
A045,-0.8722971,0.033312414
A046,-0.6608937,0.033312414
A047,-0.57797015,0.033312414
A048,-0.29754767,0.033312414
A049,0.015095141,0.033312414
A050,-0.332139,0.033312414
A051,-0.13511,0.033312414
A052,-0.40401456,0.033312414
A053,-0.17432423,0.033312414
A054,0.04235199,0.033312414
A055,-0.21229054,0.033312414
A056,-0.77102643,0.033312414
A057,-0.47107366,0.033312414
A058,-0.16339521,0.033312414
A059,-0.5023268,0.033312414
A060,-0.50129473,0.033312414
A061,0.49123833,0.033312414
A062,-0.19396584,0.033312414
A063,-1.2219437,0.033312414
A064,-0.14825012,0.033312414
A065,-0.79110265,0.033312414
A066,-0.6773158,0.033312414
A067,-0.489106,0.033312414
A068,0.16652554,0.033312414
A069,-0.73993486,0.033312414
A070,-0.49851632,0.033312414
A071,-0.06756443,0.033312414
A072,-0.08344198,0.033312414
A073,-0.7472555,0.033312414
A074,-0.10384461,0.033312414
A075,-0.5195184,0.033312414
A076,-0.88919824,0.033312414
A077,-0.20553797,0.033312414
A078,-0.94877625,0.033312414
A079,-0.5209985,0.033312414
A080,-0.09753483,0.033312414
A081,-0.25508967,0.033312414
A082,-0.22234312,0.033312414
A083,0.004754789,0.033312414
A084,-1.4660891,0.033312414
A085,-0.4503213,0.033312414
A086,-0.079089,0.033312414
A087,-0.09658217,0.033312414
A088,-0.2547915,0.033312414
A089,-0.09992828,0.033312414
A090,-1.6835222,0.033312414
A091,-0.2862672,0.033312414
A092,-0.36225155,0.033312414
A093,-0.06434872,0.033312414
A094,-0.7272985,0.033312414
A095,-0.080623694,0.033312414
A096,-0.2553402,0.033312414
A097,-0.7875995,0.033312414
A098,-0.31676105,0.033312414
A099,-0.26512447,0.033312414
A100,-0.5656639,0.033312414
A101,-1.0507481,0.033312414
A102,-0.46174812,0.033312414
A103,-1.0606663,0.033312414
A104,-0.072939284,0.033312414
A105,0.24509619,0.033312414
A106,-0.16558942,0.033312414
A107,-0.5755745,0.033312414
A108,-0.70196605,0.033312414
A109,-0.9348919,0.033312414
