UID,Day0_confidence,forgetting_slope,tertile,is_mean,se_slope
A010,-0.13905293,0.0700275820211976,High,False,
A011,0.1330746,0.0758349689633162,High,False,
A012,-0.09271885,0.0752580900156745,High,False,
A013,-0.5214896,0.0789546680086063,Low,False,
A014,-0.13213211,0.071456707061643,High,False,
A015,0.17578323,0.0667016404103386,High,False,
A016,-0.3108059,0.0740890008286143,Med,False,
A017,-0.1695174,0.0758644223981031,Med,False,
A018,-0.12740232,0.0783865049599273,High,False,
A019,-2.0066547,0.0841022145587535,Low,False,
A020,-0.20167366,0.0809910583688367,Med,False,
A021,-0.3146922,0.0724725246620712,Med,False,
A022,-0.81380814,0.0772905662365634,Low,False,
A023,-0.49011907,0.0769784852053531,Med,False,
A024,-0.5055459,0.077128974131958,Low,False,
A025,-0.18618394,0.0724775914221787,Med,False,
A026,-0.36186954,0.0743731102035543,Med,False,
A027,-0.21083377,0.0760668301715973,Med,False,
A028,0.11992493,0.0750502852106532,High,False,
A029,0.15784328,0.0711931342324019,High,False,
A030,-0.5649794,0.0749205913186723,Low,False,
A031,0.26328957,0.0722416171731812,High,False,
A032,-0.3430531,0.0743312515545835,Med,False,
A033,-0.31503958,0.0746264769397493,Med,False,
A034,0.070721015,0.0716106215522772,High,False,
A035,-0.42354158,0.0775049364116137,Med,False,
A036,-1.2653807,0.0760753354865463,Low,False,
A037,-0.08707868,0.072107788853554,High,False,
A038,-0.2467488,0.072944861022538,Med,False,
A039,0.1412702,0.068933270609143,High,False,
A040,-0.598243,0.0821020224803193,Low,False,
A041,0.011227685,0.0770998584659177,High,False,
A042,-0.79731315,0.0833319717768652,Low,False,
A043,0.3001954,0.0736157687958804,High,False,
A044,-1.06982,0.0809149343107573,Low,False,
A045,-0.8722971,0.0849598773101029,Low,False,
A046,-0.6608937,0.0859586514312135,Low,False,
A047,-0.57797015,0.0836031130834629,Low,False,
A048,-0.29754767,0.0755136680363478,Med,False,
A049,0.015095141,0.073420918348569,High,False,
A050,-0.332139,0.0825170803928401,Med,False,
A051,-0.13511,0.0765193903879737,High,False,
A052,-0.40401456,0.0757275569208094,Med,False,
A053,-0.17432423,0.0728315703065812,Med,False,
A054,0.04235199,0.0728296476647857,High,False,
A055,-0.21229054,0.0760012609060941,Med,False,
A056,-0.77102643,0.0763343017895764,Low,False,
A057,-0.47107366,0.079984717156228,Med,False,
A058,-0.16339521,0.0780473727182357,High,False,
A059,-0.5023268,0.0709581818255833,Low,False,
A060,-0.50129473,0.0760468934862097,Low,False,
A061,0.49123833,0.068782121097948,High,False,
A062,-0.19396584,0.0741734129460052,Med,False,
A063,-1.2219437,0.0744690451897161,Low,False,
A064,-0.14825012,0.0743970135319238,High,False,
A065,-0.79110265,0.089497457997351,Low,False,
A066,-0.6773158,0.0796457179981935,Low,False,
A067,-0.489106,0.0816699699872624,Med,False,
A068,0.16652554,0.0738147184170285,High,False,
A069,-0.73993486,0.0852590012023686,Low,False,
A070,-0.49851632,0.0774473566025064,Med,False,
A071,-0.06756443,0.0755604621282455,High,False,
A072,-0.08344198,0.0759304455826986,High,False,
A073,-0.7472555,0.0757713134352713,Low,False,
A074,-0.10384461,0.0769646177813064,High,False,
A075,-0.5195184,0.0785891232892467,Low,False,
A076,-0.88919824,0.0831255246257147,Low,False,
A077,-0.20553797,0.074097294646832,Med,False,
A078,-0.94877625,0.0797670297544932,Low,False,
A079,-0.5209985,0.0794188274754092,Low,False,
A080,-0.09753483,0.0762720875867827,High,False,
A081,-0.25508967,0.0760117538742082,Med,False,
A082,-0.22234312,0.0739222607168015,Med,False,
A083,0.004754789,0.0709547057378899,High,False,
A084,-1.4660891,0.0784148295090884,Low,False,
A085,-0.4503213,0.0739594929423644,Med,False,
A086,-0.079089,0.0777521959777947,High,False,
A087,-0.09658217,0.0729870231991134,High,False,
A088,-0.2547915,0.0664249529845539,Med,False,
A089,-0.09992828,0.0709506867979725,High,False,
A090,-1.6835222,0.0811003626009767,Low,False,
A091,-0.2862672,0.0790137906259887,Med,False,
A092,-0.36225155,0.081902951702273,Med,False,
A093,-0.06434872,0.0755841464728495,High,False,
A094,-0.7272985,0.0832924895457688,Low,False,
A095,-0.080623694,0.0755691502821386,High,False,
A096,-0.2553402,0.0857835750897643,Med,False,
A097,-0.7875995,0.0779421754758125,Low,False,
A098,-0.31676105,0.0745537771594479,Med,False,
A099,-0.26512447,0.0726217461313157,Med,False,
A100,-0.5656639,0.0763622075480461,Low,False,
A101,-1.0507481,0.0849973063195877,Low,False,
A102,-0.46174812,0.0768187168061965,Med,False,
A103,-1.0606663,0.0782809524634402,Low,False,
A104,-0.072939284,0.0736390557673233,High,False,
A105,0.24509619,0.0761690666565461,High,False,
A106,-0.16558942,0.0745405962298753,High,False,
A107,-0.5755745,0.0856299189311926,Low,False,
A108,-0.70196605,0.0828337378660087,Low,False,
A109,-0.9348919,0.082115020105365,Low,False,
MEAN_Low,-0.8423266897058824,0.08027042172259533,Low,True,0.0007034771382949917
MEAN_Med,-0.3119572659375,0.07605304547260043,Med,True,0.0006637982126630761
MEAN_High,0.008875448588235293,0.0738295076674149,High,True,0.000491686956178645
