composite_ID,UID,test,residual
A010_1,A010,T1,1.2505548555885646
A010_2,A010,T2,-0.2173059192663067
A010_3,A010,T3,-0.5760773311309345
A010_4,A010,T4,0.2815828726442773
A011_1,A011,T1,0.24163120946820404
A011_2,A011,T2,0.44338502771337196
A011_3,A011,T3,-0.42467910669808917
A011_4,A011,T4,-0.21502592675882548
A012_1,A012,T1,0.5084101429462584
A012_2,A012,T2,-0.5726102905945611
A012_3,A012,T3,0.8917046230314716
A012_4,A012,T4,-0.543940127782021
A013_1,A013,T1,-0.3073558311044585
A013_2,A013,T2,-0.34374071373913745
A013_3,A013,T3,0.5570291566310167
A013_4,A013,T4,-0.04170816792486537
A014_1,A014,T1,-0.22761777795329008
A014_2,A014,T2,1.3450567302895486
A014_3,A014,T3,0.12527070460645867
A014_4,A014,T4,-0.7749261513249859
A015_1,A015,T1,-0.16123557985610515
A015_2,A015,T2,0.7919093833708162
A015_3,A015,T3,0.7429301079472534
A015_4,A015,T4,-0.17960890968877496
A016_1,A016,T1,0.5867163475903541
A016_2,A016,T2,0.28334862790196763
A016_3,A016,T3,0.10118820609678959
A016_4,A016,T4,-0.8820839431290469
A017_1,A017,T1,-1.075866400341787
A017_2,A017,T2,1.0458371422171604
A017_3,A017,T3,0.1633092776482167
A017_4,A017,T4,0.10490492845797748
A018_1,A018,T1,-0.2821638190494019
A018_2,A018,T2,0.12054840996208226
A018_3,A018,T3,-0.3318052449137392
A018_4,A018,T4,0.41597412836730624
A019_1,A019,T1,-0.23618739705287872
A019_2,A019,T2,-0.20452254127735214
A019_3,A019,T3,-0.0170107467164915
A019_4,A019,T4,-0.41792902633970397
A020_1,A020,T1,-0.0010043551031423265
A020_2,A020,T2,0.4348582543736155
A020_3,A020,T3,0.07897048919374772
A020_4,A020,T4,-1.2250637320037994
A021_1,A021,T1,0.025889629992579266
A021_2,A021,T2,0.13991819180004428
A021_3,A021,T3,-0.008282847057683063
A021_4,A021,T4,0.449966941355883
A022_1,A022,T1,-0.6859579875048883
A022_2,A022,T2,0.47044013442091825
A022_3,A022,T3,0.05485700391539862
A022_4,A022,T4,0.23849472155327858
A023_1,A023,T1,0.07648559358322504
A023_2,A023,T2,-0.48282161172669796
A023_3,A023,T3,0.27729949386900676
A023_4,A023,T4,0.2229078956124628
A024_1,A024,T1,-0.3373980802969646
A024_2,A024,T2,0.26040619265975873
A024_3,A024,T3,0.46008252948479333
A024_4,A024,T4,-0.41761414079796877
A025_1,A025,T1,0.026285493383130798
A025_2,A025,T2,1.4941385269715421
A025_3,A025,T3,-0.17193488321661482
