item_name,Difficulty,Overall_Discrimination,Discrim_Source,Discrim_Destination
TC_ICR-D-i1,0.9487767219543457,2.4672394,0.0,2.4672394
TC_ICR-D-i2,0.6122477054595947,4.1763,0.0,4.1763
TC_ICR-D-i3,0.9321979284286499,2.2466178,0.0,2.2466178
TC_ICR-D-i4,0.6277361512184143,3.743871,0.0,3.743871
TC_ICR-D-i5,0.6685858964920044,3.8514423,0.0,3.8514423
TC_ICR-D-i6,0.7379149198532104,3.0898774,0.0,3.0898774
TC_ICR-U-i1,0.5475790500640869,3.0407217,3.0407217,0.0
TC_ICR-U-i2,0.512675940990448,3.067906,3.067906,0.0
TC_ICR-U-i3,0.4961867928504944,3.0813887,3.0813887,0.0
TC_ICR-U-i4,0.5614428520202637,2.8236077,2.8236077,0.0
TC_ICR-U-i5,0.454282283782959,3.7906947,3.7906947,0.0
TC_ICR-U-i6,0.7089499235153198,2.4988668,2.4988668,0.0
TC_IFR-D-i1,1.1134765148162842,2.0299246,0.0,2.0299246
TC_IFR-D-i2,0.7139620780944824,3.269824,0.0,3.269824
TC_IFR-D-i3,0.6371607780456543,3.626597,0.0,3.626597
TC_IFR-D-i4,0.751806378364563,3.2165499,0.0,3.2165499
TC_IFR-D-i5,0.8553010821342468,2.9918666,0.0,2.9918666
TC_IFR-D-i6,0.9017899632453918,3.0412345,0.0,3.0412345
TC_IFR-U-i1,0.5706462860107422,2.5227163,2.5227163,0.0
TC_IFR-U-i2,0.6553685665130615,2.7372038,2.7372038,0.0
TC_IFR-U-i3,0.5514979958534241,2.9310234,2.9310234,0.0
TC_IFR-U-i4,0.6061918139457703,3.4333239,3.4333239,0.0
TC_IFR-U-i5,0.5159192681312561,4.11742,4.11742,0.0
TC_IFR-U-i6,0.9664648771286011,2.6924672,2.6924672,0.0
TC_IRE-D-i1,0.9034136533737183,2.4720073,0.0,2.4720073
TC_IRE-D-i2,0.6405799388885498,4.0855484,0.0,4.0855484
TC_IRE-D-i3,0.9435126781463623,2.1971376,0.0,2.1971376
TC_IRE-D-i4,0.6054226160049438,3.7694607,0.0,3.7694607
TC_IRE-D-i5,0.744722843170166,3.2478094,0.0,3.2478094
TC_IRE-D-i6,0.7416042685508728,3.03022,0.0,3.03022
TC_IRE-U-i1,0.4813790023326874,3.1980612,3.1980612,0.0
TC_IRE-U-i2,0.5568294525146484,2.5875065,2.5875065,0.0
TC_IRE-U-i3,0.5581904649734497,2.5917685,2.5917685,0.0
TC_IRE-U-i4,0.8128675818443298,1.9651228,1.9651228,0.0
TC_IRE-U-i5,0.44450920820236206,3.5690656,3.5690656,0.0
TC_IRE-U-i6,0.7717719674110413,2.1573803,2.1573803,0.0
