composite_ID,theta_Source,theta_Destination
A010_T1,0.17448673,0.13693643
A010_T2,-0.3037461,-0.1731106
A010_T3,-0.60833794,-0.446819
A010_T4,-0.30186415,-0.80998075
A011_T1,0.1596272,0.5820918
A011_T2,-0.07109696,0.20171207
A011_T3,-0.55758905,-0.08963197
A011_T4,-0.6507896,-0.9402442
A012_T1,0.31753725,0.11614872
A012_T2,-0.48179096,-0.8692789
A012_T3,0.19141072,-0.61992574
A012_T4,-0.66581273,-0.3019384
A013_T1,-0.29861355,-0.050787084
A013_T2,-0.6228663,-0.3442688
A013_T3,-0.24238825,-0.10295295
A013_T4,-1.3331907,-1.3484422
A014_T1,-0.031813502,0.284858
A014_T2,0.18207222,-0.02648484
A014_T3,-0.1878528,-0.5064211
A014_T4,-0.5197751,-0.8566756
A015_T1,0.44874752,0.5536311
A015_T2,0.42993748,0.047094353
A015_T3,0.30549893,-0.40970647
A015_T4,0.046463996,-0.6451764
A016_T1,0.16626775,-0.053390674
A016_T2,-0.32279885,0.14018714
A016_T3,-0.54458106,-0.67556345
A016_T4,-0.9673253,-0.4178216
A017_T1,0.21982366,0.50636506
A017_T2,0.46172476,0.6012197
A017_T3,0.8226489,0.8671315
A017_T4,0.6389233,0.228042
A018_T1,0.004606247,0.3249135
A018_T2,-0.039483607,-0.11045133
A018_T3,-0.38797164,-0.8337312
A018_T4,-1.1772233,-1.1547185
A019_T1,-1.758747,-1.7082322
A019_T2,-1.7724334,-1.6998299
A019_T3,-1.7526711,-1.5546432
A019_T4,-1.7895333,-1.6211447
A020_T1,-0.16867858,0.084936984
A020_T2,0.11688295,-0.38507468
A020_T3,-0.9363257,-0.8200439
A020_T4,-1.5627393,-1.4524196
A021_T1,0.111996144,-0.29108983
A021_T2,-0.0767858,-0.21397233
A021_T3,-0.07866058,-0.72609866
A021_T4,0.34730133,-0.52507687
A022_T1,-0.6056523,-0.9335841
A022_T2,-1.1806171,-1.239637
A022_T3,-0.50528514,-0.8647789
A022_T4,-1.6193532,-1.5464507
A023_T1,-0.008607179,0.20654905
A023_T2,-0.12537467,-0.33590782
A023_T3,-0.39015383,-0.5276897
A023_T4,-0.29832917,-0.09092378
A024_T1,-0.20211285,-0.490049
A024_T2,0.16492903,-0.613402
A024_T3,-0.4272341,-0.31282544
A024_T4,-1.0978867,-0.15840495
A025_T1,0.45483387,-0.07447063
A025_T2,0.08867258,-0.09470015
A025_T3,-0.25969863,-0.74952257
A025_T4,-1.2874054,-1.3529526
A026_T1,-0.25306702,0.08161802
A026_T2,-0.28826064,0.023693688
A026_T3,-0.34990782,-0.2586269
A026_T4,-0.17483813,0.07215012
A027_T1,0.12711489,0.20354348
A027_T2,-0.27823544,0.24188459
A027_T3,-0.8404651,-0.9671205
A027_T4,-1.3038985,-1.2659346
A028_T1,0.13968277,0.4769665
A028_T2,-0.14180255,0.1722151
A028_T3,-0.52440846,-0.31882703
A028_T4,-1.3177925,-0.9104983
A029_T1,0.76609373,0.58631253
A029_T2,0.4118755,-0.057473175
A029_T3,0.08174226,-0.2605461
A029_T4,-0.24477404,-0.15465695
A030_T1,-0.19728833,-0.780341
A030_T2,0.21377146,-0.3914131
A030_T3,-0.47402352,-0.36319333
A030_T4,0.2392587,-0.6311003
A031_T1,0.35223007,0.8747201
A031_T2,0.066912115,0.28195387
A031_T3,-0.6555821,-0.69375503
A031_T4,-0.9255208,-0.59017634
A032_T1,0.3556729,0.09588946
A032_T2,-0.22092295,-0.33580983
A032_T3,-0.07842231,-0.16218269
A032_T4,-0.18293339,0.07253409
A033_T1,-0.08154905,-0.24775255
A033_T2,-0.30839193,-0.5203942
A033_T3,0.06875718,0.00516624
A033_T4,-0.2847555,-0.8157016
A034_T1,0.4980229,0.45592862
A034_T2,0.47552276,0.5142764
A034_T3,0.22463083,-0.14541733
A034_T4,-0.19622636,-0.5549027
A035_T1,-0.3433745,-0.10640716
A035_T2,0.07683998,-0.21338701
A035_T3,-0.58164066,-0.4429525
A035_T4,-1.0525974,-1.2231709
A036_T1,-1.515249,-1.4248906
A036_T2,-1.7673868,-1.6166325
A036_T3,-1.5560216,-1.5186924
A036_T4,-1.4760953,-1.4868759
A037_T1,0.2787043,0.028820284
A037_T2,-0.2574504,-0.7307667
A037_T3,-0.7351769,0.039971896
A037_T4,-0.8546302,-1.0604337
A038_T1,-0.1395585,0.03535945
A038_T2,-0.053043365,0.09267629
A038_T3,-0.21951783,0.19205713
A038_T4,0.08328974,-0.28523612
A039_T1,0.73000395,0.38967586
A039_T2,0.41058666,0.80260557
A039_T3,0.14971769,0.2218445
A039_T4,-0.43495274,0.04020334
A040_T1,-0.16564754,0.0019404963
A040_T2,-0.172449,-0.18772006
A040_T3,-0.5883464,-0.48499733
A040_T4,-0.6348135,-0.6703814
A041_T1,0.57319,0.15652198
A041_T2,-0.13804448,-0.7230804
A041_T3,-0.16103083,-0.0652492
A041_T4,0.17215323,-0.47451437
A042_T1,-1.0337087,-1.1043742
A042_T2,-1.7239662,-1.6247622
A042_T3,-1.6143719,-1.5245684
A042_T4,-1.1435481,-0.28710085
A043_T1,0.59257984,0.70260984
A043_T2,0.5617119,0.67980015
A043_T3,0.09755397,0.41440833
A043_T4,-0.34350193,0.2691201
A044_T1,-1.3338357,-1.2625083
A044_T2,-0.66508615,-0.9418907
A044_T3,-1.8109468,-1.6548837
A044_T4,-1.6222793,-1.4638461
A045_T1,-0.38404018,0.107430644
A045_T2,-0.6423161,-0.14785308
A045_T3,-0.35081738,0.015569456
A045_T4,-0.5377878,-0.85659695
A046_T1,-0.62573093,-0.8858392
A046_T2,-0.99523413,-1.0892278
A046_T3,-1.7675588,-1.7300338
A046_T4,-0.8553399,-1.0145254
A047_T1,-1.007689,-0.9911052
A047_T2,-0.56241226,-0.91325116
A047_T3,-1.3289393,-1.3284942
A047_T4,-1.6812772,-1.5817481
A048_T1,-0.008808553,-0.04382407
A048_T2,-0.018692851,-0.3519171
A048_T3,-0.49071383,0.005485378
A048_T4,-0.41868603,-0.07758277
A049_T1,0.5404597,0.19780612
A049_T2,-0.4187739,-0.8922324
A049_T3,0.034439206,-0.18853784
A049_T4,-0.38463807,-0.34735084
A050_T1,-0.0103881955,-0.108382456
A050_T2,0.058078706,-0.07980966
A050_T3,-1.3177676,-0.90844625
A050_T4,-1.1985415,-1.2433821
A051_T1,0.16485643,0.47366124
A051_T2,0.16090524,0.22646618
A051_T3,-0.5013564,-0.20670265
A051_T4,-0.57058275,-0.3287778
A052_T1,-0.14410955,-0.6850114
A052_T2,-0.61099494,-0.23417139
A052_T3,-0.54251736,-0.9427875
A052_T4,-0.51613855,0.034749992
A053_T1,0.014833719,-0.4502908
A053_T2,-1.8323704,-1.6746286
A053_T3,-2.127089,-2.037302
A053_T4,-1.9886991,-1.89259
A054_T1,0.5543531,0.4693622
A054_T2,0.24080098,-0.2542895
A054_T3,0.5224607,-0.4796437
A054_T4,0.43864214,-0.043233745
A055_T1,-0.02007413,-0.03458076
A055_T2,-0.81075394,-1.02525
A055_T3,-1.3454837,-1.4525794
A055_T4,-1.6561404,-1.5069975
A056_T1,-0.09425974,-0.31293535
A056_T2,-1.0433567,-1.1222712
A056_T3,-1.2179855,-0.6666082
A056_T4,-1.5301504,-1.5222534
A057_T1,0.0127590895,-0.6698607
A057_T2,-0.72472906,-0.3021773
A057_T3,-0.981297,-1.046279
A057_T4,-1.6090205,-1.5262234
A058_T1,0.061943173,-0.093785755
A058_T2,-0.76731753,-0.109634034
A058_T3,-0.39766318,-0.027735107
A058_T4,-1.1715075,-0.9226202
A059_T1,-0.25681245,-0.74984205
A059_T2,-0.34766477,-0.80831677
A059_T3,-0.4188016,-0.5651938
A059_T4,-0.101484,-0.47267723
A060_T1,-0.644866,-0.07753169
A060_T2,-0.09615028,-0.06836402
A060_T3,-0.114304185,0.2595057
A060_T4,0.22243512,0.48543715
A061_T1,0.70674014,0.92875934
A061_T2,0.34549332,0.80587673
A061_T3,-0.16252935,0.39314365
A061_T4,0.027568102,0.46075106
A062_T1,0.24922419,-0.0907191
A062_T2,-0.39694244,-0.20216143
A062_T3,-0.5588065,-0.89908874
A062_T4,-1.200749,-1.335995
A063_T1,-0.98894,-1.1453488
A063_T2,-1.4651557,-1.3659563
A063_T3,-1.5791053,-1.5536242
A063_T4,-1.7509248,-1.687606
A064_T1,0.08150023,0.13230014
A064_T2,-0.2014035,-0.27324927
A064_T3,-0.4634593,-0.83695614
A064_T4,-0.86327004,0.1552983
A065_T1,-0.28583542,-0.12966514
A065_T2,-1.6586721,-1.5419153
A065_T3,-1.6791027,-1.5336815
A065_T4,-1.5810145,-1.5619777
A066_T1,-0.65797085,-0.95108926
A066_T2,-0.46232635,-0.40383792
A066_T3,-0.7121843,-1.0677891
A066_T4,-1.2585001,-1.321545
A067_T1,-0.26883042,-0.78326046
A067_T2,-1.6097723,-1.6094011
A067_T3,-1.6110896,-1.5481073
A067_T4,-1.3744572,-0.91407484
A068_T1,0.46348393,0.65786695
A068_T2,0.3130849,0.36208034
A068_T3,0.21906394,-0.43609893
A068_T4,-0.26454616,-0.44159007
A069_T1,-1.0210688,-0.55585605
A069_T2,-1.6984748,-1.5368589
A069_T3,-1.6173936,-1.5020038
A069_T4,-1.4792693,-1.389695
