composite_ID,UID,TEST,TSVR_hours,log_TSVR,location,theta
A010_T1,A010,T1,1.0,0.6931471805599453,Source,0.17448673
A010_T2,A010,T2,21.9,3.131136910560194,Source,-0.3037461
A010_T3,A010,T3,80.88,4.405254760793088,Source,-0.60833794
A010_T4,A010,T4,145.31,4.985727658390071,Source,-0.30186415
A011_T1,A011,T1,1.0,0.6931471805599453,Source,0.1596272
A011_T2,A011,T2,24.57,3.2414197893030954,Source,-0.07109696
A011_T3,A011,T3,72.55,4.297965447047447,Source,-0.55758905
A011_T4,A011,T4,148.85,5.009634793762673,Source,-0.6507896
A012_T1,A012,T1,1.0,0.6931471805599453,Source,0.31753725
A012_T2,A012,T2,25.6,3.2809112157876537,Source,-0.48179096
A012_T3,A012,T3,166.33,5.119967910506483,Source,0.19141072
A012_T4,A012,T4,166.87,5.123189870334323,Source,-0.66581273
A013_T1,A013,T1,1.0,0.6931471805599453,Source,-0.29861355
A013_T2,A013,T2,24.77,3.2492110246642736,Source,-0.6228663
A013_T3,A013,T3,79.66,4.390242789445222,Source,-0.24238825
A013_T4,A013,T4,147.13,4.998090266593961,Source,-1.3331907
A014_T1,A014,T1,1.0,0.6931471805599453,Source,-0.031813502
A014_T2,A014,T2,25.66,3.2831643147505627,Source,0.18207222
A014_T3,A014,T3,70.56,4.270536258640519,Source,-0.1878528
A014_T4,A014,T4,148.87,5.009768251656904,Source,-0.5197751
A015_T1,A015,T1,1.0,0.6931471805599453,Source,0.44874752
A015_T2,A015,T2,23.69,3.206398303357088,Source,0.42993748
A015_T3,A015,T3,70.59,4.270955399408094,Source,0.30549893
A015_T4,A015,T4,146.54,4.9940993254561565,Source,0.046463996
A016_T1,A016,T1,1.0,0.6931471805599453,Source,0.16626775
A016_T2,A016,T2,32.85,3.521938999358284,Source,-0.32279885
A016_T3,A016,T3,80.64,4.402319337941644,Source,-0.54458106
A016_T4,A016,T4,150.8,5.02256386496153,Source,-0.9673253
A017_T1,A017,T1,1.0,0.6931471805599453,Source,0.21982366
A017_T2,A017,T2,20.61,3.0731561705187946,Source,0.46172476
A017_T3,A017,T3,61.28,4.131640346965797,Source,0.8226489
A017_T4,A017,T4,140.49,4.952229043207861,Source,0.6389233
A018_T1,A018,T1,1.0,0.6931471805599453,Source,0.004606247
A018_T2,A018,T2,34.03,3.5562048372093953,Source,-0.039483607
A018_T3,A018,T3,83.64,4.438406968109989,Source,-0.38797164
A018_T4,A018,T4,150.87,5.023024891742178,Source,-1.1772233
A019_T1,A019,T1,1.0,0.6931471805599453,Source,-1.758747
A019_T2,A019,T2,28.69,3.3908102887756684,Source,-1.7724334
A019_T3,A019,T3,83.68,4.4388794462666645,Source,-1.7526711
A019_T4,A019,T4,154.76,5.048316361063944,Source,-1.7895333
A020_T1,A020,T1,1.0,0.6931471805599453,Source,-0.16867858
A020_T2,A020,T2,26.85,3.326832966373293,Source,0.11688295
A020_T3,A020,T3,78.25,4.37260741275739,Source,-0.9363257
A020_T4,A020,T4,145.78,4.9889348671169165,Source,-1.5627393
A021_T1,A021,T1,1.0,0.6931471805599453,Source,0.111996144
A021_T2,A021,T2,30.21,3.440738556282688,Source,-0.0767858
A021_T3,A021,T3,74.19,4.320018243389936,Source,-0.07866058
A021_T4,A021,T4,140.39,4.951522029603749,Source,0.34730133
A022_T1,A022,T1,1.0,0.6931471805599453,Source,-0.6056523
A022_T2,A022,T2,24.15,3.224857896545748,Source,-1.1806171
A022_T3,A022,T3,74.46,4.323602714536165,Source,-0.50528514
A022_T4,A022,T4,141.71,4.9608145991123,Source,-1.6193532
A023_T1,A023,T1,1.0,0.6931471805599453,Source,-0.008607179
A023_T2,A023,T2,25.63,3.282038399825841,Source,-0.12537467
A023_T3,A023,T3,72.2,4.293195420967266,Source,-0.39015383
A023_T4,A023,T4,145.07,4.984085958862719,Source,-0.29832917
A024_T1,A024,T1,1.0,0.6931471805599453,Source,-0.20211285
A024_T2,A024,T2,29.57,3.420019135902743,Source,0.16492903
A024_T3,A024,T3,91.47,4.526884267589547,Source,-0.4272341
A024_T4,A024,T4,145.65,4.9880487954234605,Source,-1.0978867
A025_T1,A025,T1,1.0,0.6931471805599453,Source,0.45483387
A025_T2,A025,T2,23.33,3.1917101567954314,Source,0.08867258
A025_T3,A025,T3,72.94,4.303253953508486,Source,-0.25969863
A025_T4,A025,T4,137.74,4.932601677957155,Source,-1.2874054
A026_T1,A026,T1,1.0,0.6931471805599453,Source,-0.25306702
A026_T2,A026,T2,26.48,3.3134584673541485,Source,-0.28826064
A026_T3,A026,T3,75.46,4.336767728268267,Source,-0.34990782
A026_T4,A026,T4,147.65,5.001594549444107,Source,-0.17483813
A027_T1,A027,T1,1.0,0.6931471805599453,Source,0.12711489
A027_T2,A027,T2,28.26,3.3762213955919784,Source,-0.27823544
A027_T3,A027,T3,74.58,4.325191697921343,Source,-0.8404651
A027_T4,A027,T4,145.92,4.989888220951467,Source,-1.3038985
A028_T1,A028,T1,1.0,0.6931471805599453,Source,0.13968277
A028_T2,A028,T2,22.82,3.170525563927154,Source,-0.14180255
A028_T3,A028,T3,72.26,4.294014757350668,Source,-0.52440846
A028_T4,A028,T4,138.91,4.940999358745194,Source,-1.3177925
A029_T1,A029,T1,1.0,0.6931471805599453,Source,0.76609373
A029_T2,A029,T2,28.43,3.382014562245381,Source,0.4118755
A029_T3,A029,T3,93.26,4.546056921495585,Source,0.08174226
A029_T4,A029,T4,143.14,4.970785049496295,Source,-0.24477404
A030_T1,A030,T1,1.0,0.6931471805599453,Source,-0.19728833
A030_T2,A030,T2,32.95,3.5248888540047054,Source,0.21377146
A030_T3,A030,T3,71.93,4.289500076996142,Source,-0.47402352
A030_T4,A030,T4,150.46,5.020321563685677,Source,0.2392587
A031_T1,A031,T1,1.0,0.6931471805599453,Source,0.35223007
A031_T2,A031,T2,32.41,3.508855256368665,Source,0.066912115
A031_T3,A031,T3,71.56,4.2844138058068815,Source,-0.6555821
A031_T4,A031,T4,143.85,4.975698724215359,Source,-0.9255208
A032_T1,A032,T1,1.0,0.6931471805599453,Source,0.3556729
A032_T2,A032,T2,57.18,4.063541653067055,Source,-0.22092295
A032_T3,A032,T3,80.16,4.396422514957614,Source,-0.07842231
A032_T4,A032,T4,144.51,4.980244812772187,Source,-0.18293339
A033_T1,A033,T1,1.0,0.6931471805599453,Source,-0.08154905
A033_T2,A033,T2,29.16,3.4065165431397553,Source,-0.30839193
A033_T3,A033,T3,72.6,4.298645025734831,Source,0.06875718
A033_T4,A033,T4,168.33,5.131849473677249,Source,-0.2847555
A034_T1,A034,T1,1.0,0.6931471805599453,Source,0.4980229
A034_T2,A034,T2,26.08,3.298795448044074,Source,0.47552276
A034_T3,A034,T3,74.28,4.3212144952771245,Source,0.22463083
A034_T4,A034,T4,145.38,4.986205980173081,Source,-0.19622636
