UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence
A010,T1,Source,1.623562,1.0,0.17448673
A010,T2,Source,0.09898508,21.9,-0.3037461
A010,T3,Source,-0.5057274,80.88,-0.60833794
A010,T4,Source,0.5918101,145.31,-0.30186415
A011,T1,Source,0.12731029,1.0,0.1596272
A011,T2,Source,-0.20856883,24.57,-0.07109696
A011,T3,Source,-0.8450841,72.55,-0.55758905
A011,T4,Source,-0.13091515,148.85,-0.6507896
A012,T1,Source,1.0843484,1.0,0.31753725
A012,T2,Source,-0.13956255,25.6,-0.48179096
A012,T3,Source,1.1480632,166.33,0.19141072
A012,T4,Source,-0.95036143,166.87,-0.66581273
A013,T1,Source,-0.15501398,1.0,-0.29861355
A013,T2,Source,-0.8239752,24.77,-0.6228663
A013,T3,Source,0.5210637,79.66,-0.24238825
A013,T4,Source,-1.5770361,147.13,-1.3331907
A014,T1,Source,0.47304404,1.0,-0.031813502
A014,T2,Source,1.1207099,25.66,0.18207222
A014,T3,Source,0.04152508,70.56,-0.1878528
A014,T4,Source,-1.1226914,148.87,-0.5197751
A015,T1,Source,1.200968,1.0,0.44874752
A015,T2,Source,1.5226954,23.69,0.42993748
A015,T3,Source,1.1774372,70.59,0.30549893
A015,T4,Source,-0.10652651,146.54,0.046463996
A016,T1,Source,1.356192,1.0,0.16626775
A016,T2,Source,1.3373035,32.85,-0.32279885
A016,T3,Source,-0.013329637,80.64,-0.54458106
A016,T4,Source,-1.0709041,150.8,-0.9673253
A017,T1,Source,-0.2286647,1.0,0.21982366
A017,T2,Source,0.8418083,20.61,0.46172476
A017,T3,Source,0.1830041,61.28,0.8226489
A017,T4,Source,1.0870038,140.49,0.6389233
A018,T1,Source,0.9366276,1.0,0.004606247
A018,T2,Source,0.34145153,34.03,-0.039483607
A018,T3,Source,-0.39613545,83.64,-0.38797164
A018,T4,Source,0.23495352,150.87,-1.1772233
A019,T1,Source,-0.8907665,1.0,-1.758747
A019,T2,Source,-0.8944451,28.69,-1.7724334
A019,T3,Source,-0.5290039,83.68,-1.7526711
A019,T4,Source,-1.2386124,154.76,-1.7895333
A020,T1,Source,0.35700476,1.0,-0.16867858
A020,T2,Source,0.35810092,26.85,0.11688295
A020,T3,Source,-0.56137884,78.25,-0.9363257
A020,T4,Source,-1.6343551,145.78,-1.5627393
A021,T1,Source,1.2139407,1.0,0.111996144
A021,T2,Source,-0.017297959,30.21,-0.0767858
A021,T3,Source,0.36036015,74.19,-0.07866058
A021,T4,Source,1.0062183,140.39,0.34730133
A022,T1,Source,0.1581856,1.0,-0.6056523
A022,T2,Source,0.90218073,24.15,-1.1806171
A022,T3,Source,0.64592147,74.46,-0.50528514
A022,T4,Source,0.74378496,141.71,-1.6193532
A023,T1,Source,0.8170031,1.0,-0.008607179
A023,T2,Source,0.5076978,25.63,-0.12537467
A023,T3,Source,0.6582759,72.2,-0.39015383
A023,T4,Source,-0.32591987,145.07,-0.29832917
A024,T1,Source,0.31113845,1.0,-0.20211285
A024,T2,Source,0.54446435,29.57,0.16492903
A024,T3,Source,-0.2945651,91.47,-0.4272341
A024,T4,Source,-1.4681152,145.65,-1.0978867
A025,T1,Source,1.0412298,1.0,0.45483387
A025,T2,Source,1.480383,23.33,0.08867258
