UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A010,T1,Source,1.623562,1.0,0.17448673,1.912719393958561,1.0269741570135087,-0.8857452369450523
A010,T2,Source,0.09898508,21.9,-0.3037461,0.14126953608967047,0.3226870353900863,0.18141749930041584
A010,T3,Source,-0.5057274,80.88,-0.60833794,-0.5613633207343357,-0.12588131208949171,0.435482008644844
A010,T4,Source,0.5918101,145.31,-0.30186415,0.7138971288209268,0.3254585580990965,-0.3884385707218303
A011,T1,Source,0.12731029,1.0,0.1596272,0.17418141385088334,1.0050907250199819,0.8309093111690985
A011,T2,Source,-0.20856883,24.57,-0.07109696,-0.2160862148792748,0.6653063264135919,0.8813925412928667
A011,T3,Source,-0.8450841,72.55,-0.55758905,-0.9556716498817136,-0.05114409744932651,0.9045275524323871
A011,T4,Source,-0.13091515,148.85,-0.6507896,-0.12585816630105265,-0.1883993065766878,-0.06254114027563515
A012,T1,Source,1.0843484,1.0,0.31753725,1.2861915733216247,1.2376427532651166,-0.04854882005650807
A012,T2,Source,-0.13956255,25.6,-0.48179096,-0.13590582955764677,0.06048274052968288,0.19638857008732966
A012,T3,Source,1.1480632,166.33,0.19141072,1.3602236355439392,1.051897891763136,-0.30832574378080313
A012,T4,Source,-0.95036143,166.87,-0.66581273,-1.0779964134399316,-0.21052367011206968,0.867472743327862
A013,T1,Source,-0.15501398,1.0,-0.29861355,-0.1538592913464892,0.3302456734411133,0.48410496478760245
A013,T2,Source,-0.8239752,24.77,-0.6228663,-0.9311446106656348,-0.14727703443316453,0.7838675762324703
A013,T3,Source,0.5210637,79.66,-0.24238825,0.6316948479253616,0.41304792417620695,-0.21864692374915462
A013,T4,Source,-1.5770361,147.13,-1.3331907,-1.8061477717207153,-1.1933623211644928,0.6127854505562225
A014,T1,Source,0.47304404,1.0,-0.031813502,0.5758994211640064,0.7231585519963369,0.14725913083233055
A014,T2,Source,1.1207099,25.66,0.18207222,1.328441048019759,1.0381452071444737,-0.29029584087528537
A014,T3,Source,0.04152508,70.56,-0.1878528,0.07450510623515944,0.4933615553147009,0.41885644907954145
A014,T4,Source,-1.1226914,148.87,-0.5197751,-1.2782315717047241,0.004544003266619738,1.2827755749713439
A015,T1,Source,1.200968,1.0,0.44874752,1.4216952472488982,1.430874370980973,0.009179123732074856
A015,T2,Source,1.5226954,23.69,0.42993748,1.7955195846936283,1.4031730755069223,-0.392346509186706
A015,T3,Source,1.1774372,70.59,0.30549893,1.3943541326296756,1.2199140796774384,-0.1744400529522372
