UID,TEST,location_type,theta,se,TSVR_hours
A010,T1,Source,0.17448673,0.5,1.0
A010,T2,Source,-0.3037461,0.5,21.9
A010,T3,Source,-0.60833794,0.5,80.88
A010,T4,Source,-0.30186415,0.5,145.31
A011,T1,Source,0.1596272,0.5,1.0
A011,T2,Source,-0.07109696,0.5,24.57
A011,T3,Source,-0.55758905,0.5,72.55
A011,T4,Source,-0.6507896,0.5,148.85
A012,T1,Source,0.31753725,0.5,1.0
A012,T2,Source,-0.48179096,0.5,25.6
A012,T3,Source,0.19141072,0.5,166.33
A012,T4,Source,-0.66581273,0.5,166.87
A013,T1,Source,-0.29861355,0.5,1.0
A013,T2,Source,-0.6228663,0.5,24.77
A013,T3,Source,-0.24238825,0.5,79.66
A013,T4,Source,-1.3331907,0.5,147.13
A014,T1,Source,-0.031813502,0.5,1.0
A014,T2,Source,0.18207222,0.5,25.66
A014,T3,Source,-0.1878528,0.5,70.56
A014,T4,Source,-0.5197751,0.5,148.87
A015,T1,Source,0.44874752,0.5,1.0
A015,T2,Source,0.42993748,0.5,23.69
A015,T3,Source,0.30549893,0.5,70.59
A015,T4,Source,0.046463996,0.5,146.54
A016,T1,Source,0.16626775,0.5,1.0
A016,T2,Source,-0.32279885,0.5,32.85
A016,T3,Source,-0.54458106,0.5,80.64
A016,T4,Source,-0.9673253,0.5,150.8
A017,T1,Source,0.21982366,0.5,1.0
A017,T2,Source,0.46172476,0.5,20.61
A017,T3,Source,0.8226489,0.5,61.28
A017,T4,Source,0.6389233,0.5,140.49
A018,T1,Source,0.004606247,0.5,1.0
A018,T2,Source,-0.039483607,0.5,34.03
A018,T3,Source,-0.38797164,0.5,83.64
A018,T4,Source,-1.1772233,0.5,150.87
A019,T1,Source,-1.758747,0.5,1.0
A019,T2,Source,-1.7724334,0.5,28.69
A019,T3,Source,-1.7526711,0.5,83.68
A019,T4,Source,-1.7895333,0.5,154.76
A020,T1,Source,-0.16867858,0.5,1.0
A020,T2,Source,0.11688295,0.5,26.85
A020,T3,Source,-0.9363257,0.5,78.25
A020,T4,Source,-1.5627393,0.5,145.78
A021,T1,Source,0.111996144,0.5,1.0
A021,T2,Source,-0.0767858,0.5,30.21
A021,T3,Source,-0.07866058,0.5,74.19
A021,T4,Source,0.34730133,0.5,140.39
A022,T1,Source,-0.6056523,0.5,1.0
A022,T2,Source,-1.1806171,0.5,24.15
A022,T3,Source,-0.50528514,0.5,74.46
A022,T4,Source,-1.6193532,0.5,141.71
A023,T1,Source,-0.008607179,0.5,1.0
A023,T2,Source,-0.12537467,0.5,25.63
A023,T3,Source,-0.39015383,0.5,72.2
A023,T4,Source,-0.29832917,0.5,145.07
A024,T1,Source,-0.20211285,0.5,1.0
A024,T2,Source,0.16492903,0.5,29.57
A024,T3,Source,-0.4272341,0.5,91.47
A024,T4,Source,-1.0978867,0.5,145.65
A025,T1,Source,0.45483387,0.5,1.0
A025,T2,Source,0.08867258,0.5,23.33
A025,T3,Source,-0.25969863,0.5,72.94
A025,T4,Source,-1.2874054,0.5,137.74
A026,T1,Source,-0.25306702,0.5,1.0
A026,T2,Source,-0.28826064,0.5,26.48
A026,T3,Source,-0.34990782,0.5,75.46
A026,T4,Source,-0.17483813,0.5,147.65
A027,T1,Source,0.12711489,0.5,1.0
A027,T2,Source,-0.27823544,0.5,28.26
A027,T3,Source,-0.8404651,0.5,74.58
A027,T4,Source,-1.3038985,0.5,145.92
A028,T1,Source,0.13968277,0.5,1.0
A028,T2,Source,-0.14180255,0.5,22.82
A028,T3,Source,-0.52440846,0.5,72.26
A028,T4,Source,-1.3177925,0.5,138.91
A029,T1,Source,0.76609373,0.5,1.0
A029,T2,Source,0.4118755,0.5,28.43
A029,T3,Source,0.08174226,0.5,93.26
A029,T4,Source,-0.24477404,0.5,143.14
A030,T1,Source,-0.19728833,0.5,1.0
A030,T2,Source,0.21377146,0.5,32.95
A030,T3,Source,-0.47402352,0.5,71.93
A030,T4,Source,0.2392587,0.5,150.46
A031,T1,Source,0.35223007,0.5,1.0
A031,T2,Source,0.066912115,0.5,32.41
A031,T3,Source,-0.6555821,0.5,71.56
A031,T4,Source,-0.9255208,0.5,143.85
A032,T1,Source,0.3556729,0.5,1.0
A032,T2,Source,-0.22092295,0.5,57.18
A032,T3,Source,-0.07842231,0.5,80.16
A032,T4,Source,-0.18293339,0.5,144.51
A033,T1,Source,-0.08154905,0.5,1.0
A033,T2,Source,-0.30839193,0.5,29.16
A033,T3,Source,0.06875718,0.5,72.6
A033,T4,Source,-0.2847555,0.5,168.33
A034,T1,Source,0.4980229,0.5,1.0
A034,T2,Source,0.47552276,0.5,26.08
A034,T3,Source,0.22463083,0.5,74.28
A034,T4,Source,-0.19622636,0.5,145.38
A035,T1,Source,-0.3433745,0.5,1.0
A035,T2,Source,0.07683998,0.5,44.76
A035,T3,Source,-0.58164066,0.5,79.98
A035,T4,Source,-1.0525974,0.5,152.47
A036,T1,Source,-1.515249,0.5,1.0
A036,T2,Source,-1.7673868,0.5,21.63
A036,T3,Source,-1.5560216,0.5,71.47
A036,T4,Source,-1.4760953,0.5,143.85
A037,T1,Source,0.2787043,0.5,1.0
A037,T2,Source,-0.2574504,0.5,23.7
A037,T3,Source,-0.7351769,0.5,72.08
A037,T4,Source,-0.8546302,0.5,143.66
A038,T1,Source,-0.1395585,0.5,1.0
A038,T2,Source,-0.053043365,0.5,71.85
A038,T3,Source,-0.21951783,0.5,72.86
A038,T4,Source,0.08328974,0.5,152.89
A039,T1,Source,0.73000395,0.5,1.0
A039,T2,Source,0.41058666,0.5,28.65
A039,T3,Source,0.14971769,0.5,98.84
A039,T4,Source,-0.43495274,0.5,246.24
A040,T1,Source,-0.16564754,0.5,1.0
A040,T2,Source,-0.172449,0.5,26.26
A040,T3,Source,-0.5883464,0.5,71.28
A040,T4,Source,-0.6348135,0.5,143.53
A041,T1,Source,0.57319,0.5,1.0
A041,T2,Source,-0.13804448,0.5,31.78
A041,T3,Source,-0.16103083,0.5,75.74
A041,T4,Source,0.17215323,0.5,141.84
A042,T1,Source,-1.0337087,0.5,1.0
A042,T2,Source,-1.7239662,0.5,28.93
A042,T3,Source,-1.6143719,0.5,72.17
A042,T4,Source,-1.1435481,0.5,146.02
A043,T1,Source,0.59257984,0.5,1.0
A043,T2,Source,0.5617119,0.5,25.62
A043,T3,Source,0.09755397,0.5,64.94
A043,T4,Source,-0.34350193,0.5,149.33
A044,T1,Source,-1.3338357,0.5,1.0
A044,T2,Source,-0.66508615,0.5,47.66
A044,T3,Source,-1.8109468,0.5,91.63
A044,T4,Source,-1.6222793,0.5,155.27
A045,T1,Source,-0.38404018,0.5,1.0
A045,T2,Source,-0.6423161,0.5,24.66
A045,T3,Source,-0.35081738,0.5,72.23
A045,T4,Source,-0.5377878,0.5,151.52
A046,T1,Source,-0.62573093,0.5,1.0
A046,T2,Source,-0.99523413,0.5,24.32
A046,T3,Source,-1.7675588,0.5,73.05
A046,T4,Source,-0.8553399,0.5,147.94
A047,T1,Source,-1.007689,0.5,1.0
A047,T2,Source,-0.56241226,0.5,23.46
A047,T3,Source,-1.3289393,0.5,76.85
A047,T4,Source,-1.6812772,0.5,144.22
A048,T1,Source,-0.008808553,0.5,1.0
A048,T2,Source,-0.018692851,0.5,23.91
A048,T3,Source,-0.49071383,0.5,81.15
A048,T4,Source,-0.41868603,0.5,146.3
A049,T1,Source,0.5404597,0.5,1.0
A049,T2,Source,-0.4187739,0.5,27.12
A049,T3,Source,0.034439206,0.5,111.38
A049,T4,Source,-0.38463807,0.5,168.86
A050,T1,Source,-0.0103881955,0.5,1.0
A050,T2,Source,0.058078706,0.5,24.73
A050,T3,Source,-1.3177676,0.5,93.39
A050,T4,Source,-1.1985415,0.5,148.69
A051,T1,Source,0.16485643,0.5,1.0
A051,T2,Source,0.16090524,0.5,17.16
A051,T3,Source,-0.5013564,0.5,65.63
A051,T4,Source,-0.57058275,0.5,146.99
A052,T1,Source,-0.14410955,0.5,1.0
A052,T2,Source,-0.61099494,0.5,31.76
A052,T3,Source,-0.54251736,0.5,80.98
A052,T4,Source,-0.51613855,0.5,153.27
A053,T1,Source,0.014833719,0.5,1.0
A053,T2,Source,-1.8323704,0.5,32.71
A053,T3,Source,-2.127089,0.5,78.28
A053,T4,Source,-1.9886991,0.5,148.9
A054,T1,Source,0.5543531,0.5,1.0
A054,T2,Source,0.24080098,0.5,16.9
A054,T3,Source,0.5224607,0.5,72.83
A054,T4,Source,0.43864214,0.5,136.83
A055,T1,Source,-0.02007413,0.5,1.0
A055,T2,Source,-0.81075394,0.5,23.24
A055,T3,Source,-1.3454837,0.5,74.48
A055,T4,Source,-1.6561404,0.5,149.21
A056,T1,Source,-0.09425974,0.5,1.0
A056,T2,Source,-1.0433567,0.5,33.61
A056,T3,Source,-1.2179855,0.5,71.46
A056,T4,Source,-1.5301504,0.5,147.84
A057,T1,Source,0.0127590895,0.5,1.0
A057,T2,Source,-0.72472906,0.5,24.78
A057,T3,Source,-0.981297,0.5,73.83
A057,T4,Source,-1.6090205,0.5,145.06
A058,T1,Source,0.061943173,0.5,1.0
A058,T2,Source,-0.76731753,0.5,22.96
A058,T3,Source,-0.39766318,0.5,66.28
A058,T4,Source,-1.1715075,0.5,143.48
A059,T1,Source,-0.25681245,0.5,1.0
A059,T2,Source,-0.34766477,0.5,30.4
A059,T3,Source,-0.4188016,0.5,79.78
A059,T4,Source,-0.101484,0.5,151.93
A060,T1,Source,-0.644866,0.5,1.0
A060,T2,Source,-0.09615028,0.5,24.87
A060,T3,Source,-0.114304185,0.5,94.68
A060,T4,Source,0.22243512,0.5,143.91
A061,T1,Source,0.70674014,0.5,1.0
A061,T2,Source,0.34549332,0.5,35.16
A061,T3,Source,-0.16252935,0.5,82.55
A061,T4,Source,0.027568102,0.5,146.56
A062,T1,Source,0.24922419,0.5,1.0
A062,T2,Source,-0.39694244,0.5,44.69
A062,T3,Source,-0.5588065,0.5,92.72
A062,T4,Source,-1.200749,0.5,149.18
A063,T1,Source,-0.98894,0.5,1.0
A063,T2,Source,-1.4651557,0.5,21.98
A063,T3,Source,-1.5791053,0.5,69.99
A063,T4,Source,-1.7509248,0.5,141.09
A064,T1,Source,0.08150023,0.5,1.0
A064,T2,Source,-0.2014035,0.5,37.65
A064,T3,Source,-0.4634593,0.5,82.99
A064,T4,Source,-0.86327004,0.5,156.21
A065,T1,Source,-0.28583542,0.5,1.0
A065,T2,Source,-1.6586721,0.5,32.31
A065,T3,Source,-1.6791027,0.5,106.41
A065,T4,Source,-1.5810145,0.5,187.43
A066,T1,Source,-0.65797085,0.5,1.0
A066,T2,Source,-0.46232635,0.5,23.35
A066,T3,Source,-0.7121843,0.5,73.79
A066,T4,Source,-1.2585001,0.5,164.93
A067,T1,Source,-0.26883042,0.5,1.0
A067,T2,Source,-1.6097723,0.5,29.91
A067,T3,Source,-1.6110896,0.5,73.19
A067,T4,Source,-1.3744572,0.5,144.19
A068,T1,Source,0.46348393,0.5,1.0
A068,T2,Source,0.3130849,0.5,30.49
A068,T3,Source,0.21906394,0.5,82.98
A068,T4,Source,-0.26454616,0.5,155.59
A069,T1,Source,-1.0210688,0.5,1.0
A069,T2,Source,-1.6984748,0.5,24.96
A069,T3,Source,-1.6173936,0.5,79.75
A069,T4,Source,-1.4792693,0.5,140.22
A070,T1,Source,0.087869346,0.5,1.0
A070,T2,Source,-0.45063603,0.5,24.25
A070,T3,Source,-0.8471191,0.5,81.92
A070,T4,Source,-1.7073361,0.5,149.2
A071,T1,Source,0.43833178,0.5,1.0
A071,T2,Source,-0.42639652,0.5,30.92
A071,T3,Source,-0.97401035,0.5,79.96
A071,T4,Source,-0.51238585,0.5,153.27
A072,T1,Source,0.40019226,0.5,1.0
A072,T2,Source,0.20886338,0.5,33.76
A072,T3,Source,-0.44359374,0.5,83.54
A072,T4,Source,-0.7566408,0.5,154.89
A073,T1,Source,-0.54192835,0.5,1.0
A073,T2,Source,-0.66379476,0.5,66.66
A073,T3,Source,-0.71545494,0.5,66.9
A073,T4,Source,-0.67257667,0.5,140.12
A074,T1,Source,0.26932,0.5,1.0
A074,T2,Source,-0.34384635,0.5,29.33
A074,T3,Source,-0.51103044,0.5,73.02
A074,T4,Source,-0.40131557,0.5,147.21
