UID,cluster
A010,3
A011,3
A012,0
A013,3
A014,3
A015,3
A016,3
A017,0
A018,2
A019,4
A020,2
A021,0
A022,1
A023,0
A024,0
A025,2
A026,0
A027,2
A028,2
A029,3
A030,0
A031,2
A032,0
A033,0
A034,3
A035,3
A036,4
A037,3
A038,0
A039,3
A040,3
A041,0
A042,4
A043,3
A044,1
A045,3
A046,1
A047,1
A048,0
A049,0
A050,2
A051,3
A052,0
A053,1
A054,0
A055,2
A056,2
A057,2
A058,3
A059,0
A060,0
A061,3
A062,2
A063,1
A064,0
A065,1
A066,1
A067,1
A068,3
A069,1
A070,2
A071,3
A072,3
A073,1
A074,0
A075,0
A076,1
A077,0
A078,1
A079,0
A080,3
A081,3
A082,3
A083,0
A084,4
A085,3
A086,2
A087,3
A088,0
A089,3
A090,4
A091,0
A092,2
A093,2
A094,4
A095,3
A096,0
A097,4
A098,0
A099,0
A100,1
A101,1
A102,0
A103,4
A104,2
A105,3
A106,0
A107,4
A108,1
A109,4
